epoch_no,pool_id,total_delegated_stake,total_block_count_for_epoch,rewards_earned_in_epoch,pool_owners_cumulative_stake
584,pool1pmm654jfx088td54ekkkd0j28x6r5gnjdhnutzggursrxjnpk2y,85606770605008,104,31154945962,66153973087
584,pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,83309654935927,93,28626430800,0
584,pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,73323542020184,89,29923432243,15016309368
584,pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,74033965484592,89,38267030204,74033965484592
584,pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,75078038639478,87,29251007051,4505369473
584,pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,74821327642486,87,29251007057,4331235414
584,pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,71258246938330,86,32766905271,37127796104679
584,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,72978356597327,86,29028437449,1255942551482
584,pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,76271368835677,86,28925924716,101005847908
584,pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,73312107248558,85,28584178883,100399094013
584,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,71893767636100,84,35287124534,71893767636100
584,pool1fxra32qureulvqrhrdpnrl5yechhqreg2khrghv3tkl4z66t0rm,70025156545263,83,27906122203,0
584,pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je,73855798867297,83,33276710313,58410788757035
584,pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,74030982224032,83,35686912029,74030982224032
584,pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7,75612330809626,83,27906133168,4787231866
584,pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,68435454983597,81,27233696236,3156896572
584,pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,75288719910850,81,27287238139,557051261708
584,pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a,73023401920804,80,26897467186,73023401920804
584,pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,75180593498316,79,26561259282,4199768714
584,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,71952172281397,78,32771843704,71952172281397
584,pool1qc05c76autq4235sq20zu4vjwtl5m0xn4mxq9kg6e66uwz95kd4,70031353684776,78,26225030497,0
584,pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z,74433766689513,78,26235344904,105365091187
584,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,70022428062092,77,25888812164,0
584,pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,70023597169952,77,25888812164,0
584,pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,70023779406744,77,25888812163,0
584,pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,73195793231949,77,25914264027,256845279143
584,pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,74566063923807,77,25995696386,1050050000000
584,pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,73270850529178,76,25577714786,256866919549
584,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,67384003316999,76,25682958212,1340017234650
584,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,70023609676597,76,25552593822,0
584,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,71850851579776,76,31922697621,71850851579776
584,pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,72940988607993,76,25562641741,101007034428
584,pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,62250529838418,76,25582716823,509680544125
584,pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,74039975954071,76,32678051288,74039975954071
584,pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,74685714027721,76,30508045843,55136946114862
584,pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,69536378437568,75,25226291519,101008923851
584,pool19pyfv4xnln8x4l7auw0n0skk3hd97shun707hrw5d4s553ys74x,65739702029465,75,25241157535,250002026843
584,pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,71034119930916,75,31517656335,71034008591047
584,pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,75815699672938,75,25265965843,519578151468
584,pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,74846716937421,75,25516675960,3930373347417
584,pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,68354211377078,74,24889940273,152984893820
584,pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,70947932330589,73,24545676001,18783549034
584,pool1nee5kmpzv0qfz7lu258fe9ylgxh68lsqqdmjgw7jnheej3usn35,64329845672670,73,29760145126,64328596815617
584,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,70075667171324,73,24543938801,0
584,pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f,74807940773978,73,27417862801,73337134385476
584,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,70325092050584,72,24207720463,0
584,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,71976734796971,72,24217238175,134618734486
584,pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,69105538314517,72,24237220376,359393655000
584,pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,70593972140431,72,24231516141,250002026843
584,pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,70188200679987,72,24207720462,0
584,pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g,74152405922603,72,27032148617,72965728085608
584,pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,70901962501762,71,23880889494,115044620690
584,pool1zz7x8ergn02chznayj9fjds2gk5q6prmpdr49faspd65kzqsrjs,63270248883902,71,23871510060,2933317514
584,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,76173240451398,71,24153172120,5014337874087
584,pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,78444534307350,71,23219134263,101009372616
584,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,70528943558877,70,23535283782,0
584,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,75173000377938,70,23590818363,1000513435048
584,pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,70189590483478,69,23217305109,204095796740
584,pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,63173438060473,69,23199083681,5778172355
584,pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,64743101041112,69,23199141090,1500297861
584,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,70022498696434,69,23199065446,0
584,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,74831913101368,69,23267487185,924588129239
584,pool1fd0q9h8974y6psejmzczlywy8fgxxy07rn2ynrwu734aqwq540p,56661649513806,68,22862847094,0
584,pool1wvaj307ee8jfewv9qjtgk0q3elmpe5lz4n2dec2303062f7dc4c,63625450807372,68,22862847106,0
584,pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,76563179919261,68,28150586789,73448330590093
584,pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,77365591282810,68,22561474456,256799229335
584,pool1dzdxps32uqhva9q9urx4lm7m0nhlczjjccwy9kv4t2d3krsn4m7,50000279233524,67,22526628768,0
584,pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,72468815755892,67,22615171434,1101512270236
584,pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,70201664525502,67,22526628765,0
584,pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,69145036950806,67,22526637627,2719978456
584,pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz,61657590484236,67,22557606075,386735109984
584,pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,65457494708837,67,22539999605,168319513118
584,pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,69672812826631,67,22526646486,3187715729
