epoch,stake_range,pool_count,pools_with_blocks,controlled_stake_ada,blocks_produced,operator_rewards_ada,member_rewards_ada,pool_rewards_ada,% of Total Stake,% of Blocks,% of Pool Rewards
547,Inactive,1418,1,38656197.65,1,345.0,13.93,358.93,0.18,0.0,0.0
547,< 3M,754,301,564049379.54,606,92206.54,107375.41,199581.95,2.6,2.81,2.68
547,3M - 10M,225,217,1297434608.32,1294,111192.82,335382.44,446575.26,5.99,6.0,6.0
547,10M - 20M,125,124,1801427782.33,1814,100877.66,528658.5,629536.16,8.32,8.4,8.45
547,20M - 30M,113,113,2743050526.01,2657,260163.56,669032.67,929196.23,12.67,12.31,12.48
547,30M - 40M,92,92,3157115852.09,3118,43350.65,1026211.9,1069562.54,14.58,14.45,14.36
547,40M - 50M,53,53,2353971626.06,2419,72428.93,766584.4,839013.33,10.87,11.21,11.26
547,50M - 60M,42,42,2271181275.36,2311,217546.27,603815.96,821362.24,10.49,10.71,11.03
547,60M - 70M,52,52,3379688207.92,3335,103107.23,999210.3,1102317.53,15.61,15.45,14.8
547,> 70M,56,56,4048927648.07,4028,304305.82,1106308.39,1410614.21,18.7,18.66,18.94
547,--- TOTALS ---,2930,1051,21655503103.34,21583,1305524.48,6142593.9,7448118.38,100.0,100.0,100.0
548,Inactive,1418,0,37634084.93,0,0.0,0.0,0.0,0.17,0.0,0.0
548,< 3M,756,304,571135105.61,553,93403.69,88737.79,182141.47,2.63,2.59,2.47
548,3M - 10M,222,216,1281541649.82,1244,102936.08,326233.15,429169.23,5.9,5.82,5.81
548,10M - 20M,127,127,1811500969.3,1806,117947.7,510210.23,628157.93,8.34,8.46,8.51
548,20M - 30M,112,112,2714728516.52,2668,246390.25,687009.98,933400.22,12.5,12.49,12.64
548,30M - 40M,94,94,3236652874.18,3216,54140.05,1051831.93,1105971.99,14.9,15.06,14.97
548,40M - 50M,49,49,2180484951.26,2183,64577.58,692676.52,757254.1,10.04,10.22,10.25
548,50M - 60M,42,42,2265934949.74,2217,223105.89,565905.04,789010.93,10.43,10.38,10.68
548,60M - 70M,53,53,3433733293.59,3369,100104.24,1001102.04,1101206.28,15.8,15.77,14.91
548,> 70M,58,58,4192736112.68,4103,321844.33,1137399.16,1459243.49,19.3,19.21,19.76
548,--- TOTALS ---,2931,1055,21726082507.64,21359,1324449.81,6061105.85,7385555.65,100.0,100.0,100.0
549,Inactive,1419,0,37493839.34,0,0.0,0.0,0.0,0.17,0.0,0.0
549,< 3M,754,299,571309283.8,522,89113.6,86297.01,175410.61,2.62,2.45,2.39
549,3M - 10M,223,216,1293055620.66,1246,106007.01,322864.4,428871.42,5.94,5.85,5.84
549,10M - 20M,127,127,1831402839.4,1711,109130.51,479541.14,588671.66,8.41,8.04,8.01
549,20M - 30M,109,109,2654926832.03,2535,238826.71,648138.91,886965.62,12.2,11.91,12.07
549,30M - 40M,95,95,3271048301.03,3236,66043.88,1047171.66,1113215.54,15.03,15.2,15.15
549,40M - 50M,50,50,2229372469.08,2315,82492.59,725470.24,807962.83,10.24,10.88,11.0
549,50M - 60M,43,43,2336926509.64,2282,188833.92,617877.31,806711.23,10.74,10.72,10.98
549,60M - 70M,49,49,3190344477.19,3210,106622.71,939808.27,1046430.98,14.66,15.08,14.24
549,> 70M,60,60,4350191009.94,4226,288073.23,1204651.0,1492724.23,19.99,19.86,20.32
549,--- TOTALS ---,2929,1048,21766071182.1,21283,1275144.18,6071819.93,7346964.11,100.0,100.0,100.0
