epoch_no,productive_pools,entity_pools,independent_pools,mpo_entities,active_entities,entity_stake_B,independent_stake_B,independent_share_pct
210,445,135,310,23,45,3922.147852410209,2115.636101288014,35.039943752743234
211,524,142,382,25,46,7209.909113201019,2919.73062485853,28.823637368744553
212,554,158,396,28,51,8433.514153187,3607.455487190243,29.959842063659757
213,565,161,404,28,51,9105.405643651822,3577.683107738352,28.208295139038647
214,553,169,384,28,52,9562.45952491212,3737.966959913045,28.104113534838888
215,511,170,341,29,53,10074.778489933144,3700.942301194073,26.86568897053871
216,498,172,326,29,53,10561.201065114004,3745.377877237103,26.17940943344487
217,481,172,309,29,53,10814.910778927097,3864.111512812035,26.324038726929576
218,485,174,311,29,53,10939.585321929046,3950.293088175387,26.53005605132864
219,483,175,308,29,54,11527.484270381956,4030.134272004855,25.904570555093205
220,481,176,305,30,55,11677.495477812134,4081.2014813667,25.898089746497455
221,486,176,310,30,55,11785.557272248192,4179.60505862135,26.179533737278998
222,481,176,305,30,55,12026.110416852822,4248.017689461047,26.10288957853874
223,479,176,303,30,55,12188.12836017748,4453.868920414382,26.762826873001284
224,478,177,301,30,56,12277.20992901662,4606.26346899612,27.282676736045904
225,487,182,305,32,57,12303.819177489,4696.612239131357,27.626429730128766
226,484,183,301,32,57,12426.842652426554,4683.979955930126,27.37437038031437
227,487,186,301,32,57,12352.966253440309,4812.137746353817,28.03442231641319
228,475,192,283,32,57,12375.37724185718,4874.167699067887,28.256790053074248
229,481,211,270,33,58,14359.603133204426,5037.772509598323,25.971412846600984
230,494,232,262,36,60,14282.844322322828,5238.32788512056,26.83408470277822
231,519,241,278,39,60,14429.596634974956,5361.949694613107,27.092121076952296
232,534,236,298,40,61,14533.213680951685,5323.150188989138,26.80828284501518
233,557,251,306,42,61,14371.129294461043,5431.822998095773,27.42935961188671
234,601,266,335,41,62,13914.53107488523,6071.910625711084,30.380148285874835
235,613,272,341,42,64,13783.508820147428,6319.84705171754,31.43677648646855
236,669,305,364,43,64,13709.208669946747,6569.610256633826,32.39641460589538
237,673,326,347,44,64,13823.011993904032,6546.181294449927,32.13765612501056
238,678,327,351,44,64,13773.44777124316,6714.260560553019,32.77214050403446
239,694,321,373,45,64,14491.591746520387,6744.536709483897,31.759728349057674
240,698,323,375,45,66,14499.249411814437,6821.501138247557,31.99465760940448
241,705,325,380,46,66,14563.322485811635,6953.204436750994,32.315644907634855
242,730,331,399,47,66,14562.617862258212,7077.682937859821,32.70602845696682
243,731,331,400,47,66,14696.002847355947,7035.199298797468,32.373723512772855
244,736,334,402,49,66,14797.282346700302,7039.830633281,32.23791826206427
245,742,351,391,49,66,14842.838247460291,7119.498101135253,32.41685214237479
246,744,353,391,49,67,14859.304373288807,7200.075383455842,32.639518712009206
247,793,362,431,49,68,14640.251616967513,7517.239649400961,33.92640240283397
248,804,365,439,50,68,14647.298564700171,7609.836321681011,34.1905477076358
249,797,366,431,51,68,14692.423911848127,7547.194049734828,33.935807992619125
250,824,369,455,53,68,14737.514022969124,8159.318382609652,35.63514043375557
251,832,376,456,53,71,14668.535108024493,8214.33729227483,35.89731720991191
252,838,381,457,54,71,14322.62451564919,8196.829267548877,36.398881369247924
253,851,401,450,55,71,14409.303324675948,8237.98788324466,36.37515766284458
254,854,417,437,55,71,14511.672609435464,8248.627331236856,36.24129450287551
255,855,417,438,56,72,14266.03607616978,8302.879582838625,36.789005321682446
256,862,418,444,56,72,13971.331610476884,8331.023023207783,37.35490337251166
257,878,425,453,56,72,14106.666667028449,8376.617431715345,37.257090178313284
258,881,426,455,56,72,14150.065904105246,8416.566026590666,37.29650952095409
259,892,430,462,56,72,14164.724446247881,8432.606554808002,37.31682540037131
260,890,419,471,56,72,14163.124524345923,8429.927454824452,37.31203496807961
261,897,418,479,58,72,14164.039950784156,8350.80574509168,37.09021975052372
262,904,418,486,59,72,14189.240121317453,8366.575361135889,37.09276380472446
263,906,419,487,59,72,14232.37547719915,8291.89901108894,36.8131680130273
264,915,421,494,59,72,14250.291614791464,8504.552813258386,37.374691091163164
265,918,421,497,59,72,14288.257637897206,8536.182287628792,37.39930668827604
266,929,422,507,59,73,14197.078014935723,8687.862410209947,37.963229306307646
267,934,425,509,59,75,14117.227489532474,8706.324654660479,38.14622982284398
268,953,426,527,59,75,14035.9164593943,8615.901126100433,38.03624629053031
269,947,427,520,60,75,14011.39027514838,8579.574641407957,37.9779025512992
270,947,428,519,61,75,14130.192247986963,8562.950572134767,37.73364773671677
271,953,432,521,62,75,14156.090665861166,8615.138242773028,37.833435680348444
272,950,433,517,62,75,14193.292419683303,8624.21427761014,37.79647965933598
273,952,433,519,62,75,14266.073099527832,8602.53307665631,37.61721641616782
274,956,434,522,62,75,14337.148526708404,8554.2279660959,37.3687793251963
275,959,434,525,62,75,14291.151277769875,8511.949737683566,37.32803591895287
276,963,436,527,63,75,14299.959188153058,8585.41750412771,37.51486208668599
277,965,440,525,63,75,14360.2860874271,8623.7265582222,37.52054391535765
278,967,441,526,63,75,14322.665910923117,8661.91103949498,37.68575361722034
279,988,443,545,63,75,14303.82305149098,8695.768717575127,37.80836114348223
280,999,442,557,63,75,14306.522275068935,8713.05085589719,37.850618716192955
281,1002,443,559,63,75,14314.196656873008,8723.103479665495,37.86512928149138
282,1005,446,559,64,75,14262.96517031842,8766.761140991852,38.0671529591142
283,1006,447,559,65,75,14296.267472616513,8764.43083614931,38.00592123794351
284,1007,447,560,65,75,14267.526167921207,8787.988253848409,38.11664356337485
285,1008,447,561,65,75,14122.150409008505,8814.944452635817,38.43095433753587
286,1017,449,568,66,75,14115.814421252038,8805.900304510953,38.41728426457342
287,1026,452,574,66,75,13985.05213380977,8834.855962152807,38.71556329236891
288,1028,453,575,66,75,14034.457434082033,8887.696041354853,38.773390339955654
289,1031,453,578,66,75,14070.339303153925,9027.811328895405,39.08456340382966
290,1028,453,575,66,75,14012.624370380332,9026.571539817029,39.17919520716339
291,1025,454,571,66,75,13989.064576573712,9018.898369814136,39.19903031324233
292,1028,455,573,66,75,14059.039759375475,9050.240090850892,39.16279585303581
293,1027,458,569,66,75,14100.432922966207,9078.898465303437,39.168077427367
294,1028,459,569,66,75,14102.280484999648,9063.621421583255,39.12483726354598
295,1029,459,570,66,75,14019.174511614512,9175.3675482767,39.558304382922294
296,1027,460,567,66,76,14013.216196407173,9213.316436944157,39.66720552905351
297,1028,461,567,66,76,13987.066837079503,9260.842066287343,39.835161539824156
298,1016,468,548,66,76,14009.65945056423,9270.333490445613,39.821032222544495
299,1018,468,550,66,76,14094.538815997365,9237.897649684848,39.592511751921506
300,1025,470,555,66,76,14397.327799063632,9254.374955256633,39.12773237252954
301,1031,471,560,66,76,14370.172416354364,9261.371447924264,39.19071687027492
302,1031,471,560,66,76,14381.064405231356,9228.086266726861,39.08690488255271
303,1031,471,560,66,76,14368.369493930202,9243.610046061169,39.14796737141569
304,1033,471,562,66,76,14406.954819586164,9214.833325140558,39.00988895795198
305,1030,471,559,66,76,14604.984864951814,9017.00958358552,38.172092552260544
306,1021,473,548,66,76,14652.056374535052,8942.543768867197,37.90080660200464
307,1021,478,543,67,76,14876.352081681727,8736.288674236983,36.99835509523498
308,1021,478,543,67,76,15007.259422693807,8579.742504247284,36.37487515718348
309,1016,478,538,67,76,15154.355439146366,8367.257980179751,35.57263624316239
310,1016,479,537,67,76,15184.778926160876,8351.926718367502,35.484688658240884
311,1009,480,529,67,76,15194.595913968711,8301.409405769104,35.33115222269508
312,1010,480,530,67,76,15217.832903537083,8288.00964160596,35.259359989708145
313,1010,480,530,67,76,15271.560561498844,8219.203739013401,34.98908606747278
314,1009,478,531,67,76,15172.57169680134,8202.752315077623,35.09150209387094
315,1013,479,534,67,76,15094.391454107088,8222.925761036937,35.26531669645232
316,1008,479,529,67,76,15123.498358029565,8200.119871244124,35.15800932186447
317,978,480,498,67,76,15447.231727873532,7904.011652142482,33.848354554459114
318,953,482,471,67,76,15429.274214444267,7919.669675044813,33.918749012926384
319,951,482,469,67,76,15381.83191090212,7949.357787861551,34.07180641235277
320,959,483,476,67,76,15343.623301770096,7988.223408732645,34.23742452900986
321,964,483,481,67,76,15294.52272729977,8017.815219609198,34.39301213747331
322,966,485,481,68,77,15258.031541882652,8019.51916122445,34.4517310412474
323,1027,489,538,68,77,13747.516926340568,9516.406877242676,40.90628458719807
324,1033,490,543,68,77,13577.928932293004,9553.442504482777,41.30080453982112
325,1040,490,550,68,77,13936.552726929156,9253.710443471424,39.903430053707226
326,1008,492,516,69,77,14310.248473368896,8749.759017888742,37.943435279480695
327,1013,494,519,69,77,14336.198559374856,8685.309230012146,37.726934784072256
328,1019,495,524,70,77,14442.623117894527,8542.733740991105,37.165982644679595
329,1029,518,511,70,77,15849.638272527052,8504.28926533812,34.91958022834617
330,1024,526,498,70,77,15809.071717604227,8531.72097496722,35.0511221336313
331,1026,526,500,70,77,15675.783938663506,8747.729954593144,35.816836155621324
332,1027,526,501,70,77,15725.640159854103,8762.928569650217,35.783751457440076
333,1024,526,498,70,77,15748.351723075824,8723.94714180259,35.64825352113863
334,1019,528,491,70,77,15791.863382889323,8738.180646454555,35.62236022080341
335,1019,528,491,70,77,15794.862222695427,8727.520756689408,35.59001897991052
336,1015,528,487,70,77,15814.812467431824,8703.205452392718,35.497182035076186
337,1014,529,485,70,77,15829.852170880016,8674.51051493832,35.39986175587667
338,1015,534,481,70,77,15730.215007182029,8646.616677377491,35.47063371182206
339,1021,536,485,70,77,15829.217756967051,8613.285588929222,35.23896659453801
340,1017,537,480,70,77,15811.333402876926,8423.551079772817,34.75795845366382
341,1022,537,485,70,77,15913.89019703028,8402.104000550264,34.55381643982411
342,1020,537,483,70,77,16006.644566316108,8413.60594826866,34.453397368891494
343,1021,538,483,70,77,16042.573420312316,8261.616179976189,33.99255978433495
344,1022,537,485,70,77,16130.082485951463,8238.288119695362,33.80729985199061
345,1028,543,485,70,77,16188.238039325877,8255.03832462539,33.77222513754272
346,1028,543,485,70,77,16163.170378323332,8237.394662010018,33.759032417461924
347,1031,543,488,70,77,16292.981620351198,8140.779674113132,33.31775069750515
348,1029,543,486,70,77,16298.06610351178,8135.028020056111,33.29512004870948
349,1028,543,485,70,77,16073.564871796409,8127.524906612418,33.583301334898756
350,1030,543,487,70,77,16089.789694301153,8119.970350842587,33.540069524445286
351,1029,545,484,70,77,16096.538298361775,8124.055719782072,33.54193424693166
352,1032,545,487,70,77,16083.167667140577,8123.322609149278,33.55844864922874
353,1038,545,493,70,77,16097.795568157046,8123.621410993377,33.53900152904397
354,1031,545,486,70,77,16110.404130308169,8119.746105078996,33.51091935542534
355,1032,549,483,70,77,16187.833235768288,8105.751262578149,33.365810068620675
356,1037,548,489,70,77,16167.654677356753,8095.676475731974,33.36589038270367
357,1036,549,487,70,77,16197.528395039652,8077.97374184276,33.276237485401715
358,1038,550,488,70,78,16245.3335329942,8073.844103368542,33.19949475304747
359,1034,550,484,70,78,16276.1274105305,8109.047088607735,33.25400475971294
360,1037,554,483,70,78,16277.702157846288,8121.712588616286,33.28650573388762
361,1036,555,481,70,78,16354.375576308184,8137.614417641584,33.22561547531177
362,1039,557,482,70,78,16356.483585450942,8125.308238085499,33.18918932344627
363,1040,557,483,70,78,16375.727644428502,8164.922769113608,33.27101210246657
364,1045,557,488,70,78,16623.156844171834,8190.954629405129,33.00926022729921
365,1046,559,487,71,78,16620.558254454445,8187.015603834627,33.00208093948317
366,1049,559,490,71,78,16614.00522503731,8180.097670722872,32.99210987836014
367,1048,559,489,71,78,16630.143086718926,8195.532312477382,33.01232365562428
368,1053,559,494,71,78,16599.352106458893,8230.9970263936,33.148937948292264
369,1056,559,497,71,79,16757.63369799683,8159.937428546603,32.74772403420265
370,1054,561,493,71,79,16781.582598139114,8148.566595254639,32.68559097678377
371,1053,561,492,71,79,16741.996578190767,8122.34821358795,32.666648896670566
372,1060,562,498,71,80,16719.839817981203,8130.592340981772,32.718112461675055
373,1058,562,496,71,80,16749.215326246023,8103.880163860853,32.60712601006468
374,1058,569,489,71,80,16754.02562200321,8106.32262385491,32.607437931628624
375,1064,585,479,71,80,16764.50548488166,8175.911867464997,32.78177647133768
376,1060,585,475,71,80,16928.679324377812,8108.289712242763,32.38526876149861
377,1057,585,472,71,80,16971.72910531461,7990.939334774439,32.011558996398435
