epoch_no,redelegations,initial_delegations,renewals,total_certs
210,3428,17305,597,21330
211,2777,6969,499,10245
212,2281,6419,458,9158
213,2710,4772,442,7924
214,2060,3460,407,5927
215,2952,3502,365,6819
216,2754,4720,299,7773
217,2282,4198,447,6927
218,1850,2550,351,4751
219,1662,1934,443,4039
220,1588,1734,323,3645
221,1736,1957,263,3956
222,1513,1967,197,3677
223,1504,1541,232,3277
224,1491,1536,217,3244
225,1374,1387,176,2937
226,1407,1416,191,3014
227,1294,1252,189,2735
228,1815,1204,169,3188
229,1719,1889,264,3872
230,2697,4456,308,7461
231,3658,2755,284,6697
232,3645,3600,403,7648
233,4043,4325,685,9053
234,7422,5186,1129,13737
235,5045,4440,1352,10837
236,4580,4049,1495,10124
237,2694,3809,1358,7861
238,2842,3791,812,7445
239,2284,3714,728,6726
240,2576,5479,860,8915
241,2999,7177,1028,11204
242,3901,11156,1211,16268
243,2865,8832,1017,12714
244,3355,10867,1169,15391
245,2968,7743,937,11648
246,2977,7354,967,11298
247,3740,11943,1507,17190
248,5746,21230,1996,28972
249,6184,24379,2441,33004
250,6766,24026,2672,33464
251,7708,27085,2976,37769
252,8505,26721,3134,38360
253,7610,25871,2980,36461
254,6320,19268,2449,28037
255,6041,16979,2250,25270
256,6294,20279,2659,29232
257,5107,14530,2129,21766
258,5585,14460,1963,22008
259,5379,14910,2101,22390
260,5418,12553,1698,19669
261,5784,15615,2142,23541
262,5270,14606,2063,21939
263,4714,12965,1930,19609
264,5118,14149,2013,21280
265,5441,14962,2059,22462
266,6895,20780,2533,30208
267,8327,25046,3214,36587
268,8265,27455,3808,39528
269,6972,21172,1704,29848
270,7173,19295,1248,27716
271,8186,19304,1296,28786
272,7191,15510,924,23625
273,6108,11839,824,18771
274,5529,10782,858,17169
275,5306,10277,788,16371
276,5075,9933,810,15818
277,7226,11504,856,19586
278,7029,11148,821,18998
279,5706,9327,817,15850
280,4569,8124,819,13512
281,4708,7799,789,13296
282,4891,7943,849,13683
283,5046,9144,1012,15202
284,5094,9489,900,15483
285,6908,12075,1174,20157
286,8065,14709,1334,24108
287,9310,18753,1779,29842
288,7964,17363,1522,26849
289,7356,15998,1452,24806
290,9266,16758,1460,27484
291,7806,15529,1349,24684
292,7857,15605,1095,24557
293,9206,15133,1102,25441
294,7138,12498,992,20628
295,7454,11367,1095,19916
296,8728,12482,915,22125
297,8420,11117,954,20491
298,6743,10211,835,17789
299,7052,10505,1031,18588
300,7822,10395,866,19083
301,7403,10794,959,19156
302,6029,10391,977,17397
303,6974,11887,1018,19879
304,8330,13588,1081,22999
305,17088,13855,1184,32127
306,12901,14642,1315,28858
307,11637,12087,1083,24807
308,13790,13370,1263,28423
309,19047,12044,1119,32210
310,11834,8748,851,21433
311,9284,8214,744,18242
312,7056,7909,743,15708
313,6497,8159,800,15456
314,6706,11014,834,18554
315,7028,16116,883,24027
316,7273,13459,919,21651
317,47869,45057,4013,96939
318,24834,30240,2117,57191
319,8494,13332,966,22792
320,9051,9734,876,19661
321,9228,8857,875,18960
322,7941,7490,767,16198
323,39400,8338,2055,49793
324,11616,5494,1018,18128
325,11130,5085,736,16951
326,9435,4664,677,14776
327,7331,4206,608,12145
328,10867,4250,576,15693
329,11022,4729,690,16441
330,10312,5616,841,16769
331,10301,4883,794,15978
332,5785,4109,571,10465
333,4320,3576,490,8386
334,3872,3779,481,8132
335,4202,3525,464,8191
336,4885,4424,490,9799
337,4864,3059,461,8384
338,3274,3156,464,6894
339,3225,2627,425,6277
340,4904,4240,490,9634
341,4781,3289,407,8477
342,4575,3180,309,8064
343,3678,2774,733,7185
344,3092,2388,665,6145
345,2857,2296,309,5462
346,2671,2328,324,5323
347,3107,3320,609,7036
348,2538,2532,360,5430
349,2521,2399,289,5209
350,2564,2481,614,5659
351,2575,2368,759,5702
352,2106,2124,253,4483
353,2781,2191,324,5296
354,2493,2130,306,4929
355,2318,1846,301,4465
356,2235,1933,550,4718
357,2619,2068,412,5099
358,2227,1932,221,4380
359,2379,1723,244,4346
360,3788,2674,265,6727
361,2937,1810,216,4963
362,2503,1579,266,4348
363,2545,1851,284,4680
364,2655,1579,328,4562
