epoch_no,delegator_count,total_ada,mean_ada,top1pct_share,top01pct_share
210,17305,6057875151,350065,39.26,15.35
220,57143,15859988643,277549,56.94,33.08
230,74936,19636382937,262042,62.36,38.26
240,113824,21440591255,188366,64.86,32.85
250,243779,23034831199,94491,70.44,42.52
260,424918,22796009141,53648,73.76,47.13
270,595592,22893778548,38439,77.30,51.58
280,703888,23230827526,33004,77.92,52.45
290,814673,23253494676,28543,78.91,53.85
300,920846,23882888817,25936,80.16,56.03
310,1017022,23777625558,23380,80.60,57.12
320,1146245,23561047527,20555,80.60,57.30
330,1176081,24587384094,20906,82.33,61.01
340,1191165,24476700814,20549,82.69,61.68
350,1204892,24444238585,20287,82.62,61.64
360,1213836,24636399918,20296,82.50,61.59
370,1221920,25170337994,20599,82.96,62.45
380,1236145,25065309972,20277,82.40,61.76
390,1258922,25522388224,20273,82.21,61.62
400,1272453,24723813844,19430,81.41,60.15
410,1277313,23407071901,18325,80.18,57.63
420,1286487,22735339827,17672,79.62,56.60
430,1295429,22686201306,17513,79.35,55.74
440,1307467,22514867911,17220,78.99,55.52
450,1317529,22933912928,17407,79.20,56.30
460,1330033,22775568091,17124,79.30,56.46
470,1338696,22861134937,17077,79.47,56.80
480,1341999,22661310741,16886,79.81,57.00
490,1345286,22734331818,16899,79.97,57.17
500,1347061,22852658455,16965,80.05,57.26
510,1335280,22588758523,16917,79.82,56.83
520,1317281,22411934449,17014,79.77,56.63
530,1313221,21697209083,16522,80.10,56.67
540,1321125,21837205631,16529,80.58,57.44
550,1328718,21812491878,16416,80.73,57.76
560,1333813,22086101195,16559,80.98,58.27
570,1337356,22056635838,16493,81.03,58.35
580,1341689,21887150569,16313,81.19,58.58
590,1342784,21834289199,16260,81.31,58.71
600,1341233,21398446572,15954,81.35,58.73
610,1350711,21570932611,15970,81.71,59.40
620,1354467,21839820415,16124,81.97,59.91
