epoch_no,active_delegators,active_pools
211,24274,902
212,30693,1008
213,35465,1059
214,38925,1112
215,42427,1160
216,47147,1190
217,51345,1222
218,53895,1239
219,55829,1256
220,57563,1272
221,59520,1287
222,61487,1308
223,63028,1324
224,64564,1344
225,65951,1358
226,67367,1369
227,68619,1383
228,69823,1401
229,71712,1445
230,76168,1494
231,78923,1536
232,82523,1567
233,86848,1599
234,92034,1649
235,96474,1686
236,100523,1738
237,104332,1774
238,108123,1788
239,111837,1815
240,117316,1834
241,124493,1854
242,135649,1889
243,144481,1911
244,155348,1944
245,163091,1991
246,170445,2017
247,182388,2083
248,203618,2112
249,227997,2174
250,252023,2268
251,279108,2377
252,305829,2465
253,331700,2584
254,350968,2699
255,367947,2798
256,388226,2876
257,402756,2936
258,417216,2999
259,432126,3054
260,444679,3108
261,460294,3151
262,474900,3188
263,487865,3229
264,502014,3273
265,516976,3309
266,537756,3347
267,562802,3380
268,590257,3416
269,611429,3453
270,630724,3499
271,650028,3548
272,665538,3585
273,677377,3618
274,688159,3669
275,698436,3701
276,708369,3726
277,719873,3764
278,731021,3798
279,740348,3821
280,748472,3849
281,756271,3868
282,764214,3900
283,773358,3922
284,782847,3955
285,794922,3978
286,809631,4007
287,828384,4040
288,845747,4057
289,861745,4081
290,878503,4113
291,894032,4154
292,909637,4180
293,924770,4199
294,937268,4227
295,948635,4249
296,961117,4273
297,972234,4292
298,982445,4325
299,992950,4332
300,1003345,4352
301,1014139,4377
302,1024530,4395
303,1036417,4414
304,1050005,4440
305,1063860,4472
306,1078502,4495
307,1090589,4530
308,1103959,4540
309,1116003,4549
310,1124751,4565
311,1132965,4584
312,1140874,4596
313,1149033,4608
314,1160047,4617
315,1176163,4629
316,1189622,4638
317,1234679,4651
318,1264919,4666
319,1278251,4677
320,1287985,4691
321,1296842,4706
322,1304332,4725
323,1312670,4747
324,1318164,4757
325,1323249,4771
326,1327913,4790
327,1332119,4801
328,1336369,4810
329,1341098,4838
330,1346714,4857
331,1351597,4869
332,1355706,4876
333,1359282,4880
334,1363061,4897
335,1366586,4903
336,1371010,4912
337,1374069,4924
338,1377225,4934
339,1379852,4943
340,1384092,4951
341,1387381,4958
342,1390561,4960
343,1393335,4965
344,1395723,4970
345,1398019,4982
346,1400347,4988
347,1403667,4992
348,1406199,4998
349,1408598,4998
350,1411079,5005
351,1413447,5011
352,1415571,5016
353,1417762,5020
354,1419892,5025
355,1421738,5034
356,1423671,5038
357,1425739,5046
358,1427671,5053
359,1429394,5058
360,1432068,5069
361,1433878,5078
362,1435457,5086
363,1437308,5091
364,1438887,5099
365,1440493,5106
366,1441975,5111
367,1443509,5114
368,1445000,5120
369,1446436,5126
370,1447956,5131
371,1449414,5130
372,1451021,5137
373,1452758,5143
374,1454485,5159
375,1456166,5182
376,1458420,5189
377,1462737,5191
378,1466148,5195
379,1468858,5200
380,1471323,5207
381,1473573,5213
382,1475451,5221
383,1480495,5226
384,1483800,5232
385,1486502,5241
386,1489703,5246
387,1492630,5249
388,1495585,5256
389,1498610,5277
390,1500877,5278
391,1503279,5282
392,1505604,5285
393,1508197,5288
394,1511566,5293
395,1514246,5297
396,1516589,5299
397,1519090,5305
398,1521102,5313
399,1523037,5316
400,1524831,5322
401,1526883,5325
402,1528952,5327
403,1530933,5329
404,1532913,5334
405,1535007,5338
406,1537203,5346
407,1539977,5348
408,1541996,5353
409,1543737,5363
410,1545403,5367
411,1546830,5371
412,1548374,5371
413,1549881,5373
414,1551519,5374
415,1553196,5409
