epoch_no,entries,exits,survivors,net_change
212,6235,338,22463,5897
213,4759,425,28273,4334
214,3588,299,32733,3289
215,3681,496,35825,3185
216,4951,279,39227,4672
217,4279,347,43831,3932
218,2637,163,47947,2474
219,2053,205,50379,1848
220,1834,198,52234,1636
221,2081,157,53911,1924
222,2033,247,55745,1786
223,1636,167,57611,1469
224,1673,232,59015,1441
225,1444,72,60616,1372
226,1458,191,61869,1267
227,1363,203,63124,1160
228,1265,262,64225,1003
229,2002,366,65124,1636
230,4520,182,66944,4338
231,2835,184,71280,2651
232,3865,431,73684,3434
233,4455,264,77285,4191
234,5448,288,81452,5160
235,4462,279,86621,4183
236,4249,247,90836,4002
237,3825,225,94860,3600
238,3926,375,98310,3551
239,3780,958,101278,2822
240,5397,292,104766,5105
241,7485,314,109849,7171
242,11364,630,116704,10734
243,8855,449,127619,8406
244,10876,435,136039,10441
245,7848,399,146516,7449
246,7320,498,153866,6822
247,12512,925,160261,11587
248,21007,702,172071,20305
249,24123,1189,191889,22934
250,23798,1015,214997,22783
251,26479,1221,237574,25258
252,26355,1558,262495,24797
253,25553,1169,287681,24384
254,18892,1198,312036,17694
255,16594,1417,329511,15177
256,20007,1718,344387,18289
257,14415,1197,363197,13218
258,14489,1340,376272,13149
259,14842,1520,389241,13322
260,12442,1800,402283,10642
261,15539,1904,412821,13635
262,14574,1879,426481,12695
263,12957,1437,439618,11520
264,14518,1942,450633,12576
265,15129,1689,463462,13440
266,20831,2207,476384,18624
267,24895,2143,495072,22752
268,28736,3339,516628,25397
269,21154,2476,542888,18678
270,19281,1651,562391,17630
271,19466,1762,579910,17704
272,15944,1654,597722,14290
273,12133,1229,612437,10904
274,11043,1290,623280,9753
275,10475,1389,632934,9086
276,10090,1306,642103,8784
277,11511,1534,650659,9977
278,11118,1329,660841,9789
279,10538,2011,669948,8527
280,8431,1335,679151,7096
281,7948,1437,686145,6511
282,8262,1432,692661,6830
283,9487,1868,699055,7619
284,9920,2515,706027,7405
285,12470,3593,712354,8877
286,15357,2614,722210,12743
287,19187,3755,733812,15432
288,18226,2741,750258,15485
289,16235,3032,765452,13203
290,17264,4219,777468,13045
291,15456,3393,791339,12063
292,15913,2030,804765,13883
293,15803,1870,818808,13933
294,13388,1632,832979,11756
295,11613,2002,844365,9611
296,12660,2609,853369,10051
297,12663,6069,859960,6594
298,10629,3409,869214,7220
299,10738,3597,876246,7141
300,11556,3237,883747,8319
301,11067,3360,891943,7707
302,10752,3592,899418,7160
303,12289,3367,906803,8922
304,14321,3260,915832,11061
305,14379,2975,927178,11404
306,15152,5476,936081,9676
307,12687,2872,948361,9815
308,14029,3915,957133,10114
309,12501,3493,967669,9008
310,9220,2449,977721,6771
311,9095,17291,969650,-8196
312,9082,1995,976750,7087
313,9003,2178,983654,6825
314,11794,2895,989762,8899
315,17274,2183,999373,15091
316,14684,3735,1012912,10949
317,48345,9111,1018485,39234
318,31747,9830,1057000,21917
319,14666,2690,1086057,11976
320,11510,2641,1098082,8869
321,9975,2849,1106743,7126
322,7636,2606,1114112,5030
323,13860,5147,1116601,8713
324,8390,4054,1126407,4336
325,6360,3462,1131335,2898
326,5272,8960,1128735,-3688
327,5243,3283,1130724,1960
328,6157,5098,1130869,1059
329,5823,6005,1131021,-182
330,7622,5282,1131562,2340
331,6232,4238,1134946,1994
332,4842,3365,1137813,1477
333,3918,2148,1140507,1770
334,4134,2319,1142106,1815
335,4036,2514,1143726,1522
336,6114,3052,1144710,3062
337,4382,2611,1148213,1771
338,3616,2608,1149987,1008
339,4964,6039,1147564,-1075
340,4878,4872,1147656,6
341,4060,1954,1150580,2106
342,3613,1488,1153152,2125
343,3901,3923,1152842,-22
344,2950,3455,1153288,-505
345,3069,2140,1154098,929
346,2876,2021,1155146,855
347,3796,2441,1155581,1355
348,3233,1461,1157916,1772
349,2918,1270,1159879,1648
350,2762,1140,1161657,1622
351,2627,1455,1162964,1172
352,3080,2014,1163577,1066
353,3064,1840,1164817,1224
354,2158,6004,1161877,-3846
355,2412,1642,1162393,770
356,2737,1213,1163592,1524
357,2519,1021,1165308,1498
358,2264,2054,1165773,210
359,2093,1339,1166698,754
360,3456,963,1167828,2493
361,2194,1271,1170013,923
362,1826,1448,1170759,378
363,2491,1398,1171187,1093
364,1835,1290,1172388,545
365,2250,818,1173405,1432
366,2066,1321,1174334,745
367,1897,1493,1174907,404
368,2067,974,1175830,1093
369,2141,1090,1176807,1051
370,2388,1952,1176996,436
371,1613,1596,1177788,17
372,2984,1674,1177727,1310
373,3305,2198,1178513,1107
374,2878,2713,1179105,165
375,2546,1051,1180932,1495
376,2636,2255,1181223,381
377,4784,2159,1181700,2625
378,3678,1195,1185289,2483
379,3127,2583,1186384,544
380,3207,1768,1187743,1439
381,3151,1138,1189812,2013
382,2111,788,1192175,1323
383,3992,1380,1192906,2612
384,3551,1185,1195713,2366
385,3227,974,1198290,2253
386,3818,1368,1200149,2450
387,5364,992,1202975,4372
388,3367,1283,1207056,2084
389,3560,1385,1209038,2175
390,3294,1824,1210774,1470
391,3041,1592,1212476,1449
392,3111,1991,1213526,1120
393,5274,2119,1214518,3155
394,3744,2508,1217284,1236
395,4625,1449,1219579,3176
396,2673,1688,1222516,985
397,2766,3283,1221906,-517
398,2416,2826,1221846,-410
399,2320,1141,1223121,1179
400,2613,1705,1223736,908
401,2369,2756,1223593,-387
402,2921,1609,1224353,1312
403,2584,2295,1224979,289
404,3438,1615,1225948,1823
405,2696,7479,1221907,-4783
406,3773,947,1223656,2826
407,3286,1429,1226000,1857
408,3521,2992,1226294,529
409,3094,3332,1226483,-238
410,1917,1425,1228152,492
411,3133,1320,1228749,1813
412,2545,1754,1230128,791
413,1813,1032,1231641,781
414,2867,2734,1230720,133
415,2685,1309,1232278,1376
416,3437,1988,1232975,1449
417,3662,1118,1235294,2544
418,2987,3086,1235870,-99
419,3183,2369,1236488,814
420,2419,1722,1237949,697
421,2317,1068,1239300,1249
422,1983,1056,1240561,927
423,2330,1529,1241015,801
424,2131,1219,1242126,912
425,1984,1235,1243022,749
426,3446,1756,1243250,1690
427,1978,2337,1244359,-359
428,2143,1017,1245320,1126
429,1913,1146,1246317,767
430,1612,778,1247452,834
431,1526,664,1248400,862
432,1844,1179,1248747,665
433,2481,717,1249874,1764
434,2463,667,1251688,1796
435,2302,1318,1252833,984
436,2990,625,1254510,2365
437,1787,985,1256515,802
438,2705,1571,1256731,1134
439,2413,755,1258681,1658
440,1619,1373,1259721,246
441,1684,1039,1260301,645
442,3001,927,1261058,2074
443,1598,1971,1262088,-373
444,1632,584,1263102,1048
445,2880,1028,1263706,1852
446,3046,1157,1265429,1889
447,2836,2424,1266051,412
448,3011,1315,1267572,1696
449,3094,2827,1267756,267
450,2799,2869,1267981,-70
451,2928,1342,1269438,1586
452,2855,1805,1270561,1050
453,2426,1126,1272290,1300
454,2924,1853,1272863,1071
455,4161,4898,1270889,-737
456,3403,1874,1273176,1529
457,2739,1477,1275102,1262
458,3199,1556,1276285,1643
459,3288,3275,1276209,13
460,3448,1837,1277660,1611
461,3049,2315,1278793,734
462,2961,1874,1279968,1087
463,2755,1814,1281115,941
464,2804,2269,1281601,535
465,2366,1535,1282870,831
466,2493,1173,1284063,1320
467,2015,2394,1284162,-379
468,2460,2990,1283187,-530
469,3155,2008,1283639,1147
470,2773,1557,1285237,1216
471,3931,3620,1284390,311
472,4413,4768,1283553,-355
473,3446,3245,1284721,201
474,3443,2793,1285374,650
475,2775,2717,1286100,58
476,2376,1995,1286880,381
477,2264,4162,1285094,-1898
478,2071,3270,1284088,-1199
479,3001,1734,1284425,1267
480,1749,2842,1284584,-1093
481,1860,1188,1285145,672
482,3056,854,1286151,2202
483,1686,1440,1287767,246
484,3338,974,1288479,2364
485,1209,832,1290985,377
486,1314,1180,1291014,134
487,1416,2309,1290019,-893
488,1600,1225,1290210,375
489,1329,2725,1289085,-1396
490,3273,920,1289494,2353
491,1227,827,1291940,400
492,2589,2454,1290713,135
493,1131,713,1292589,418
494,1360,778,1292942,582
495,1059,1431,1292871,-372
496,1016,779,1293151,237
497,1413,1952,1292215,-539
498,1167,1168,1292460,-1
499,1269,787,1292840,482
500,1015,689,1293420,326
501,1282,706,1293729,576
502,929,686,1294325,243
503,2463,15398,1279856,-12935
504,1097,2081,1280238,-984
505,1081,845,1280490,236
506,1226,733,1280838,493
507,1146,709,1281355,437
508,1319,1168,1281333,151
509,1367,1301,1281351,66
510,1261,1624,1281094,-363
511,1255,727,1281628,528
512,2080,1345,1281538,735
513,1668,760,1282858,908
514,1645,2715,1281811,-1070
515,1529,18665,1264791,-17136
516,1490,847,1265473,643
517,2427,5083,1261880,-2656
518,2544,1296,1263011,1248
519,1014,2226,1263329,-1212
520,1208,1970,1262373,-762
521,993,2565,1261016,-1572
522,2604,3281,1258728,-677
523,2843,6942,1254390,-4099
524,3782,3729,1253504,53
525,4427,6448,1250838,-2021
526,3057,3522,1251743,-465
527,4913,5527,1249273,-614
528,4341,2909,1251277,1432
529,2840,1658,1253960,1182
530,2236,1502,1255298,734
531,1948,1491,1256043,457
532,2286,1266,1256725,1020
533,2365,2430,1256581,-65
534,2202,1049,1257897,1153
535,1682,1122,1258977,560
536,2272,2888,1257771,-616
537,2232,1189,1258854,1043
538,2064,952,1260134,1112
539,2109,1878,1260320,231
540,1685,839,1261590,846
541,2583,639,1262636,1944
542,1476,1197,1264022,279
543,3040,1018,1264480,2022
544,1473,2892,1264628,-1419
545,2364,1329,1264772,1035
546,1672,1590,1265546,82
547,1505,456,1266762,1049
548,1209,509,1267758,700
549,1678,760,1268207,918
550,1351,1301,1268584,50
551,1735,691,1269244,1044
552,1212,903,1270076,309
553,1268,324,1270964,944
554,1206,669,1271563,537
555,1681,929,1271840,752
556,1373,642,1272879,731
557,1504,371,1273881,1133
558,1762,2234,1273151,-472
559,1299,1802,1273111,-503
560,1632,659,1273751,973
561,1434,1051,1274332,383
562,1252,2856,1272910,-1604
563,1063,1269,1272893,-206
564,1280,566,1273390,714
565,1139,1120,1273550,19
566,1584,928,1273761,656
567,1377,637,1274708,740
568,1052,714,1275371,338
569,1027,517,1275906,510
570,972,1097,1275836,-125
571,1712,1185,1275623,527
572,1760,1450,1275885,310
573,1913,1316,1276329,597
574,1264,2702,1275540,-1438
575,1254,812,1275992,442
576,1873,999,1276247,874
577,2076,1035,1277085,1041
578,2070,1769,1277392,301
579,1435,2844,1276618,-1409
580,1714,817,1277236,897
581,1423,644,1278306,779
582,1341,680,1279049,661
583,1372,779,1279611,593
584,1514,1856,1279127,-342
585,1576,2712,1277929,-1136
586,1320,1119,1278386,201
587,1619,536,1279170,1083
588,1292,1063,1279726,229
589,1654,979,1280039,675
590,1260,3016,1278677,-1756
591,1198,785,1279152,413
592,948,843,1279507,105
593,1171,900,1279555,271
594,1291,1247,1279479,44
595,1066,1037,1279733,29
596,864,558,1280241,306
597,1113,808,1280297,305
598,1183,806,1280604,377
599,989,2512,1279275,-1523
600,1301,560,1279704,741
601,1617,1649,1279356,-32
602,1210,581,1280392,629
603,1838,1129,1280473,709
604,2411,735,1281576,1676
605,2095,730,1283257,1365
606,3725,624,1284728,3101
607,1296,1126,1287327,170
608,1665,1085,1287538,580
609,1154,1079,1288124,75
610,1070,550,1288728,520
611,1011,510,1289288,501
612,1155,678,1289621,477
613,1337,719,1290057,618
614,1013,811,1290583,202
615,1026,1223,1290373,-197
616,966,323,1291076,643
617,863,1424,1290618,-561
618,929,704,1290777,225
619,1303,400,1291306,903
620,2146,307,1292302,1839
621,758,647,1293801,111
622,752,543,1294016,209
623,673,346,1294422,327
