epoch_no,tier,delegator_count,total_stake_ada
210,large_1m_plus,1135,4281215709
210,medium_100k_1m,4869,1497238489
210,micro_under_1k,1503,559953
210,small_1k_100k,9798,278860999
230,large_1m_plus,2472,14931791451
230,medium_100k_1m,13273,3700243823
230,micro_under_1k,13970,3272166
230,small_1k_100k,45221,1001075497
250,large_1m_plus,2897,16695867861
250,medium_100k_1m,16581,4455772749
250,micro_under_1k,102920,24197162
250,small_1k_100k,121381,1858993428
270,large_1m_plus,2752,15758960588
270,medium_100k_1m,17309,4558127329
270,micro_under_1k,354854,70006942
270,small_1k_100k,220677,2506683689
290,large_1m_plus,2712,15632777830
290,medium_100k_1m,17596,4613472148
290,micro_under_1k,509950,96827375
290,small_1k_100k,284415,2910417323
310,large_1m_plus,2687,16001407123
310,medium_100k_1m,17460,4531624957
310,micro_under_1k,673291,117438570
310,small_1k_100k,323584,3127154908
330,large_1m_plus,2607,16765048063
330,medium_100k_1m,17196,4471617145
330,micro_under_1k,812532,128330129
330,small_1k_100k,343746,3222388757
350,large_1m_plus,2531,16702124835
350,medium_100k_1m,16881,4384003208
350,micro_under_1k,840791,126740845
350,small_1k_100k,344689,3231369696
370,large_1m_plus,2562,17375307390
370,medium_100k_1m,17029,4393333902
370,micro_under_1k,855660,125100822
370,small_1k_100k,346669,3276595880
390,large_1m_plus,2582,17348546286
390,medium_100k_1m,17711,4565007029
390,micro_under_1k,877514,126585429
390,small_1k_100k,361115,3482249481
410,large_1m_plus,2566,15054769252
410,medium_100k_1m,18082,4669086028
410,micro_under_1k,894781,124719646
410,small_1k_100k,361884,3558496976
430,large_1m_plus,2598,14267004972
430,medium_100k_1m,18271,4693006383
430,micro_under_1k,913243,123925885
430,small_1k_100k,361317,3602264065
450,large_1m_plus,2505,14345704267
450,medium_100k_1m,18656,4782650672
450,micro_under_1k,931686,124684047
450,small_1k_100k,364682,3680873942
470,large_1m_plus,2451,14317906427
470,medium_100k_1m,18631,4767529971
470,micro_under_1k,958766,122714018
470,small_1k_100k,358848,3652984520
490,large_1m_plus,2450,14324842261
490,medium_100k_1m,18509,4748669094
490,micro_under_1k,981953,118241456
490,small_1k_100k,342374,3542579008
510,large_1m_plus,2446,14173561112
510,medium_100k_1m,18758,4799380980
510,micro_under_1k,980446,115254685
510,small_1k_100k,333630,3500561746
530,large_1m_plus,2353,13540481792
530,medium_100k_1m,18430,4757749943
530,micro_under_1k,987187,107416872
530,small_1k_100k,305251,3291560477
550,large_1m_plus,2325,13778176815
550,medium_100k_1m,18143,4683366554
550,micro_under_1k,1008613,106702553
550,small_1k_100k,299637,3244245957
570,large_1m_plus,2326,14027689993
570,medium_100k_1m,18159,4689444207
570,micro_under_1k,1019724,106215741
570,small_1k_100k,297147,3233285898
590,large_1m_plus,2276,13901509913
590,medium_100k_1m,18047,4667900976
590,micro_under_1k,1033128,104924883
590,small_1k_100k,289333,3159953427
610,large_1m_plus,2246,13838498159
610,medium_100k_1m,17516,4514008464
610,micro_under_1k,1045382,105357847
610,small_1k_100k,285567,3113068142
623,large_1m_plus,2244,14051141056
623,medium_100k_1m,17439,4487527187
623,micro_under_1k,1050248,105422403
623,small_1k_100k,285104,3110596275
