entity_id,display_name,archetype,first_epoch,peak_epoch,peak_stake_ada,current_stake_ada,current_pools,decline_ratio,last_active_epoch,phase
4ADA,4ADA,Community Branded Fleet,210,235,94287416.0,37843963.0,2,0.4014,623,declining
5BINARIES,nan,Opaque Fleet,210,591,213946846.0,98441274.0,6,0.4601,623,declining
ACL,ACL,Community Branded Fleet,210,241,184466678.0,86382808.0,4,0.4683,623,declining
ADALITE_PLATFORM,Adalite platform cluster,Platform / Wallet,380,623,158324918.0,158324918.0,3,1.0,623,growing
ADASTRONG_COM,ADBV,Community Branded Fleet,210,231,46922239.0,37914268.0,2,0.808,623,stable
ADV,ADV,Community Branded Fleet,210,619,263825020.0,260388442.0,4,0.987,623,growing
AICHI,AICHI,Community Branded Fleet,240,583,133445494.0,119956648.0,2,0.8989,623,stable
ATADA,ATADA,Multi-Brand Fleet,210,219,185287830.0,132183284.0,4,0.7134,623,stable
ATLAS,ATLAS,Community Branded Fleet,210,317,139895838.0,49402214.0,2,0.3531,623,declining
AUTOSTAKE,AutoStake,Independent MPO,210,233,144851288.0,87453660.0,4,0.6037,623,stable
AWP,STSH1,Community Branded Fleet,232,283,149797394.0,47516486.0,3,0.3172,623,declining
BIGLAZYCAT,BIGLAZYCAT,?,372,620,130865791.0,130285841.0,3,0.9956,623,growing
BINANCE,Binance,Exchange Custody,212,337,2981204120.0,691624387.0,50,0.232,623,declining_severe
BLOCKDAEMON,Blockdaemon,Institutional Validator,267,622,613920458.0,613410678.0,15,0.9992,623,growing
BLOOM,Bloom,Independent MPO,210,318,467046396.0,223019435.0,7,0.4775,623,declining
BMTXS_GITHUB_IO,RETIR,Community Branded Fleet,210,228,207417534.0,75355549.0,3,0.3633,623,declining
BRAVO,BRAVO,Community Branded Fleet,211,566,86930399.0,67797860.0,2,0.7799,623,stable
CAFE,CAFE,Community Branded Fleet,215,454,88250939.0,82342536.0,3,0.933,623,growing
CARDANO_FOUNDATION,Cardano Foundation,Ecosystem Steward,599,617,456219694.0,395467543.0,6,0.8668,623,stable
CCV,CCV,Community Branded Fleet,255,317,337458151.0,176962283.0,5,0.5244,623,stable
CHUCK_BUX,CHUCK BUX,Opaque / Unresolved,214,620,883032120.0,877535015.0,17,0.9938,623,growing
CNODE,CNODE,Community Branded Fleet,224,373,191367968.0,62438656.0,4,0.3263,623,declining
COFFEEPOOL_JP,COFFE,Community Branded Fleet,240,534,83611208.0,33359787.0,2,0.399,623,declining
COINBASE_BISON,Coinbase / bison.run,Exchange Custody,296,390,2600577992.0,2376114114.0,47,0.9137,623,growing
COOL,COOL,Multi-Brand Fleet,210,222,378210608.0,86191506.0,6,0.2279,623,declining_severe
CRDNS,nan,Multi-Brand Fleet,210,318,379835681.0,227411205.0,9,0.5987,623,stable
DAPP,DAPP,Multi-Brand Fleet,210,322,207758374.0,140742690.0,8,0.6774,623,stable
DIGI,DIGI,Opaque Fleet,210,318,407157736.0,170359989.0,6,0.4184,623,declining
DNEWS,DNEWS,Protocol/DeFi Project,235,321,95618459.0,39154815.0,2,0.4095,623,declining
ECO,ECO,Community Branded Fleet,225,514,72635299.0,50195543.0,2,0.6911,623,stable
EDEN,EDEN,Opaque Fleet,210,521,347285152.0,164290924.0,5,0.4731,623,declining
ELITE,ELITE,Community Branded Fleet,210,262,69064145.0,30540655.0,2,0.4422,623,declining
EMURGO,Emurgo,Ecosystem Steward,210,228,872315822.0,271263091.0,12,0.311,623,declining
ETORO,eToro,Exchange Custody,219,260,705827650.0,471872907.0,15,0.6685,623,stable
EVERSTAKE,Everstake,Institutional Validator,210,623,571877874.0,571877874.0,15,1.0,623,growing
FIGMENT,Figment,Institutional Validator,322,622,882899644.0,877499057.0,37,0.9939,623,growing
FIMI,FIDA,Multi-Brand Fleet,229,521,91303080.0,83904874.0,9,0.919,623,growing
HODLA,HODL₳,Community Branded Fleet,220,460,144609007.0,60745244.0,2,0.4201,623,declining
HRMS,HRMS,Community Branded Fleet,210,221,180204957.0,43880313.0,2,0.2435,623,declining_severe
IBEX,IBEX,Protocol/DeFi Project,246,360,51905307.0,44347159.0,3,0.8544,623,stable
IOG,IOG,Ecosystem Steward,210,223,2670434331.0,11672002.0,34,0.0044,623,declining_severe
ITC,FREE,Multi-Brand Fleet,210,317,206098592.0,78287189.0,5,0.3799,623,declining
JOY,HOPE,Multi-Brand Fleet,210,231,487147920.0,78390154.0,9,0.1609,623,declining_severe
KAIZN,KAIZN,Community Branded Fleet,210,260,130148553.0,33846529.0,4,0.2601,623,declining
KILN,Kiln,Institutional Validator,358,615,752927567.0,632719161.0,11,0.8403,623,stable
KIWI,KIWI,Community Branded Fleet,210,318,211336161.0,41216370.0,3,0.195,623,declining_severe
KTO,nan,Community Branded Fleet,247,614,38085133.0,37936513.0,10,0.9961,623,growing
LINKTR_EE,ADAOZ,Community Branded Fleet,251,406,67989392.0,57648334.0,2,0.8479,623,stable
LIQWID,LQWD,Protocol/DeFi Project,445,472,70591620.0,29443495.0,2,0.4171,623,declining
MS,MS4,Community Branded Fleet,212,283,252393280.0,155956813.0,4,0.6179,623,stable
MUEN,MUEN,Community Branded Fleet,266,623,34403130.0,34403130.0,3,1.0,623,growing
NEDS,NEDS1,Community Branded Fleet,212,318,272881584.0,114212501.0,4,0.4185,623,declining
NKR,NKR,Community Branded Fleet,251,528,55577018.0,34875840.0,3,0.6275,623,stable
NORTH,NORTH,Opaque Fleet,210,563,370815779.0,354871050.0,5,0.957,623,growing
NUFI,NuFi,Platform / Wallet,210,289,926514513.0,312946088.0,18,0.3378,623,declining
OCEAN,AdaOcean,Independent MPO,210,228,800966781.0,187626519.0,10,0.2343,623,declining_severe
ONE_PERCENT,1PCT,Independent MPO,210,222,1267761459.0,275420901.0,30,0.2172,623,declining_severe
ONYX,ONYX,Community Branded Fleet,210,391,258301832.0,69014663.0,4,0.2672,623,declining
P2P,P2P,Independent MPO,210,228,232152871.0,94000555.0,7,0.4049,623,declining
PAUL,PAUL1,Community Branded Fleet,230,318,135291368.0,92781586.0,2,0.6858,623,stable
PILOT,PILOT,Community Branded Fleet,234,470,98181452.0,91841371.0,2,0.9354,623,growing
RAID,RAID,Independent MPO,210,210,8497836.0,407358.0,7,0.0479,623,dead
RAY,XRAY1,Protocol/DeFi Project,235,330,278321087.0,43134222.0,8,0.155,623,declining_severe
ROCKX,RockX,Institutional Validator,418,481,37617037.0,194568.0,10,0.0052,623,dead
SASA,SASA,Community Branded Fleet,267,567,93943850.0,75080913.0,2,0.7992,623,stable
SECUR,SECUR,Community Branded Fleet,210,480,309081402.0,231428313.0,5,0.7488,623,stable
SIPO,SIPO,Community Branded Fleet,210,318,277349161.0,114236548.0,3,0.4119,623,declining
SNAKEPOOL_LINK,SNAKE,Community Branded Fleet,210,589,75620245.0,61084649.0,2,0.8078,623,stable
SPIRE,Spire,Independent MPO,212,331,189100823.0,100997790.0,5,0.5341,623,stable
SPS,SPS,Community Branded Fleet,210,227,287687496.0,100035181.0,5,0.3477,623,declining
STAKEBOWL,StakeBowl,Exchange Custody,212,239,172549946.0,140061044.0,10,0.8117,623,stable
STI,STI,Community Branded Fleet,210,320,136736803.0,59702243.0,3,0.4366,623,declining
STRIXJPN_GITHUB_IO,PNR39,Community Branded Fleet,369,522,67601221.0,65302137.0,2,0.966,623,growing
SUNNY,SUNNY,Community Branded Fleet,210,273,123524931.0,42976982.0,2,0.3479,623,declining
TERA,TERA,Community Branded Fleet,230,318,217271961.0,52657596.0,3,0.2424,623,declining_severe
TITAN,TITAN,Community Branded Fleet,210,601,146494460.0,135885919.0,2,0.9276,623,growing
UPBIT,Upbit,Exchange Custody,398,623,574463651.0,574463651.0,20,1.0,623,growing
VIPER,VIPER,Community Branded Fleet,210,320,135231472.0,69371773.0,2,0.513,623,stable
WAFFLEPOOL_ORG,nan,Community Branded Fleet,251,318,70727695.0,31741699.0,2,0.4488,623,declining
WAVE,Wave / Wavepool,Independent MPO,210,332,999032963.0,613051679.0,17,0.6136,623,stable
WEP,ISP,Multi-Brand Fleet,210,555,92748702.0,83817961.0,6,0.9037,623,growing
WESTBERG,BCSH,Community Branded Fleet,210,319,466097822.0,68614391.0,8,0.1472,623,declining_severe
XSP,XSP,Community Branded Fleet,210,318,192573211.0,70957281.0,2,0.3685,623,declining
YUTA,YUTA,Exchange Custody,210,226,1711500554.0,459035119.0,25,0.2682,623,declining
ZETIC,ZETE,Community Branded Fleet,210,386,70779224.0,38898962.0,2,0.5496,623,stable
