eff_entity_id,display_name,pools,stake_ada,delegator_cnt,op_take_ada,fc_ada,margin_ada,reward_ada,median_margin,is_mpo,pledge_tags,ada_per_delegator,op_take_pct,fc_share_pct,margin_share_pct,cell_stake_share_pct,custodial_signal,archetype,reasoning
COINBASE_BISON,Coinbase / bison.run,41,2444178497.066642,403,48198.862104,13940.0,34258.86210743,735759.64909,0.05,True,Zero pledge,6064959.0,6.6,1.9,4.7,19.22,True,cex,"Coinbase global exchange + bison.run staking infrastructure. Delegation represents custodied retail ADA, not sovereign delegator choice. Near-zero pledge (structurally impossible for custodied funds). 89 registered pools, 23 near-saturation. Margin 4.6% — exchange earns on custody and service products separately."
KILN,Kiln,9,635005517.927351,445,10276.43629,3060.0,7216.43629033,193805.085413,0.03,True,Minimal pledge,1426979.0,5.3,1.6,3.7,4.99,True,ivaas,"Institutional validator SaaS; originally identified on Cardano as Adalite-branded infrastructure (KILN tickers later appeared). Serves enterprises, custodians, and wallets. Near-zero self-pledge. Passes protocol rewards to clients minus margin."
EVERSTAKE,Everstake,10,447081210.908368,258456,9410.241935,4000.0,5410.241934680001,139256.048367,0.04,True,Minimal pledge,1730.0,6.8,2.9,3.9,3.52,False,ivaas,"Validator and yield infrastructure provider. Markets Validator-as-a-Service and wallet/yield SDKs. Near-zero self-pledge. Pledge=1K is nominal, not economically meaningful relative to 567M ADA managed stake."
YUTA,YUTA,23,430967408.087338,2842,14474.849667,7820.0,6654.849666672316,141256.095995,0.05,True,Low pledge,151642.0,10.2,5.5,4.7,3.39,False,cex,"Multi-brand cluster attributed to coinzzz.jp (Japanese crypto service) and tokyostaker.com. Zero declared pledge on most pools, opaque pool branding. Behaviorally consistent with exchange or custodial staking. Confidence medium — attribution is not independently verified."
NUFI,NuFi,17,313904092.491893,41483,8443.227891,5780.0,2663.22788967,94554.262989,0.03,True,Minimal pledge,7567.0,8.9,6.1,2.8,2.47,False,platform,Non-custodial wallet and DeFi platform. Delegation is from wallet users who retain ADA ownership and chose to stake — materially different from CEX custody. NuFi operates pools as a service extension. Near-zero self-pledge but users can also delegate to third-party pools.
BLOCKDAEMON,Blockdaemon,5,289031180.637081,47,3846.342035,1360.0,2486.34203472,84238.067824,0.03,True,Minimal pledge,6149600.0,4.6,1.6,3.0,2.27,True,ivaas,"Enterprise blockchain infrastructure combining node/API access, staking, and MPC vault products. Clients are financial institutions and enterprises. Near-zero self-pledge. Moderate concentration at near-saturation."
ONE_PERCENT,1PCT,18,267830297.65853003,9464,6788.795303,6066.426104,722.36919944,78303.346048,0.01,True,Low pledge,28300.0,8.7,7.7,0.9,2.11,False,independent_mpo,"Explicitly community-focused operator (name references 1% margin target). Low margin (1%), moderate pledge. Large fleet (30 active pools) with most stake in the healthy tier."
EMURGO,Emurgo,8,258825047.396589,15242,2811.484267,1530.0,1281.48426686,84114.28710399999,0.015,True,Minimal pledge|Zero pledge,16981.0,3.3,1.8,1.5,2.04,False,ecosystem,"Cardano founding entity, commercial arm. Declining pool fleet (48 registered, 11 active) with near-zero pledge on most pools — unusual for an ecosystem steward. Low margin (1.6%). Included in baseline but flagged as founding-entity stake."
CRDNS,,8,230008396.17632902,23397,4259.116703,2720.0,1539.1167029031,88960.583795,0.02,True,Low pledge|Material pledge,9831.0,4.8,3.1,1.7,1.81,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 9 pools identified, total stake 231,172,963 ADA. Community multi-pool operator pattern detected."
OCEAN,AdaOcean,7,192865026.9048,7205,5589.138498,3340.0,2249.138497581,61689.037381,0.039,True,Low pledge,26768.0,9.1,5.4,3.6,1.52,False,independent_mpo,Community pool family. Low pledge (10K median) but competitive margin (3.8%). Fully transparent.
CCV,CCV,5,177381884.930471,23371,3395.920329,1700.0,1695.92032944,58230.677648,0.03,True,Minimal pledge,7590.0,5.8,2.9,2.9,1.39,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 177,140,723 ADA. Community multi-pool operator pattern detected."
DIGI,DIGI,6,171697454.227423,8887,2688.158499,1780.0,908.1584987800001,47187.924939,0.02,True,Material pledge,19320.0,5.7,3.8,1.9,1.35,False,opaque_fleet,"Automated discovery via pool group and reward address clustering. 6 pools identified, total stake 170,858,244 ADA. Community multi-pool operator pattern detected."
SECUR,SECUR,3,170759819.976659,7007,2269.809178,510.0,1759.80917712,59170.305904,0.03,True,Material pledge,24370.0,3.8,0.9,3.0,1.34,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 234,393,577 ADA. Community multi-pool operator pattern detected."
EDEN,EDEN,5,170641183.951124,13516,2152.714818,1700.0,452.71481797,46971.481797,0.01,True,Low pledge,12625.0,4.6,3.6,1.0,1.34,False,opaque_fleet,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 170,678,552 ADA. Community multi-pool operator pattern detected."
MS,MS4,4,160971817.219178,1564,2456.809433,1360.0,1096.80943235,45232.377294,0.025,True,Low pledge|Material pledge,102923.0,5.4,3.0,2.4,1.27,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 155,741,163 ADA. Community multi-pool operator pattern detected."
FIGMENT,Figment,4,152491613.581107,22,1724.855413,680.0,1044.85541394,52922.770697,0.02,True,Minimal pledge,6931437.0,3.3,1.3,2.0,1.2,True,ivaas,"Institutional staking provider serving asset managers, custodians, and exchanges. Clients choose to stake on Cardano and outsource technical operation. Near-zero self-pledge — pledge comes from operator, not from client assets. More aligned than CEX (clients knowingly chose Cardano staking) but pledge signal is still structurally suppressed."
TITAN,TITAN,2,135220201.310917,7462,503.362594,340.0,163.36259381500003,24427.456033000002,0.0075,True,Material pledge,18121.0,2.1,1.4,0.7,1.06,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 137,014,462 ADA. Community multi-pool operator pattern detected."
BLOOM,Bloom,5,134345268.296898,12963,3210.891195,1700.0,1510.89119484,39472.279871,0.04,True,Material pledge,10364.0,8.1,4.3,3.8,1.06,False,independent_mpo,Community pool family. Meaningful self-pledge (1M ADA median). Moderate margin (17.7%).
ATADA,ATADA,2,128489663.845301,7571,1078.999554,680.0,398.99955437,40579.955437,0.01,True,High pledge,16971.0,2.7,1.7,1.0,1.01,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 130,721,803 ADA. Community multi-pool operator pattern detected."
AICHI,AICHI,2,124790252.216058,2665,852.033743,680.0,172.03374343000002,35086.748686,0.005,True,Material pledge,46826.0,2.4,1.9,0.5,0.98,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 123,506,624 ADA. Community multi-pool operator pattern detected."
NEDS,NEDS1,4,118276632.360156,7279,1295.142321,680.0,615.142320555,41689.488036999996,0.015,True,Material pledge,16249.0,3.1,1.6,1.5,0.93,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 120,691,624 ADA. Community multi-pool operator pattern detected."
SIPO,SIPO,3,114991300.925891,2187,2043.7652360000002,1020.0,1023.765235375,41970.609415,0.025,True,Low pledge,52579.0,4.9,2.4,2.4,0.9,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 114,413,999 ADA. Community multi-pool operator pattern detected."
DAPP,DAPP,3,114911800.605066,11404,1795.672448,1020.0,775.672447305,36052.491186,0.02,True,Low pledge|Material pledge,10076.0,5.0,2.8,2.2,0.9,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 8 pools identified, total stake 141,154,273 ADA. Community multi-pool operator pattern detected."
BIGLAZYCAT,BigLazyCat,2,114812943.073006,3355,1033.261123,680.0,353.26112307000005,36006.112307,0.01,True,Minimal pledge,34221.0,2.9,1.9,1.0,0.9,False,,
SPS,SPS,5,104047840.30764,1446,3337.372279,1700.0,1637.3722792500002,34447.445585,0.05,True,Low pledge,71956.0,9.7,4.9,4.8,0.82,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 104,570,052 ADA. Community multi-pool operator pattern detected."
PAUL,PAUL1,2,91014699.242136,15047,1561.743618,680.0,881.74361802,30071.453934,0.03,True,Material pledge,6049.0,5.2,2.3,2.9,0.72,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 91,566,947 ADA. Community multi-pool operator pattern detected."
WAVE,Wave / Wavepool,6,88792472.388348,8682,2954.251918,2040.0,914.2519175692,33234.844076,0.02,True,Material pledge|Minimal pledge,10227.0,8.9,6.1,2.8,0.7,False,independent_mpo,Community pool family with meaningful self-pledge (1M ADA median). Competitive margin (14.8%). Transparent brand and operations. Archetypal scaled-up SPO: grows by adding pools while maintaining pledge discipline.
P2P,P2P,4,88471876.25005001,8703,2225.234475,1190.0,1035.234475535,30338.939553,0.035,True,Low pledge|Minimal pledge,10166.0,7.3,3.9,3.4,0.7,False,independent_mpo,Community operator with competitive margin (2.2%). Low self-pledge (1K median) limits pledge premium capture but otherwise fully aligned with incentive design.
ACL,ACL,3,84264745.418782,4986,1266.747333,1020.0,246.74733314000002,25694.733314,0.01,True,Material pledge,16900.0,4.9,4.0,1.0,0.66,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 84,364,169 ADA. Community multi-pool operator pattern detected."
COOL,COOL,6,81671243.16168,3545,1507.237228,1020.0,487.23722916500003,26001.722051,0.02,True,Material pledge,23038.0,5.8,3.9,1.9,0.64,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 6 pools identified, total stake 86,963,264 ADA. Community multi-pool operator pattern detected."
