entity_id,epoch_no,active_pools,total_stake,delegation_count
4ADA,210,2,62743854501404,124
4ADA,211,2,66492225800497,143
4ADA,212,2,70990098055517,177
4ADA,213,2,76415100437831,228
4ADA,214,2,76129089117986,238
4ADA,215,2,80360947954973,261
4ADA,216,2,80100956297238,281
4ADA,217,2,73623571664200,286
4ADA,218,2,78305711977764,321
4ADA,219,2,79640064978627,323
4ADA,220,2,81423657771032,335
4ADA,221,2,81094287971513,348
4ADA,222,2,81712263022310,362
4ADA,223,2,81975092979223,361
4ADA,224,2,81395643200597,356
4ADA,225,2,54912631108104,353
4ADA,226,2,56559088532830,354
4ADA,227,2,56781112492088,359
4ADA,228,2,56725723827106,362
4ADA,229,2,57541203206675,365
4ADA,230,2,58318993388578,367
4ADA,231,2,60451603577407,381
4ADA,232,2,63852786050930,414
4ADA,233,2,81345625044613,443
4ADA,234,2,93296802677283,509
4ADA,235,2,94287416177073,522
4ADA,236,2,92274536688696,512
4ADA,237,2,91301552941237,522
4ADA,238,2,91522242177747,529
4ADA,239,2,91637609014532,529
4ADA,240,2,93988744652556,533
4ADA,241,2,90855722737214,538
4ADA,242,2,83696178051848,537
4ADA,243,2,79432986530129,540
4ADA,244,2,80561224246656,552
4ADA,245,2,82530687407615,563
4ADA,246,2,75193654007036,568
4ADA,247,2,72090234508756,597
4ADA,248,2,72407237741887,638
4ADA,249,2,68131115779330,696
4ADA,250,2,67102121959368,744
4ADA,251,2,71558801864723,783
4ADA,252,2,70603962194527,832
4ADA,253,2,67348793107907,866
4ADA,254,2,69275285964443,884
4ADA,255,2,69472871672229,907
4ADA,256,2,69686217738049,927
4ADA,257,2,69555662637048,938
4ADA,258,2,68881312136155,941
4ADA,259,2,69134569017001,941
4ADA,260,2,69351795546315,952
4ADA,261,2,69504360074122,963
4ADA,262,2,69589245831478,977
4ADA,263,2,69430942856550,990
4ADA,264,2,68760770647437,991
4ADA,265,2,67020611629937,1011
4ADA,266,2,60096151806167,1014
4ADA,267,2,59120759893035,1016
4ADA,268,2,58617302984670,1033
4ADA,269,2,56588149767163,1043
4ADA,270,2,56513281140983,1055
4ADA,271,2,57427257314611,1062
4ADA,272,2,57336371849882,1066
4ADA,273,2,57217663925232,1072
4ADA,274,2,57110550847904,1082
4ADA,275,2,55231499790400,1084
4ADA,276,2,54862294869724,1099
4ADA,277,2,54813192698000,1113
