entity_id,display_name,archetype,active_pools,delegations,total_ada,pct_of_staked
COINBASE_BISON,Coinbase / bison.run,cex,47,583,2376114114.25,10.92
CHUCK_BUX,CHUCK BUX,opaque,17,55,877535015.09,4.03
FIGMENT,Figment,ivaas,37,32550,877499056.96,4.03
BINANCE,Binance,cex,50,1073,691624387.37,3.18
KILN,Kiln,ivaas,11,35570,632719160.95,2.91
BLOCKDAEMON,Blockdaemon,ivaas,15,305,613410677.61,2.82
WAVE,Wave / Wavepool,independent_mpo,17,9396,613051679.43,2.82
UPBIT,Upbit,cex,20,28,574463650.54,2.64
EVERSTAKE,Everstake,ivaas,15,265313,571877873.82,2.63
ETORO,eToro,cex,15,46,471872906.68,2.17
YUTA,YUTA,cex,25,2891,459035118.82,2.11
CARDANO_FOUNDATION,Cardano Foundation,ecosystem,6,28,395467543.11,1.82
NORTH,NORTH,opaque_fleet,5,17430,354871049.60,1.63
NUFI,NuFi,platform,18,41463,312946087.73,1.44
ONE_PERCENT,1PCT,independent_mpo,30,11012,275420901.23,1.27
EMURGO,Emurgo,ecosystem,12,15748,271263091.31,1.25
ADV,ADV,community_branded_fleet,4,12274,260388441.77,1.20
SECUR,SECUR,community_branded_fleet,5,10083,231428313.08,1.06
CRDNS,nan,multi_brand_fleet,9,23516,227411205.03,1.05
BLOOM,Bloom,independent_mpo,7,15385,223019434.91,1.03
OCEAN,AdaOcean,independent_mpo,10,7525,187626518.62,0.86
CCV,CCV,community_branded_fleet,5,23108,176962283.10,0.81
DIGI,DIGI,opaque_fleet,6,8908,170359988.76,0.78
EDEN,EDEN,opaque_fleet,5,13491,164290923.85,0.76
ADALITE_PLATFORM,Adalite platform cluster,platform,3,5,158324917.86,0.73
MS,MS4,community_branded_fleet,4,1566,155956812.92,0.72
DAPP,DAPP,multi_brand_fleet,8,15355,140742690.33,0.65
STAKEBOWL,StakeBowl,cex,10,51,140061043.76,0.64
TITAN,TITAN,community_branded_fleet,2,7460,135885918.65,0.62
ATADA,ATADA,multi_brand_fleet,4,7723,132183283.84,0.61
BIGLAZYCAT,BigLazyCat,unknown,3,3706,130285840.76,0.60
AICHI,AICHI,community_branded_fleet,2,2655,119956648.36,0.55
SIPO,SIPO,community_branded_fleet,3,2186,114236548.02,0.53
NEDS,NEDS1,community_branded_fleet,4,7269,114212501.06,0.53
SPIRE,Spire,independent_mpo,5,12498,100997790.09,0.46
SPS,SPS,community_branded_fleet,5,1444,100035181.45,0.46
5BINARIES,nan,opaque_fleet,6,11678,98441273.82,0.45
P2P,P2P,independent_mpo,7,9730,94000554.63,0.43
PAUL,PAUL1,community_branded_fleet,2,15071,92781586.49,0.43
PILOT,PILOT,community_branded_fleet,2,9038,91841371.30,0.42
AUTOSTAKE,AutoStake,independent_mpo,4,4631,87453660.03,0.40
ACL,ACL,community_branded_fleet,4,5062,86382808.19,0.40
COOL,COOL,multi_brand_fleet,6,3667,86191505.70,0.40
FIMI,FIDA,multi_brand_fleet,9,3194,83904874.01,0.39
WEP,ISP,multi_brand_fleet,6,351,83817960.66,0.39
CAFE,CAFE,community_branded_fleet,3,7590,82342535.56,0.38
JOY,HOPE,multi_brand_fleet,9,2753,78390154.00,0.36
ITC,FREE,multi_brand_fleet,5,18425,78287189.28,0.36
BMTXS_GITHUB_IO,RETIR,community_branded_fleet,3,5638,75355548.59,0.35
SASA,SASA,community_branded_fleet,2,300,75080912.85,0.35
XSP,XSP,community_branded_fleet,2,2436,70957280.88,0.33
VIPER,VIPER,community_branded_fleet,2,4585,69371772.56,0.32
ONYX,ONYX,community_branded_fleet,4,2812,69014662.94,0.32
WESTBERG,BCSH,community_branded_fleet,8,6214,68614391.09,0.32
BRAVO,BRAVO,community_branded_fleet,2,10802,67797859.79,0.31
STRIXJPN_GITHUB_IO,PNR39,community_branded_fleet,2,150,65302136.51,0.30
CNODE,CNODE,community_branded_fleet,4,6219,62438656.03,0.29
SNAKEPOOL_LINK,SNAKE,community_branded_fleet,2,993,61084648.72,0.28
HODLA,HODL₳,community_branded_fleet,2,6752,60745244.46,0.28
STI,STI,community_branded_fleet,3,8026,59702243.17,0.27
LINKTR_EE,ADAOZ,community_branded_fleet,2,6185,57648334.13,0.26
TERA,TERA,community_branded_fleet,3,3913,52657596.05,0.24
ECO,ECO,community_branded_fleet,2,3566,50195542.52,0.23
ATLAS,ATLAS,community_branded_fleet,2,5091,49402214.15,0.23
AWP,STSH1,community_branded_fleet,3,83802,47516485.74,0.22
IBEX,IBEX,protocol_project,3,104,44347159.30,0.20
HRMS,HRMS,community_branded_fleet,2,7647,43880312.90,0.20
RAY,XRAY1,protocol_project,8,8920,43134221.65,0.20
SUNNY,SUNNY,community_branded_fleet,2,8619,42976981.72,0.20
KIWI,KIWI,community_branded_fleet,3,8306,41216369.80,0.19
DNEWS,DNEWS,protocol_project,2,6331,39154815.08,0.18
ZETIC,ZETE,community_branded_fleet,2,7049,38898961.59,0.18
KTO,nan,community_branded_fleet,10,517,37936512.78,0.17
ADASTRONG_COM,ADBV,community_branded_fleet,2,341,37914268.18,0.17
4ADA,4ADA,community_branded_fleet,2,1927,37843962.98,0.17
NKR,NKR,community_branded_fleet,3,484,34875840.40,0.16
MUEN,MUEN,community_branded_fleet,3,77,34403130.13,0.16
KAIZN,KAIZN,community_branded_fleet,4,4199,33846529.04,0.16
COFFEEPOOL_JP,COFFE,community_branded_fleet,2,622,33359787.31,0.15
WAFFLEPOOL_ORG,nan,community_branded_fleet,2,1111,31741698.51,0.15
ELITE,ELITE,community_branded_fleet,2,2620,30540654.78,0.14
LIQWID,LQWD,protocol_project,2,17,29443494.56,0.14
IOG,IOG,ecosystem,34,1212,11672001.66,0.05
RAID,RAID,independent_mpo,7,33,407358.42,0.00
ROCKX,RockX,ivaas,10,29,194568.24,0.00
