pool_id,margin,fixed_cost,total_stake,delegator_count,saturation_pct,loyal_delegation_count,avg_tenure
pool1ywpt43nttzjd7883wafg255mh0hmjypwe65ercw6p2sxg5lt7ez,0.04,400000000,39456744065986,32226,0.06,41596,343.4
pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j,0.04,400000000,50276731452063,29542,0.07,38058,349.4
pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,0.04,400000000,55045470421419,26837,0.08,36248,343.6
pool13annzt9hjfc822f0ejvxjf7fsmxd6cc28whpk5kagec6ggfmm7u,0.1,345000000,17017543075162,35623,0.02,36053,326.2
pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,0.04,400000000,59300505132558,31138,0.08,35673,341.7
pool1xmsdhync6k6grkkj7tuycskjpseykpr24luhlazl5nsngsy87gm,0.04,400000000,34907569742713,27426,0.05,32186,346.3
pool1g3ssnndd8e7lcmstkjl9ane9mup0eshv3aklg63u5tznwl4ch87,0.04,400000000,40462197862223,22885,0.06,31988,329.4
pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u,0.04,400000000,45045030705112,26774,0.06,31954,332.8
pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl,0.015,340000000,32898865546788,22053,0.05,29322,290.4
pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7,0.04,400000000,33383307272473,20836,0.05,26842,330.3
pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el,0.04,400000000,32647457560110,20434,0.05,25641,336.6
pool15wkxegrfflzcyhurrjxsm9ljqtz09xr5rtnqsarnp7hmsz5um3t,0.1,345000000,18188518106006,26696,0.03,23600,342.1
pool14enw2643rn9nn6yzv60jyz3hj4kxs0jvap87lkgsqykh508jxm6,0.1,345000000,12310424557682,21483,0.02,19919,362.2
pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu,0.04,400000000,51904555619689,20469,0.07,17796,332.8
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,0.025,340000000,,,,16648,311.1
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,0.02,340000000,72670077632052,12827,0.10,13855,294.0
pool1jt7d6ak3m8gnjyxtuxfswe258xzwda80ndl0a57vv5m2zv8h6at,0.029,340000000,12796996315513,10640,0.02,13498,319.0
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,0.015,340000000,57483825562039,10413,0.08,12421,317.3
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,0.0199,170000000,59298415130518,10070,0.08,12194,318.3
pool138m7hevnvp664cmtralju857t5k7e4frpnaevtgpuykggr50kne,0.0399,340000000,34055684702519,8442,0.05,10046,332.6
pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,0.03,340000000,58025195422185,8492,0.08,9913,337.6
pool128r8qqgl9zgy3ff4759a2qslyauu5takaec3nxx4a6mvj3ys8da,0,700000000,1512438396005,6880,0.00,9819,350.9
pool195gdnmj6smzuakm4etxsxw3fgh8asqc4awtcskpyfnkpcvh2v8t,0.02,340000000,34771241359405,7499,0.05,9809,305.6
pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,0,340000000,74059621331269,7115,0.10,9432,324.1
pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,0.0199,340000000,60251068128029,8537,0.09,9302,344.9
pool15zrkyr0f80hxlt4scv72tej8l8zwrcphmrega9wutqchjekceal,0,340000000,38826663320833,6960,0.05,9046,321.6
pool16fyda57p3c8gp5r6gmcq5tvqsp6mnzwvkxswgznkuh8wztrp6vv,0.02,340000000,43769732108576,7570,0.06,8955,297.7
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,0.01,340000000,74897482607648,9460,0.11,8702,324.6
pool1vquhv3kh6xkklckaenl8alyuhfsld57ef5573aqauueyqacx4ak,0.02,340000000,34075035964792,6631,0.05,8593,335.9
pool1uk2f28awascuhrhuwrp7x6y87x8ch33vwx8jtmrysp7l5ngq78j,0.0097,340000000,14369389876235,6223,0.02,8578,344.8
