from_band,to_band,flow_count,pct
0-2%,0-2%,546847,38.86
2-5%,0-2%,214710,15.26
2-5%,2-5%,209633,14.90
0-2%,2-5%,207847,14.77
10-99%,0-2%,33539,2.38
0-2%,10-99%,29781,2.12
10-99%,2-5%,24791,1.76
5-10%,5-10%,22102,1.57
5-10%,0-2%,19221,1.37
2-5%,10-99%,18702,1.33
0-2%,5-10%,17719,1.26
10-99%,10-99%,13547,0.96
0-2%,100%,10544,0.75
100%,0-2%,9457,0.67
2-5%,5-10%,6961,0.49
100%,2-5%,5660,0.40
2-5%,100%,5266,0.37
5-10%,2-5%,5173,0.37
10-99%,100%,1494,0.11
100%,100%,1112,0.08
100%,10-99%,1094,0.08
5-10%,10-99%,752,0.05
10-99%,5-10%,628,0.04
100%,5-10%,390,0.03
5-10%,100%,275,0.02
