stake_address,cred_type,total_balance,utxo,rewards_available,status,delegated_pool
stake1uyxxtayf2mve0x3mjv44rlqzfxzty5kkkakrvk0kyq8w6aquulh52,key,0,0,0,registered,
stake1u903sg9q4ws7zhfhnqjhryz23f4v98zc57qrjrslpsr68fsmxggmz,key,410552526,0,410552526,registered,
stake1ux002r6ltd7g5nd0qdfd6f8y227we7dsadlmk5rzsgk3gvcfsv0mz,key,0,0,0,registered,
stake1uygjrp8z5lqzyvmc46uvar2wsv8732vvmtgf8yajs2z0vssqklfe8,key,19599289,0,19599289,registered,
stake1uyftuua49atwj49kreg2qkdh0rthp3jj598ssggydsnczncw2suul,key,0,0,0,registered,
stake1ux9d9fj7rhs7kc9lpwschq2uevk775x6ztp4jynaetdhe6ccgmq9s,key,999026535,999026535,0,registered,
stake1uxjrna62xrqdmqx0haupwe6mlr6zq2d0ydjg54sgj3802hswluuup,key,0,0,0,registered,
stake1u8cyj3rq5s0n9vc66l3hxslnp8kwpcksg9fh7ts904g0t2sn2kfls,key,0,0,0,registered,
stake1ux4crh6nxjp977wem7lxd5fh9r5fpehrnl6y2ykqyjww7lghyj0jf,key,347097942,5910906,341187036,registered,
stake1u8w3ct4yr9wx6k7m2vg0e7reqrjtjvdsjuj9sawzmkrx82qr24ffe,key,0,0,0,registered,
stake1u9lnw06whmsmgywf9w3dyu70qe8287nyhvk465kqsxygr7gtjcgz6,key,0,0,0,registered,
stake1u80tadew6a7z6hz8ydakxcff4j8qagcyy6v0u7c7ydyk26ghudx2r,key,0,0,0,registered,
stake1u8943lkqmae5gg8t0cm36kt69pap9meudtflh8p0vzuguygfcxr3j,key,10818043,10818043,0,registered,
stake1u8xhdj7eujxgpwhxhn3pf5rqpnyzmyttwaeekdncjdsphzchvzkzq,key,0,0,0,registered,
stake1uymg7vx8djhcqexrfurfjlcwvmctv3g9x9d46lj8mqp0j7ghx32sr,key,113283644,0,113283644,registered,
stake1u8qzwyvnpu8xw2dy7yfk34wzugxacugmk5r6x3mhvjg740sr86ary,key,23097479957,23097479957,0,registered,
stake1uxqffqvrydtumdghpe68kkehu0rvpeezr2zvfcypmtcur0q6wq9nh,key,0,0,0,registered,
stake1u90r7pu7h46xux4w7n82dudq3dzgysjuzl7nf6n7g72qrwczwq45p,key,0,0,0,registered,
stake1u8kqp44j6pac6l7pq963lm0lazykk7cue4l5r4rh5n4qhac5w5rau,key,0,0,0,registered,
stake1u9a4up9f65erg0fxww5nyqejjfh9ah74ky726ahkt33f0rqpyyua6,key,0,0,0,registered,
stake1uxs68cn6cuea0uj5hj6y4qsukraf6h6tdkmqjckwcuhtqucqhdpm8,key,0,0,0,registered,
stake1uyqjdlaymd855wx4ql8q5ynr2yjnnsxy02my8876t7quy0c46xjud,key,0,0,0,registered,
stake17xl0hjcejx0l3njny0gj8jp4m288v5aqnzk5sgn35u4h9us9d47h9,script,0,0,0,registered,
stake1u9vzj5ldz9wj7y65jc46rapwfum6yklsg97njxvtqnmpfjqw7gf9w,key,0,0,0,registered,
