epoch_no,total_staked,total_pools,total_delegations,production_threshold,productive_pools,productive_stake,productive_delegations,subthreshold_pools,subthreshold_stake,subthreshold_delegations
210,6057875150904311,734,17305,280457182912,445,6037783953698223,16646,289,20091197206088,659
211,10177811974822904,890,24252,471194998834,524,10129639738059549,22801,366,48172236763355,1451
212,12106602864871837,984,30628,560490873374,554,12040969640377243,28698,430,65633224494594,1930
213,12758829109784350,1026,35360,590686532860,565,12683088751390174,33032,461,75740358394176,2328
214,13382718156097189,1070,38780,619570285004,553,13300426484825164,36321,517,82291671272025,2459
215,13864141914846088,1106,42261,641858421984,511,13775720791127218,39506,595,88421123718870,2755
216,14396547846613762,1119,46931,666506844751,498,14306578942351106,44178,621,89968904262656,2753
217,14776118270469741,1139,51091,684079549559,481,14679022291739132,48110,658,97095978730609,2981
218,14987431249067863,1133,53573,693862557827,485,14889878410104433,50584,648,97552838963430,2989
219,15657991508072959,1141,55449,724907014263,483,15557618542386812,52432,658,100372965686147,3017
220,15859988643309526,1150,57143,734258733487,481,15758696959178834,54068,669,101291684130692,3075
221,16064098678859669,1156,59049,743708272169,486,15965162330869542,55992,670,98936347990127,3057
222,16371244779824020,1163,60814,757927999066,481,16274128106313869,57778,682,97116673510151,3036
223,16743231852830277,1171,62342,775149622816,479,16641997280591863,59247,692,101234572238414,3095
224,16980957495734679,1180,63824,786155439617,478,16883473398012740,60688,702,97484097721939,3136
225,17096070009862836,1182,65164,791484722679,487,17000431416620358,62060,695,95638593242478,3104
226,17208683641999022,1181,66524,796698316759,484,17110822608356680,63327,697,97861033642342,3197
227,17260167504454385,1185,67676,799081828910,487,17165103999794124,64487,698,95063504660261,3189
228,17348591975630940,1187,68771,803175554427,475,17249544940925067,65490,712,99047034705873,3281
229,19510155416091834,1221,70572,903247935930,481,19397375642802749,67126,740,112779773289085,3446
230,19636382936670747,1264,74936,909091802624,494,19521172207443388,71464,770,115210729227359,3472
231,19907907769885462,1296,77602,921662396754,519,19791546329588062,74115,777,116361440297400,3487
232,19977393570330784,1297,81044,924879331960,534,19856363869940824,77549,763,121029700389960,3495
233,19917513128733841,1309,85164,922107089293,557,19802952292556816,81740,752,114560836177025,3424
234,20094293921511214,1343,90104,930291385255,601,19986441700596314,86900,742,107852220914900,3204
235,20218109006931644,1370,94409,936023565136,613,20103355871864968,91083,757,114753135066676,3326
236,20387817635424648,1414,98331,943880446084,669,20278818926580575,95085,745,108998708844073,3246
237,20478038471514498,1437,102020,948057336644,673,20369193288353959,98685,764,108845183160539,3335
238,20598560072620853,1446,105662,953637040399,678,20487708331796180,102236,768,110851740824673,3426
239,21356205100359588,1442,108517,988713199091,694,21236128456004284,105058,748,120076644355304,3459
240,21440591255207756,1457,113824,992619965519,698,21320750550061994,110163,759,119840705145762,3661
241,21632982170761197,1465,120806,1001526952350,705,21516526922562631,117334,760,116455248198566,3472
242,21755094259019945,1490,131613,1007180289769,730,21640300800118032,128068,760,114793458901913,3545
243,21849089085260375,1505,140178,1011531902095,731,21731202146153414,136474,774,117886939106961,3704
244,21956206748623667,1531,150785,1016491053177,736,21837112979981302,146915,795,119093768642365,3870
245,22086904770458818,1570,158270,1022541887521,742,21962336348595545,154364,828,124568421863273,3906
246,22190441040634090,1581,165252,1027335233363,744,22059379756744651,161186,837,131061283889439,4066
247,22275517879395323,1639,176740,1031273975898,793,22157491266368473,172773,846,118026613026850,3967
248,22376311335660823,1657,197331,1035940339614,804,22257134886381184,193078,853,119176449279639,4253
249,22369166376492895,1700,220596,1035609554467,797,22239617961582955,216012,903,129548414909940,4584
250,23034831199285830,1785,243779,1066427370337,824,22896832405578777,238795,961,137998793707053,4984
