pool_id,delegation_count,total_ada,saturation_pct,margin,fixed_cost,blocks_10ep,avg_ros_annualised,choice_quality
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,35050,113898908,150.3,0.1000,340,10,1.4915,over_saturated
pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,39,108333731,84.3,0.0800,340,10,2.0723,reasonable
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,6035,91431028,103.1,0.0600,170,10,2.2240,over_saturated
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,10890,90751705,120.9,0.0600,170,10,1.8130,over_saturated
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,6,81085406,123.9,0.0500,340,8,2.0522,over_saturated
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,86,80713290,128.9,0.1000,170,10,1.2394,over_saturated
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,5176,77297507,100.3,0.0000,340,10,2.2166,over_saturated
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,95,77156107,76.7,0.0500,340,10,2.2906,design_aligned
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,2235,76640733,100.0,0.0000,170,10,2.1896,over_saturated
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,2,76431801,99.0,1.0000,340,10,0.0000,suboptimal
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,2,76374618,99.0,1.0000,340,10,0.0000,suboptimal
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,1,76329623,99.2,1.0000,340,10,0.0000,suboptimal
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,1,76328575,99.2,1.0000,340,10,0.0000,suboptimal
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,7,76313016,99.2,1.0000,170,10,0.0000,suboptimal
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,4,76301500,99.2,1.0000,170,10,0.0000,suboptimal
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,4,76301500,99.2,1.0000,170,10,0.0000,suboptimal
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,4,76301500,99.2,1.0000,170,10,0.0000,suboptimal
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,1,76276262,99.2,1.0000,340,10,0.0000,suboptimal
pool18sk7mn0r0cyujft352lwkzg5pz7e67ve3ps2sryrwacd2r5zhp6,1,76020300,0.0,1.0000,340,0,0.0000,non_productive
pool19kfm6lz5uw7nylq27swr367mqdycmug7tve94l6h3xsz64seqtc,132,75862894,45.7,0.0500,340,10,2.2292,design_aligned
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,38,75860614,99.1,0.0500,340,10,2.1312,design_aligned
pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,9,75691779,98.2,0.0300,340,10,2.1993,design_aligned
pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je,235,75590161,93.7,0.0400,340,10,2.6461,design_aligned
pool1rkm8rplkafvllxjuddrkqc3u3lgd9uf327tvmvfdyygsv7lkhm8,1,75534015,98.2,1.0000,340,4,0.0000,suboptimal
pool1luhm55xxqp0cv7a43rcfrr8m6m74kfe7wdvqdgfzt483x29lr0t,5,75500026,98.2,1.0000,170,10,0.0000,suboptimal
pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,5374,75239095,95.4,0.0000,170,10,2.4539,design_aligned
pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f,50,75181320,97.4,0.0400,340,10,2.5636,design_aligned
