pool_id,delegation_count,total_ada,avg_ada,max_ada,entity_id,archetype,delegation_signature
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,35050,113898908,3250,47144497,KILN,ivaas,retail_heavy
pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,39,108333731,2777788,57055689,BLOCKDAEMON,ivaas,custodial_moderate
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,6035,91431028,15150,10868527,FIGMENT,ivaas,retail_heavy
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,10890,90751705,8333,12767721,FIGMENT,ivaas,retail_heavy
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,6,81085406,13514234,81015774,KILN,ivaas,custodial_concentrated
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,86,80713290,938527,27929124,FIGMENT,ivaas,custodial_moderate
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,5176,77297507,14934,20647737,ADV,community_branded_fleet,retail_heavy
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,95,77156107,812170,32189643,KILN,ivaas,custodial_moderate
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,2235,76640733,34291,3428498,,,retail_heavy
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,2,76431801,38215901,76431794,ADALITE_PLATFORM,platform,custodial_concentrated
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,2,76374618,38187309,76374618,ADALITE_PLATFORM,platform,custodial_concentrated
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,1,76329623,76329623,76329623,,,custodial_concentrated
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,1,76328575,76328575,76328575,CHUCK_BUX,opaque,custodial_concentrated
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,7,76313016,10901859,20250000,CARDANO_FOUNDATION,ecosystem,custodial_concentrated
