epoch_no,entries,exits,survivors,net_change
212,61,31,493,30
213,38,27,527,11
214,17,29,536,-12
215,8,50,503,-42
216,12,25,486,-13
217,17,34,464,-17
218,13,9,472,4
219,13,15,470,-2
220,11,13,470,-2
221,15,10,471,5
222,6,11,475,-5
223,11,13,468,-2
224,12,13,466,-1
225,12,3,475,9
226,8,11,476,-3
227,10,7,477,3
228,4,16,471,-12
229,29,23,452,6
230,20,7,474,13
231,31,6,488,25
232,29,14,505,15
233,27,4,530,23
234,51,7,550,44
235,20,8,593,12
236,59,3,610,56
237,9,5,664,4
238,15,10,663,5
239,41,25,653,16
240,9,5,689,4
241,13,6,692,7
242,44,19,686,25
243,11,10,720,1
244,14,9,722,5
245,27,21,715,6
246,10,8,734,2
247,83,34,710,49
248,17,6,787,11
249,8,15,789,-7
250,37,10,787,27
251,17,9,815,8
252,26,20,812,6
253,35,22,816,13
254,12,9,842,3
255,12,11,843,1
256,15,8,847,7
257,19,3,859,16
258,13,10,868,3
259,21,10,871,11
260,6,8,884,-2
261,16,9,881,7
262,18,11,886,7
263,9,7,897,2
264,42,33,873,9
265,7,4,911,3
266,18,7,911,11
267,15,10,919,5
268,56,37,897,19
269,9,15,938,-6
270,9,9,938,0
271,13,7,940,6
272,10,13,940,-3
273,7,5,945,2
274,9,5,947,4
275,8,5,951,3
276,8,4,955,4
277,10,8,955,2
278,6,4,961,2
279,43,22,945,21
280,16,5,983,11
281,10,7,992,3
282,7,4,998,3
283,7,6,999,1
284,9,8,998,1
285,12,11,996,1
286,17,8,1000,9
287,17,8,1009,9
288,13,11,1015,2
289,11,8,1020,3
290,6,9,1022,-3
291,9,12,1016,-3
292,11,8,1017,3
293,6,7,1021,-1
294,8,7,1020,1
295,7,6,1022,1
296,3,5,1024,-2
297,54,53,974,1
298,17,29,999,-12
299,7,5,1011,2
300,13,6,1012,7
301,7,1,1024,6
302,6,6,1025,0
303,4,4,1027,0
304,9,7,1024,2
305,7,10,1023,-3
306,8,17,1013,-9
307,7,7,1014,0
308,10,10,1011,0
309,3,8,1013,-5
310,7,7,1009,0
311,6,13,1003,-7
312,7,6,1003,1
313,3,3,1007,0
314,7,8,1002,-1
315,9,5,1004,4
316,24,29,984,-5
317,10,40,968,-30
318,3,28,950,-25
319,5,7,946,-2
320,11,3,948,8
321,9,4,955,5
322,3,1,963,2
323,69,8,958,61
324,12,6,1021,6
325,26,19,1014,7
326,15,47,993,-32
327,15,10,998,5
328,12,6,1007,6
329,32,22,997,10
330,11,16,1013,-5
331,14,12,1012,2
332,6,5,1021,1
333,2,5,1022,-3
334,3,8,1016,-5
335,5,5,1014,0
336,18,22,997,-4
337,3,4,1011,-1
338,5,4,1010,1
339,9,3,1012,6
340,5,9,1012,-4
341,8,3,1014,5
342,3,5,1017,-2
