epoch_no,pool_count,mean_ada,stddev_ada,cv_pct,min_ada,max_ada
210,445,13568054,24417037,179.96,283768,148611848
211,524,19331374,36414728,188.37,472538,312104686
212,554,21734602,38035872,175.00,574939,229876590
213,565,22447945,39827940,177.42,598211,232872039
214,553,24051404,41715715,173.44,622903,236836178
215,511,26958358,45679703,169.45,646505,239441181
216,498,28728070,47932646,166.85,668661,287341092
217,481,30517718,49304824,161.56,686455,287311598
218,485,30700780,49490842,161.20,694979,290302600
219,483,32210390,53833114,167.13,726792,486514767
220,481,32762364,50958596,155.54,737126,290166427
221,486,32850128,51297834,156.16,743783,302068237
222,481,33833946,51301600,151.63,762793,230129453
223,479,34743209,50239760,144.60,787448,223409077
224,478,35321074,50845193,143.95,790185,213018334
225,487,34908483,50793779,145.51,791616,207607175
226,484,35352939,51505214,145.69,801978,209658792
227,487,35246620,51004485,144.71,807069,208747946
228,475,36314831,51943857,143.04,807070,211629046
229,481,40327184,53664492,133.07,910990,200981659
230,494,39516543,52350370,132.48,925706,203881447
231,519,38134001,49658871,130.22,923403,193329500
232,534,37184202,47232653,127.02,926408,198000400
233,557,35552877,43973300,123.68,927607,191314767
234,601,33255311,38468968,115.68,931449,181783339
235,613,32795034,36508513,111.32,944859,178887608
236,669,30312136,31066502,102.49,944859,165044734
237,673,30266260,30464409,100.65,958450,164350824
238,678,30217859,30538030,101.06,964543,163136057
239,694,30599609,25884104,84.59,992914,162548679
240,698,30545488,25630541,83.91,1007893,161200520
241,705,30519896,25368952,83.12,1013762,102049035
242,730,29644248,25115531,84.72,1010633,97274277
243,731,29728047,25126696,84.52,1012458,94886913
244,736,29669990,25069591,84.49,1023835,92434275
245,742,29598836,25036879,84.59,1023226,99534275
246,744,29649704,24968487,84.21,1029370,103034275
247,793,27941351,24662233,88.26,1035319,86165195
248,804,27683004,24609762,88.90,1036316,95366533
249,797,27904163,24588991,88.12,1053350,133084174
250,824,27787418,24410482,87.85,1068162,161134174
251,832,27503452,24257586,88.20,1066805,174534174
252,838,26872857,24308626,90.46,1075313,175984074
253,851,26612563,26012311,97.74,1064919,320913533
254,854,26651405,25972407,97.45,1065036,327972874
255,855,26396393,25772815,97.64,1083509,325653958
256,862,25872801,25603446,98.96,1044286,327854720
257,878,25607385,24975448,97.53,1057228,272678660
258,881,25614792,25007677,97.63,1073500,272670004
259,892,25333331,23699227,93.55,1074852,216251355
260,890,25385452,23709931,93.40,1076252,219991344
261,897,25100162,23543817,93.80,1052132,221291344
262,904,24951123,23601134,94.59,1053580,233262409
263,906,24861230,23587694,94.88,1056008,240642409
264,915,24868682,23453919,94.31,1081826,244612409
265,918,24863224,23497814,94.51,1073593,244612409
266,929,24633951,23445235,95.17,1070190,244612409
267,934,24436351,23368569,95.63,1066832,246562409
268,953,23768959,23237016,97.76,1063570,246992409
269,947,23855296,23233021,97.39,1056945,247142409
270,947,23963192,23370864,97.53,1062804,247142409
271,953,23894259,23421543,98.02,1063534,247292409
272,950,24018428,23348366,97.21,1069175,247292409
273,952,24021645,23383471,97.34,1070649,247396999
274,956,23944954,23366661,97.58,1073326,247396999
275,959,23777999,22688400,95.42,1066938,167924362
276,963,23764669,22730593,95.65,1074986,167964467
277,965,23817630,22381326,93.97,1076635,82631695
278,967,23768952,22369188,94.11,1078019,82675325
279,988,23278939,22383182,96.15,1078243,82721804
280,999,23042616,22304753,96.80,1078645,82870682
281,1002,22991318,22243732,96.75,1078352,82914328
282,1005,22915151,22184005,96.81,1076493,83075471
283,1006,22923159,22209446,96.89,1082448,83225348
284,1007,22895248,22261218,97.23,1084632,83322167
285,1008,22755054,22153787,97.36,1076359,83465853
286,1017,22538559,22120032,98.14,1073868,83727559
287,1026,22241626,22086278,99.30,1074234,84350033
288,1028,22297815,22121597,99.21,1078541,84619896
289,1031,22403638,22173882,98.97,1080108,75584399
290,1028,22411669,22132870,98.76,1082340,77931216
291,1025,22446793,22092728,98.42,1075937,77075648
292,1028,22479844,22101418,98.32,1082231,77625131
293,1027,22569943,22155046,98.16,1088221,77158964
294,1028,22534924,22184527,98.45,1083651,76759095
295,1029,22540857,22128561,98.17,1088221,76697306
296,1027,22615903,22168692,98.02,1088932,76436682
297,1028,22614697,22186022,98.10,1088932,75959638
298,1016,22913379,22273568,97.21,1088704,76295637
299,1018,22919879,22320979,97.39,1092279,77874812
300,1025,23074832,22427993,97.20,1105849,77764368
301,1031,22920993,22378893,97.63,1105582,77248118
302,1031,22899273,22439769,97.99,1110013,85089320
303,1031,22902017,22538870,98.41,1107262,87983394
304,1033,22867171,22485184,98.33,1106551,87314285
305,1030,22933975,22638289,98.71,1106227,88960519
306,1021,23109305,22646860,98.00,1111107,87927087
307,1021,23126974,22816765,98.66,1107335,87146341
308,1021,23101863,22793649,98.67,1105433,86750792
309,1016,23151194,22906570,98.94,1103983,85841480
310,1016,23166049,22933784,99.00,1103307,86643493
311,1009,23286427,22973993,98.66,1102629,86268514
312,1010,23273111,23001695,98.83,1099666,86173261
313,1010,23258182,23053814,99.12,1099666,86065162
314,1009,23166823,23054934,99.52,1094513,85868557
315,1013,23018082,22993792,99.89,1096477,80847390
316,1008,23138510,23009193,99.44,1094379,79376130
317,978,23876527,24204483,101.37,1098506,86471603
318,953,24500466,24843292,101.40,1099123,101838937
319,951,24533323,24818899,101.16,1100690,98207675
320,959,24329350,24807305,101.96,1099531,93333161
321,964,24182923,24683653,102.07,1091372,92960009
322,966,24096843,24567712,101.95,1093326,92714857
323,1027,22652311,22086273,97.50,1087552,74991830
324,1033,22392422,21923816,97.91,1089214,73418118
325,1040,22298330,21962472,98.49,1086520,85774738
326,1008,22876992,22243799,97.23,1080654,85692087
327,1013,22726069,22061943,97.08,1080882,69180616
328,1019,22556778,22008578,97.57,1081292,68676978
329,1029,23667568,22482589,94.99,1142278,69158580
330,1024,23770305,22556414,94.89,1142139,68747311
331,1026,23804594,22571265,94.82,1149872,68786635
