pool_id,epoch_count,mean_stake_ada,stddev_ada,cv_pct,min_ada,max_ada,range_pct
pool12pupdkq80hxxcje94kjgc75x9vsqsgaz65upnmx7k7zmvc3rpd5,73,0,0,,0,0,
pool1kxfvv8e8u9crfgy3fp89hlchehutrjq9wv7hax7dxs3lsjuw9kc,73,0,0,,0,0,
pool17dkgt30q7q53eavtrygh4p549wml9eq2339pfkuec6yf7x7h5rz,73,0,0,,0,0,
pool1ajy6eslg9ju7mpqzlaeehz02algkfs7fk3qsym7wun7ks6z06tu,73,0,0,,0,0,
pool18tdd78q5vgr9qy2lun7m8srmnuc3h2mg6vqe66gezjh4glujje3,73,0,0,,0,0,
pool1rzlg6gtquajeyzpn5whh2alqzgdpy5ugha275z2haq79glqze85,73,0,0,,0,0,
pool1fqnluegrkns2jj49vgvn8vvn5u8y4m2m3xptx4wngvf4cnwa2fk,73,0,0,,0,0,
pool1tq03j8aa5myedlr8xj6tltstdsn5eprxq4cd4qr54mhv25unsyk,73,0,0,,0,0,
pool1l5a4689wchd3vrdzck70ysdcn5d390um6ge4x4rzx79vzmgwvf0,73,0,0,,0,0,
pool1py5y4uqukj777aj0ax0dpc7tchcl35dax5rxppuwfj0wkg3km82,73,0,0,,0,0,
pool1vpav6vlznpwzrr82nvq7jenfxk4mwqk9jju9yx03dryqcg9sqnn,73,0,0,,0,0,
pool198wj6nckft025tvkthdpamw6xxwdftactw34fag60d2xxa2qz7y,73,0,0,,0,0,
pool18499qzkx0gcsa92ykrv84yr9pycqrje2dndcg2xxq7pxyadvwjj,73,0,0,,0,0,
pool1lyh8e725vttnkr5eylgfap7pmnmkrk0wznpkfl8qxahyqe2agcu,73,0,0,,0,0,
pool1sqxvayj9w80g42w7chla9x56atj75jwxvkrkrtkcvcyjcak9wx2,73,0,0,,0,0,
pool1dqq4ugkrkpwhray2z8jvk8nvnpnq3gm3g2stz4wmusap6tkuclw,73,0,0,,0,0,
pool1fn2e64q388nustgn7ca0tangxa29ta5z908cq2c5nztj6sntdsk,73,0,0,,0,0,
pool1r04czz6aq4qnd8a3x2klzd6g20mrxns0ksrac0z0jn7uycgl7l2,73,0,0,,0,0,
pool152zrg07tzs7vjcw7q64r85egv6efr59lsyn4v5yqqxy0vspj26f,73,0,0,,0,0,
pool1l38lxca7tzp0trqedr97usd0zk89q2x74qrez5xcafxechcw452,73,0,0,,0,0,
pool1mayjfth7yz6mpd4hhtcwl974ut8hld8hls2f07rrdul3ypqt9rm,73,0,0,,0,0,
pool1fndvmevsjh5a0hkt5me9mrtlk4ugu4n8yns0dwk4jyhdqcq3ayy,73,0,0,,0,0,
pool1gl90juvqt674dhvr06f6vtth8uarhglx3q6cj3y3q0vdsy5ujsc,73,0,0,,0,0,
pool164nml0s3vt20jd8uf0lwf5hjnt4vcan9sjmxr8huq7k2qswd8jq,73,0,0,,0,0,
pool1rw3sdsrge8wa076403lrxey3zw557v3kpaw0kwaxwg02zjfv82k,73,0,0,,0,0,
pool15m3nrmzhaef66j4sue7p66yshtxfug84zuhfd8skxhh9q6mkgyx,73,0,0,,0,0,
pool1nwljjun9hsly0vkuq2kuxzleteyl35j9s8ap4x9yh4lpuglxmu3,73,0,0,,0,0,
pool1vujjarchz7tgec2xazavrsa0r8trf3u6840lgnq2p4kdsg0830y,73,0,0,,0,0,
pool1vdly044nj2r3vnghwq4s0z0uragd307wnsnsj4usdh3fu8jx6nt,73,0,0,,0,0,
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,73,0,0,,0,0,
pool1x909haq22shn2479qtzkkr9ww2s9nr7v9xzyhxefg50yyt3lzfy,73,0,0,,0,0,
pool1uklezq2zz38zldrjrgujqmvrnswfzmupakgfp5wzgln9zx8tcju,73,0,0,,0,0,
pool14kddecyyn0vjm07kr7vctnqnn3dt668dna63epdly220z4kgss7,73,0,0,,0,0,
pool1lc4yn2hew7nquk5gfc8k8cs6d7hee4a9hc2hauwj7dv759zzek0,73,0,0,,0,0,
pool1t3xele4dr85qz797gv9n4gdcwtcmsv9wvn9jyavxhpc3qzu50fx,73,0,0,,0,0,
pool1trvj5seg8u2r5tz2usenfmz9vs8qnf3nc8aft6vr9uqhszdlrx0,73,0,0,,0,0,
pool16qsddpnjv5msjp62lxam4erurckks98t2e6k7tuqw5e4u5xcmc5,73,0,0,,0,0,
pool1tseacydhjcj6hext49ehs9zc9lea83azc8t7k9rqqqq0w5xhcky,73,0,0,,0,0,
pool1jssdknzgsg4fm3v70uvhrtfjtakwpr5q6x0dwc0fcff8wtd05f6,73,0,0,,0,0,
pool19yzav2l45q4gcwa53mh9ga6pf5c45t75qtqu6usfzup27qk27j0,73,0,0,,0,0,
pool157xnzltgv3h4zzege5qh0fx23cr90gve663xddtq4j0u56fu8c9,73,0,0,,0,0,
pool12cc8t9yr58xureweksj73v87xkm6svcs8j3xnt93zd5zw5q6ugr,73,0,0,,0,0,
pool1guzmpktw0h98ezwgekzcvw2wgmf58a3egcjaecx2yv8esrtv8tw,73,0,0,,0,0,
pool1c5ntzp7mm3rgmyxugx96eecycjupu8v3mcq9wylzxjgsujrj98j,73,0,0,,0,0,
pool12znadsadf2h4v6xhf8jwqc6grjxsrdn6f53h5esrkaj5qjtjnfs,73,0,0,,0,0,
pool1vazy9q3064xgmqn7fxwgysyuqfvlxlcn7dfcn79ydcn3kw2xuvm,73,0,0,,0,0,
pool1gpc08dtula7mpdzy3rnf9zfw8tp2n6c03ukj2kf5shqzca5ulw2,73,0,0,,0,0,
pool1g90xrq0qrgn7z9xdfpx6xlgxwedf7unrcmh2drj7j70hxr35jxk,73,0,0,,0,0,
