pool_id,delegation_count,total_ada,min_ada,max_ada
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,35050,113898908.32819300,0.000000000000000000000000,47144496.504678000000
pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,39,108333731.07307800,0.000000000000000000000000,57055688.960771000000
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,6035,91431027.991161000000,0.000000000000000000000000,10868527.449533000000
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,10890,90751704.872142000000,0.000000000000000000000000,12767720.535143000000
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,6,81085406.191448000000,47.0185120000000000,81015773.652129000000
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,86,80713290.235102000000,0.01678600000000000000,27929123.983800000000
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,5176,77297506.554903000000,0.000000000000000000000000,20647737.355342000000
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,95,77156106.637591000000,0.000000000000000000000000,32189642.842668000000
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,2235,76640732.948529000000,0.000000000000000000000000,3428498.023442000000
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,2,76431801.327177000000,7.4799130000000000,76431793.847264000000
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,2,76374618.360148000000,0.000000000000000000000000,76374618.360148000000
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,1,76329623.095609000000,76329623.095609000000,76329623.095609000000
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,1,76328575.121973000000,76328575.121973000000,76328575.121973000000
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,7,76313015.863558000000,26.8239830000000000,20249999.726545000000
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,4,76301500.320156000000,15551496.811277000000,20250002.716133000000
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,4,76301499.880772000000,15551503.858490000000,20249999.077036000000
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,4,76301499.726481000000,15551517.579025000000,20250000.304392000000
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,1,76276262.309313000000,76276262.309313000000,76276262.309313000000
pool18sk7mn0r0cyujft352lwkzg5pz7e67ve3ps2sryrwacd2r5zhp6,1,76020299.754348000000,76020299.754348000000,76020299.754348000000
pool19kfm6lz5uw7nylq27swr367mqdycmug7tve94l6h3xsz64seqtc,132,75862893.518952000000,0.000000000000000000000000,24215812.281894000000
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,38,75860613.915700000000,0.000000000000000000000000,47644442.941677000000
pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,9,75691778.893600000000,0.000000000000000000000000,75684733.842412000000
pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je,235,75590161.150268000000,0.000000000000000000000000,63314881.657105000000
pool1rkm8rplkafvllxjuddrkqc3u3lgd9uf327tvmvfdyygsv7lkhm8,1,75534015.123639000000,75534015.123639000000,75534015.123639000000
pool1luhm55xxqp0cv7a43rcfrr8m6m74kfe7wdvqdgfzt483x29lr0t,5,75500025.793072000000,19.8256990000000000,20250019.971269000000
pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,5374,75239095.432611000000,0.000000000000000000000000,2559164.153008000000
pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f,50,75181319.620362000000,0.000000000000000000000000,74373785.844982000000
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1970,75078491.396511000000,0.000000000000000000000000,5626872.974198000000
pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g,22,75073860.787872000000,2.3372350000000000,73994909.220002000000
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,2411,74939876.742698000000,0.000000000000000000000000,28554798.732708000000
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,5479,74937961.343550000000,0.000000000000000000000000,2634928.743385000000
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,9460,74897482.607648000000,0.000000000000000000000000,7185334.077874000000
pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,1910,74659666.782245000000,0.000000000000000000000000,15142486.410478000000
pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,112,74649823.953716000000,0.000000000000000000000000,55996481.218217000000
pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,42,74344208.224678000000,0.000000000000000000000000,72601064.894579000000
pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,4,74071869.382716000000,5.1363500000000000,74068750.551375000000
pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,7115,74059621.331269000000,0.000000000000000000000000,21951279.757678000000
pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4,1,74033611.746343000000,74033611.746343000000,74033611.746343000000
pool1hv59awqky90plv68xun2k3rd7jqfe5y2c4ry8f7p0x9pxhd7wqr,1,74033211.219252000000,74033211.219252000000,74033211.219252000000
pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,1,74030810.716694000000,74030810.716694000000,74030810.716694000000
pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh,1,74028409.665269000000,74028409.665269000000,74028409.665269000000
pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,1,74027608.650277000000,74027608.650277000000,74027608.650277000000
pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,1,74025208.527085000000,74025208.527085000000,74025208.527085000000
pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a,1,73990457.365958000000,73990457.365958000000,73990457.365958000000
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,2569,73744849.074923000000,0.000000000000000000000000,11071496.258478000000
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,5056,73640334.384862000000,0.000000000000000000000000,14429066.055073000000
pool1q8x5k5wq6zsshdjcmyzcgzwaqd9mfg9fypaaew8xs597svmeyk4,1,73381720.560139000000,73381720.560139000000,73381720.560139000000
pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,24,73066595.750558000000,0.000000000000000000000000,20250001.000000000000
pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,3,72921992.903702000000,35.0130380000000000,72919480.602594000000
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,12827,72670077.632052000000,0.000000000000000000000000,10398414.135269000000
pool1fuge4duc9hfgm9xvu33llsntmnfcumsyw2d0away49v8gmphfzs,3,72588005.663543000000,5.0467090000000000,72585647.720455000000
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,321,71741181.111014000000,0.000000000000000000000000,58733139.264565000000
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,3114,71560625.187904000000,0.000000000000000000000000,3103483.425493000000
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,906,71225369.201274000000,0.000000000000000000000000,10457217.443084000000
