epoch_no,redelegations,initial_delegations,renewals,total_certs
210,3414,17285,594,21293
211,2771,6965,492,10228
212,2276,6416,458,9150
213,2705,4768,442,7915
214,2057,3461,407,5925
215,2950,3502,366,6818
216,2751,4715,298,7764
217,2279,4193,442,6914
218,1845,2550,351,4746
219,1661,1933,443,4037
220,1588,1731,323,3642
221,1733,1956,262,3951
222,1511,1967,197,3675
223,1495,1540,232,3267
224,1488,1533,217,3238
225,1372,1387,176,2935
226,1403,1417,191,3011
227,1292,1252,189,2733
228,1815,1202,167,3184
229,1719,1889,264,3872
230,2696,4455,306,7457
231,3649,2755,282,6686
232,3637,3602,402,7641
233,4033,4314,683,9030
234,7404,5172,1125,13701
235,5038,4438,1352,10828
236,4545,4006,1493,10044
237,2679,3807,1358,7844
238,2828,3788,812,7428
239,2269,3715,728,6712
240,2566,5477,859,8902
241,2983,7172,1030,11185
242,3894,11152,1210,16256
243,2858,8829,1017,12704
244,3332,10844,1166,15342
245,2957,7735,931,11623
246,2958,7341,969,11268
247,3722,11930,1506,17158
248,5718,21215,1998,28931
249,6165,24359,2438,32962
250,6749,24015,2672,33436
251,7694,27070,2974,37738
252,8483,26713,3138,38334
253,7596,25858,2977,36431
254,6295,19254,2439,27988
255,6009,16960,2248,25217
256,6281,20263,2656,29200
257,5076,14516,2126,21718
258,5562,14442,1961,21965
259,5360,14887,2095,22342
260,5399,12536,1692,19627
261,5754,15583,2137,23474
262,5233,14570,2057,21860
263,4690,12957,1928,19575
264,5090,14147,2011,21248
265,5424,14949,2053,22426
266,6870,20746,2529,30145
267,8292,25013,3207,36512
268,8230,27423,3801,39454
269,6875,21092,1714,29681
270,7091,19255,1239,27585
271,8097,19271,1296,28664
272,7124,15470,927,23521
273,6049,11814,827,18690
274,5484,10748,863,17095
275,5252,10240,786,16278
276,5043,9923,810,15776
277,7186,11474,855,19515
278,7009,11124,820,18953
279,5677,9306,815,15798
280,4534,8113,816,13463
281,4665,7782,788,13235
282,4859,7927,850,13636
283,5020,9128,1010,15158
284,5065,9479,901,15445
285,6866,11986,1173,20025
286,8033,14626,1331,23990
287,9257,18646,1775,29678
288,7931,17295,1520,26746
289,7309,15960,1448,24717
290,9227,16729,1458,27414
291,7722,15458,1348,24528
292,7796,15545,1093,24434
293,9145,15072,1092,25309
294,7093,12448,989,20530
295,7421,11347,1095,19863
296,8680,12475,913,22068
297,8378,11093,952,20423
298,6703,10177,838,17718
299,7020,10462,1031,18513
300,7765,10344,865,18974
301,7324,10739,955,19018
302,5969,10320,970,17259
303,6895,11863,1016,19774
304,8225,13525,1079,22829
305,16950,13768,1190,31908
306,12486,13951,1291,27728
307,11442,11893,1079,24414
308,13529,13081,1251,27861
309,18422,11641,1109,31172
310,11607,8706,859,21172
311,9055,8158,749,17962
312,6940,7746,740,15426
313,6378,8139,795,15312
314,6485,10885,840,18210
315,6808,15840,882,23530
316,7089,13388,921,21398
317,47003,44939,4024,95966
318,24540,30154,2120,56814
319,8347,13180,954,22481
320,8894,9697,865,19456
321,9044,8771,870,18685
322,7678,7488,770,15936
323,37734,8279,2008,48021
324,11242,5484,1022,17748
325,10846,5048,745,16639
326,9046,4626,686,14358
327,7131,4187,611,11929
328,10375,4235,565,15175
329,10522,4832,693,16047
330,9979,5661,847,16487
331,9800,4774,776,15350
332,5646,4075,558,10279
333,4203,3573,486,8262
334,3783,3750,469,8002
335,4085,3508,460,8053
336,4807,4386,488,9681
337,4703,2988,466,8157
338,3158,3124,452,6734
339,3107,2577,415,6099
340,4712,4187,489,9388
341,4621,3238,395,8254
342,4453,3144,313,7910
343,3596,2758,710,7064
344,3028,2383,665,6076
345,2808,2282,301,5391
346,2626,2310,320,5256
347,3053,3312,602,6967
348,2476,2527,346,5349
349,2466,2381,289,5136
350,2498,2475,613,5586
351,2511,2351,759,5621
352,2061,2115,248,4424
353,2743,2185,321,5249
354,2437,2121,305,4863
355,2274,1836,284,4394
356,2180,1922,550,4652
357,2563,2062,416,5041
358,2174,1921,220,4315
359,2332,1732,243,4307
360,3726,2684,269,6679
361,2881,1807,219,4907
362,2468,1584,268,4320
363,2509,1840,277,4626
364,2616,1572,320,4508
365,2852,1604,249,4705
366,2301,1474,204,3979
367,3198,1543,250,4991
368,2381,1474,232,4087
369,2146,1419,231,3796
370,2268,1513,200,3981
371,1923,1454,202,3579
