epoch_no,total_staked,delegation_count,pool_count
210,6057875150904311,17305,734
211,10177811974822904,24252,890
212,12106602864871837,30628,984
213,12758829109784350,35360,1026
214,13382718156097189,38780,1070
215,13864141914846088,42261,1106
216,14396547846613762,46931,1119
217,14776118270469741,51091,1139
218,14987431249067863,53573,1133
219,15657991508072959,55449,1141
220,15859988643309526,57143,1150
221,16064098678859669,59049,1156
222,16371244779824020,60814,1163
223,16743231852830277,62342,1171
224,16980957495734679,63824,1180
225,17096070009862836,65164,1182
226,17208683641999022,66524,1181
227,17260167504454385,67676,1185
228,17348591975630940,68771,1187
229,19510155416091834,70572,1221
230,19636382936670747,74936,1264
231,19907907769885462,77602,1296
232,19977393570330784,81044,1297
233,19917513128733841,85164,1309
234,20094293921511214,90104,1343
235,20218109006931644,94409,1370
236,20387817635424648,98331,1414
237,20478038471514498,102020,1437
238,20598560072620853,105662,1446
239,21356205100359588,108517,1442
240,21440591255207756,113824,1457
241,21632982170761197,120806,1465
242,21755094259019945,131613,1490
243,21849089085260375,140178,1505
244,21956206748623667,150785,1531
245,22086904770458818,158270,1570
246,22190441040634090,165252,1581
247,22275517879395323,176740,1639
248,22376311335660823,197331,1657
249,22369166376492895,220596,1700
250,23034831199285830,243779,1785
251,23028427838128765,269770,1882
252,22675992136326807,295232,1952
253,22807568628326603,320343,2055
254,22929461287895664,338671,2153
255,22753958467474959,354525,2231
256,22488877070796904,373373,2293
257,22670949084364797,386847,2331
258,22760955541834538,400259,2378
259,22791959380285638,413862,2424
260,22796009141134396,424918,2450
261,22716225550169723,438987,2471
262,22755688720340301,452155,2492
263,22726917708873365,464095,2511
264,22955953661896809,477026,2538
265,23026399223411517,490637,2558
266,23083634214117687,509587,2581
267,23021654510419471,532760,2599
268,22843314790026736,557805,2590
269,22786770256604950,577352,2611
270,22893778548073522,595592,2641
271,22970909569111347,613706,2671
272,23020000415780615,628263,2688
273,23075664958746578,639185,2703
274,23094302016775953,649148,2740
275,23006172979540278,658299,2761
276,23092420021153886,667460,2774
277,23196615273348567,678019,2794
278,23196379717228316,688224,2818
279,23210733595257321,696652,2822
280,23230827525683631,703888,2836
281,23254470605645231,710785,2843
282,23244660857359753,717713,2866
283,23277148789435534,725789,2878
284,23275724668511213,734064,2904
285,23159940155010115,743824,2922
286,23141094607453731,756429,2934
287,23041097075076811,772259,2946
288,23136223153988390,787340,2944
289,23311196777534712,801247,2945
290,23253494675755279,814673,2961
