epoch_no,addr_type,n_addrs,has_stake
250,base_key,121272,121272
250,enterprise_key,1115,0
250,other,164217,0
300,base_key,336146,336146
300,enterprise_key,84158,0
300,enterprise_script,159,0
300,base_script,1,1
300,other,92023,0
340,base_key,173190,173190
340,enterprise_key,23324,0
340,enterprise_script,289,0
340,base_script,79,79
340,other,24005,5
370,base_key,160225,160225
370,enterprise_key,18643,0
370,enterprise_script,296,0
370,base_script,684,684
370,other,15888,6
384,base_key,129540,129540
384,enterprise_key,14630,0
384,enterprise_script,474,0
384,base_script,535,535
384,other,12882,0
