epoch_no,addr_type,unique_submitters,tx_count,total_fee_ada
208,base_key,26078,28431,5315.4662580000000000
208,enterprise_key,75,365,158.6391380000000000
208,legacy,23882,24912,5196.1068120000000000
209,base_key,21573,24197,4880.2028410000000000
209,enterprise_key,54,136,27.3427310000000000
209,legacy,11128,12583,2758.8008520000000000
210,base_key,17584,19255,3833.6147530000000000
210,enterprise_key,36,52,10.4240550000000000
210,legacy,14254,16960,3926.4934650000000000
211,base_key,12952,14148,2874.9223810000000000
211,enterprise_key,30,47,8.9223890000000000
211,legacy,11995,14888,3634.0414580000000000
212,base_key,10554,11523,2324.2883760000000000
212,enterprise_key,26,44,9.0912650000000000
212,legacy,10168,13124,3244.8386380000000000
213,base_key,12782,14140,3072.6010700000000000
213,enterprise_key,41,67,12.9159790000000000
213,legacy,11911,15141,4015.0762070000000000
214,base_key,14855,16190,3373.2376320000000000
214,enterprise_key,140,249,51.3754000000000000
214,legacy,12706,15935,4077.2207140000000000
215,base_key,13486,14719,3179.7178550000000000
215,enterprise_key,227,578,123.5756350000000000
215,legacy,13264,17241,4806.7557840000000000
216,base_key,9773,10708,2359.4444770000000000
216,enterprise_key,86,220,45.7622530000000000
216,legacy,9614,12446,3530.6016970000000000
217,base_key,8941,9845,2162.5151590000000000
217,enterprise_key,128,244,52.1866580000000000
217,legacy,8116,10290,2860.9942370000000000
218,base_key,7838,8552,1882.8801960000000000
218,enterprise_key,128,287,62.4116980000000000
218,legacy,7510,9600,2601.7765790000000000
219,base_key,8607,9301,2029.1406630000000000
219,enterprise_key,104,291,60.2224010000000000
219,legacy,8095,10647,2880.6574520000000000
220,base_key,7965,8646,2361.7044320000000000
220,enterprise_key,92,215,44.5276380000000000
220,legacy,8070,10673,2729.7027180000000000
221,base_key,7008,7654,1660.0217180000000000
221,enterprise_key,36,82,15.7973250000000000
221,legacy,6817,8629,2237.7028150000000000
222,base_key,8580,9510,2035.7952500000000000
222,enterprise_key,42,93,18.1231100000000000
222,legacy,7529,9695,2445.6217450000000000
223,base_key,8107,9171,2163.2501370000000000
223,enterprise_key,37,66,12.1085310000000000
223,legacy,6893,8861,2248.4726180000000000
224,base_key,7819,8644,1846.8705060000000000
224,enterprise_key,30,50,10.3962570000000000
224,legacy,6839,8833,2267.2422530000000000
225,base_key,8033,8762,1848.5769010000000000
225,enterprise_key,35,54,10.8745730000000000
