epoch_no,addr_type,n_addrs,fee_ada
300,base_key,211921,60538
300,enterprise_key,26059,20355
300,enterprise_script,30,671
300,base_script,1,457
300,other,19887,6185
340,base_key,120781,98687
340,enterprise_key,10435,16373
340,enterprise_script,197,39792
340,base_script,58,2893
340,other,6909,2258
370,base_key,107439,94530
370,enterprise_key,9243,17299
370,enterprise_script,222,16730
370,base_script,664,22159
370,other,5522,2205
384,base_key,87709,65200
384,enterprise_key,7333,9954
384,enterprise_script,295,25199
384,base_script,446,12702
384,other,5005,1950
