epoch_no,unique_submitters,tx_count,total_fee_ada
208,50035,53708,10670.212208000000
209,32755,36916,7666.3464240000000000
210,31874,36267,7770.5322730000000000
211,24977,29083,6517.8862280000000000
212,20748,24691,5578.2182790000000000
213,24734,29348,7100.5932560000000000
214,27701,32374,7501.8337460000000000
215,26977,32538,8110.0492740000000000
216,19473,23374,5935.8084270000000000
217,17185,20379,5075.6960540000000000
218,15476,18439,4547.0684730000000000
219,16806,20239,4970.0205160000000000
220,16127,19534,5135.9347880000000000
221,13861,16365,3913.5218580000000000
222,16151,19298,4499.5401050000000000
223,15037,18098,4423.8312860000000000
224,14688,17527,4124.5090160000000000
225,15218,17856,4203.3121940000000000
226,15955,19122,4393.7208900000000000
227,18529,22103,4962.7189670000000000
228,26770,31103,6777.7349390000000000
229,20305,23712,5316.8187240000000000
230,26601,31432,7168.6552030000000000
231,40129,48347,11110.141677000000
232,38262,45940,10681.640345000000
233,29137,35641,8173.0779460000000000
234,27635,33953,8006.0693820000000000
235,28488,34170,8115.5208230000000000
236,26983,32737,7838.0755670000000000
237,30696,38103,8966.7916300000000000
238,40251,49613,11693.879197000000
239,48500,59712,14161.113125000000
240,69882,85930,20069.060896000000
241,52521,64234,14690.681083000000
242,60600,74057,16905.060417000000
243,47989,58682,13368.193376000000
244,49267,59591,13516.792921000000
245,71969,88703,20044.918510000000
246,114769,142367,31528.825577000000
247,143840,176490,38567.858687000000
248,126624,151466,32686.545278000000
249,153398,185379,40504.763143000000
250,158606,192598,41831.556274000000
251,131988,157658,34501.532516000000
252,113646,139593,30758.641553000000
253,118840,145874,32480.018212000000
254,151906,195957,43609.040032000000
255,113513,168880,36360.919507000000
256,104752,143164,30633.912084000000
257,131205,183620,39170.561174000000
258,123405,172429,37979.106429000000
259,146626,201504,43782.816741000000
260,142042,216117,46907.924914000000
261,123233,194471,41390.363617000000
262,121544,178588,37980.832313000000
263,147088,227361,48870.395213000000
264,173681,269945,57777.594620000000
265,193907,309042,65968.954839000000
266,200775,317020,68417.656270000000
267,152234,243673,52698.878516000000
