epoch_no,reserve,treasury,circulating,utxo,unclaimed_rewards,deposits
209,13286160713028443,8332813711755,31705506473259802,31111517964861148,593536826186446,441012000000
210,13278197552770393,16306644182013,31705495803047594,31427038405450971,277915861250199,533870000000
211,13270236767315870,24275595982960,31705487636701170,31539966264042924,164918966125973,594636000000
212,13262280841681299,32239292149804,31705479866168897,31556964153057144,147882943225525,626252000000
213,13247093198353459,40198464232058,31712708337414483,31578940375911744,133110645284460,651738000000
214,13230232787944838,48148335794725,31721618876260437,31599599756081623,121337581585558,674438000000
215,13212986170770203,55876297807656,31731137531422141,31612774463528795,117660526059600,695040000000
216,13195031638588164,63707722011028,31741260639400808,31618386634872973,122159720478561,706174000000
217,13176528835451373,71629614335572,31751841550213055,31623386398075064,127730158329564,719058000000
218,13157936081322000,79429791062499,31762634127615501,31627219255406326,134680552513121,729244000000
219,13139088245733216,87229346231023,31773682408035761,31630183215083879,142759607883409,735038000000
220,13120582265809833,94812346026398,31784605388163769,31632848506081886,151012138061367,739774000000
221,13101550250680254,102526032953120,31795923716366626,31635508458477371,159661581954467,748540000000
222,13082116350342059,110388072013679,31807495577644262,31638704635807180,168031500315224,755528000000
223,13062655956639744,118208699416236,31819135343944020,31643231839089441,175136507314474,762498000000
224,13042967905529920,125940338514332,31831091755955748,31645683072175046,184638095949416,766164000000
225,13023198387000242,133613085475447,31843188527524311,31649159822457807,193254696557488,769884000000
226,13003168356561692,141320961489871,31855510681948437,31686947704577447,167787052058796,771722000000
227,12983158507901822,148966611367094,31867874880731084,31690281489452333,176804987557861,784010000000
228,12963125292915959,156672155969216,31880202551114825,31693168373016631,186224573379227,804642000000
229,12943288527645190,164146740314244,31892564732040566,31697652762515540,194073823790087,831368000000
230,12923287136043547,171650774380874,31905062089575579,31700304312439254,203907240317601,845220000000
231,12901374614727880,179282860001401,31919342525270719,31704997390333919,213480340281597,857626000000
232,12879420804989068,186903589285290,31933675605725642,31713139770800358,219649376783607,875348000000
233,12857569396931762,194427116830134,31948003486238104,31727370177354236,219718299243523,904328000000
234,12835708801543869,201938554280313,31962352644175818,31739256932742600,222159622355272,927916000000
235,12813555587125201,209567887755185,31976876525119614,31767870175918315,208042607131917,955736000000
236,13112607631777589,217021605777163,31670370762445248,31461432543838109,207948933086316,981170000000
237,13092064399031575,224755310169411,31683180290799014,31465901346220928,216290650502519,980456000000
238,13070468429326735,232303490719413,31697228079953852,31482519231625372,213704761536850,995120000000
239,13047906930168382,240110310231353,31711982759600265,31493208255930256,217754207790812,1008602000000
240,13025619519514576,247808783829569,31726571696655855,31502217300614781,223313216927949,1027018000000
241,13001889545532991,255497935879168,31742612518587841,31517758609836731,223770797690214,1063042000000
242,12977832637176786,261254564022929,31760912798800285,31525316489999635,234492886119567,1088732000000
243,12953750797382735,268861912841117,31777387289776148,31534623877545530,241624641170201,1121866000000
244,12929566121367277,276588875846127,31793845002786596,31540628778085188,252049566508032,1153290000000
245,12905245994461083,284352137586764,31810401867952153,31554431181456119,254780855703113,1176314000000
246,12880948865137767,292077855298344,31826973279563889,31563439010704400,262287981940979,1226242000000
247,12856514256368052,299811858331381,31843673885300567,31574888508747727,267480497727263,1273350000000
248,12832265659375334,307469331873040,31860265008751626,31592654254984197,266226327908742,1345858000000
249,12807979499513648,315149768885434,31876870731600918,31602933412885413,272470858170227,1433774000000
250,12783925491495810,322747474373585,31893327034130605,31617822285490637,273932987876825,1531256000000
251,12759915292888389,330358411585833,31909726295525778,31631163897685934,276901946283570,1618620000000
252,12736017185934876,337791818166627,31926190995898497,31640636356906711,283800249459270,1719888000000
253,12711785646200955,345342263589600,31942872090209445,31649353451366522,291682768201370,1805112000000
254,12688276934220030,352786796113777,31958936269666193,31668786812697733,288238036950248,1878940000000
255,12665043040299013,360161954760303,31974795004940684,31677462379706748,295345314193904,1943702000000
256,12641992243076681,367449804338663,31990557952584656,31683353428327480,305176413337669,1991750000000
257,12618536190581649,374930989230241,32006532820188110,31691929261944983,312525818331043,2047106000000
258,12595569991053045,382322104327451,32022107904619504,31699132694103150,320845649955180,2090390000000
259,12572853459591508,389627105010745,32037519435397747,31706291030556906,329061893734412,2128532000000
260,12549908795306837,396980740382998,32053110464310165,31717532013429028,333362938064396,2171730000000
261,12527064254027631,404243604632007,32068692141340362,31724617701282376,341822380133072,2205152000000
262,12503994895122529,411581611048417,32084423493829054,31729889179826256,352250315639181,2242608000000
263,12480979868875769,418916130935065,32100104000189166,31738198714623483,359582982733370,2284322000000
264,12457884526305649,426275062812584,32115840410881767,31744108687951515,369361834535039,2321018000000
