tenure_bucket,size_bucket,delegation_count,total_stake_ada,avg_stake_ada
0-5 ep (volatile),<1K,3451,667080,193
0-5 ep (volatile),1K-10K,1896,6856745,3616
0-5 ep (volatile),10K-100K,1175,36572410,31125
0-5 ep (volatile),100K-1M,358,100089503,279580
0-5 ep (volatile),1M+,72,326136975,4529680
6-25 ep,<1K,20470,3395084,166
6-25 ep,1K-10K,9203,32532107,3535
6-25 ep,10K-100K,5506,168193605,30547
6-25 ep,100K-1M,1433,379669210,264947
6-25 ep,1M+,243,1740068554,7160776
26-100 ep,<1K,94866,11984675,126
26-100 ep,1K-10K,30549,108493050,3551
26-100 ep,10K-100K,17563,543895307,30968
26-100 ep,100K-1M,4446,1168466428,262813
26-100 ep,1M+,678,4328089556,6383613
101-200 ep,<1K,169415,13115709,77
101-200 ep,1K-10K,29391,102584182,3490
101-200 ep,10K-100K,14703,438644481,29834
101-200 ep,100K-1M,3298,820513405,248791
101-200 ep,1M+,368,2307331505,6269923
201+ ep (loyal),<1K,1255311,76259855,61
201+ ep (loyal),1K-10K,130758,428538335,3277
201+ ep (loyal),10K-100K,44360,1244286054,28050
201+ ep (loyal),100K-1M,7904,2018788641,255414
201+ ep (loyal),1M+,883,5349514466,6058340
