epoch_no,tier,cnt,total_ada
210,01_micro,538,18233.279835
210,02_tiny,965,541720.061349
210,03_small,3057,14593720.198911
210,04_medium,6741,264267278.956819
210,05_large,3999,895160110.177178
210,06_whale,870,602078379.215414
210,07_mega,1064,2551205943.952036
210,08_titan,71,1730009765.062769
220,01_micro,4440,96601.251188
220,02_tiny,4207,2115564.475438
220,03_small,13156,56750797.168688
220,04_medium,21420,752435829.545666
220,05_large,9813,2052098465.283205
220,06_whale,1871,1250782211.049027
220,07_mega,2070,4859389629.607675
220,08_titan,166,6886319544.928639
230,01_micro,7414,160720.575982
230,02_tiny,6556,3111445.532179
230,03_small,18419,77261619.853846
230,04_medium,26802,923813876.654379
230,05_large,11213,2321580490.513436
230,06_whale,2060,1378663332.827624
230,07_mega,2272,5373353702.074722
230,08_titan,200,9558437748.638578
240,01_micro,15933,321631.606958
240,02_tiny,14891,6738172.970667
240,03_small,30894,124733865.236031
240,04_medium,34663,1164155421.645005
240,05_large,12547,2591759441.653235
240,06_whale,2210,1478909338.108666
240,07_mega,2378,5590675805.026258
240,08_titan,308,10483297578.960936
250,01_micro,48706,1078906.438611
250,02_tiny,54214,23118255.171431
250,03_small,71253,262263202.032348
250,04_medium,50128,1596730225.567385
250,05_large,14268,2913018499.281805
250,06_whale,2313,1542754249.943142
250,07_mega,2582,6073597743.945698
250,08_titan,315,10622270116.90541
260,01_micro,117101,2583440.593754
260,02_tiny,108187,45353467.050597
260,03_small,117364,407491871.954343
260,04_medium,61702,1888728224.888734
260,05_large,15337,3117475185.638077
260,06_whale,2359,1570437798.167429
260,07_mega,2564,5917192182.172459
260,08_titan,304,9846746970.669003
270,01_micro,194489,4141693.441708
270,02_tiny,160365,65865248.899595
270,03_small,153508,513218238.242474
270,04_medium,67169,1993465450.856415
270,05_large,15000,3022889938.730394
270,06_whale,2309,1535237390.25832
270,07_mega,2447,5650692476.395012
270,08_titan,305,10108268111.249603
280,01_micro,232450,4808530.440687
280,02_tiny,191772,79195164.912668
280,03_small,185489,611089173.392065
280,04_medium,73721,2153067875.126123
280,05_large,15366,3090071271.697713
280,06_whale,2339,1558453009.799661
280,07_mega,2444,5648809945.328421
280,08_titan,307,10085332554.986294
290,01_micro,288653,5627551.119488
290,02_tiny,221297,91199823.446261
290,03_small,207199,675702756.966035
290,04_medium,77216,2234714565.955044
290,05_large,15303,3076114255.185409
290,06_whale,2293,1537357892.911734
290,07_mega,2407,5550512259.97239
290,08_titan,305,10082265570.198917
300,01_micro,345158,6535233.629511
300,02_tiny,249713,101965435.69865
300,03_small,225981,728809935.663106
300,04_medium,79697,2286800992.616975
300,05_large,15321,3077363911.548348
300,06_whale,2256,1510655372.997202
300,07_mega,2405,5516262487.909571
300,08_titan,315,10654495446.682941
310,01_micro,402722,7263126.415247
310,02_tiny,270569,110175443.084801
310,03_small,241031,774218033.688326
310,04_medium,82553,2352936874.545297
310,05_large,15264,3066331544.684772
310,06_whale,2196,1465293412.77029
310,07_mega,2378,5401445115.565138
310,08_titan,309,10599962007.415956
320,01_micro,482554,8772789.136272
320,02_tiny,296763,120506015.002144
320,03_small,260058,830797774.01978
320,04_medium,86423,2452413603.143165
320,05_large,15351,3071939218.497181
320,06_whale,2421,1655083726.496525
320,07_mega,2376,5041714654.46285
320,08_titan,299,10379819745.82468
330,01_micro,516343,8994381.86264
330,02_tiny,296189,119335746.849956
330,03_small,258430,824830678.23091
330,04_medium,85316,2397558078.409322
330,05_large,15010,2998676739.628778
330,06_whale,2186,1472940405.3912
330,07_mega,2260,4744930532.319834
330,08_titan,347,12020117530.961103
340,01_micro,535762,8957582.422955
340,02_tiny,294548,118473948.763675
340,03_small,256685,821536424.259002
340,04_medium,84699,2372282893.380862
340,05_large,14823,2961308917.882713
340,06_whale,2098,1422126950.74647
340,07_mega,2196,4636448735.007882
340,08_titan,354,12135565361.063837
350,01_micro,547671,8968721.388373
350,02_tiny,293120,117772123.956953
350,03_small,258852,831816312.765512
350,04_medium,85837,2399553383.386859
350,05_large,14786,2964686176.424561
350,06_whale,2095,1419317031.677519
350,07_mega,2173,4594379655.277733
350,08_titan,358,12107745180.169584
360,01_micro,554516,8931954.075116
360,02_tiny,292434,117093964.842187
360,03_small,259903,838758679.675222
360,04_medium,87352,2439321813.324703
360,05_large,14991,2995861742.817353
360,06_whale,2100,1421094240.02584
360,07_mega,2181,4632845402.847179
360,08_titan,359,12182492120.678427
370,01_micro,564626,8959597.213221
370,02_tiny,291034,116141225.104962
370,03_small,259075,838258025.696336
370,04_medium,87594,2438337854.244674
370,05_large,14955,2990302504.558329
370,06_whale,2074,1403031396.992863
370,07_mega,2196,4701019441.545666
370,08_titan,366,12674287948.282793
380,01_micro,571068,8981752.782176
380,02_tiny,291507,116281196.823136
380,03_small,263207,857803557.584177
380,04_medium,90508,2524124825.880538
380,05_large,15214,3046101165.122803
380,06_whale,2092,1415645824.537312
380,07_mega,2191,4723759256.863275
380,08_titan,358,12372612392.61362
390,01_micro,581507,9123461.712103
390,02_tiny,296007,117461966.98713
390,03_small,267566,876357402.742242
390,04_medium,93549,2605892078.102941
390,05_large,15567,3112518214.535926
390,06_whale,2144,1452488814.573495
390,07_mega,2221,4774042637.137205
390,08_titan,361,12574503648.56971
400,01_micro,596044,9286783.829989
400,02_tiny,293562,116492390.687739
400,03_small,267519,878652639.651189
400,04_medium,94819,2651228673.320558
400,05_large,15784,3151312023.924989
400,06_whale,2158,1467647298.417527
400,07_mega,2222,4825334101.292944
400,08_titan,345,11623859932.92328
410,01_micro,604041,9385475.708512
410,02_tiny,290740,115334170.230838
410,03_small,266000,877828386.789936
410,04_medium,95884,2680668589.453473
410,05_large,15895,3181777766.130528
410,06_whale,2187,1487308261.496727
410,07_mega,2243,4899240083.272504
410,08_titan,323,10155529168.233267
420,01_micro,616604,9491861.324467
420,02_tiny,288581,114544400.113701
420,03_small,264561,875624341.707103
420,04_medium,96085,2693314923.569998
420,05_large,15955,3182989422.052449
420,06_whale,2175,1479247517.795332
420,07_mega,2189,4812321430.355284
420,08_titan,337,9567805929.972858
430,01_micro,624612,9584286.076053
430,02_tiny,288631,114341599.003867
430,03_small,264228,876952614.566732
430,04_medium,97089,2725311450.233215
430,05_large,16087,3209884812.000942
430,06_whale,2184,1483121571.269386
430,07_mega,2259,5032542975.887928
430,08_titan,339,9234461996.507961
440,01_micro,630495,9638156.274762
440,02_tiny,291771,115266264.96793
440,03_small,265754,883447104.962118
440,04_medium,98431,2763858019.313086
440,05_large,16273,3242130059.716093
440,06_whale,2190,1485489988.325361
440,07_mega,2225,4929374776.213537
440,08_titan,328,9085663541.007154
450,01_micro,640743,9751552.812731
450,02_tiny,290943,114932494.388943
450,03_small,265282,884010220.171405
450,04_medium,99400,2796863721.342595
450,05_large,16428,3271234739.971476
450,06_whale,2228,1511415932.101489
450,07_mega,2191,4850253579.545783
450,08_titan,314,9495450687.318605
460,01_micro,658027,9928771.574656
460,02_tiny,289145,114036000.550956
460,03_small,263083,877922600.096887
460,04_medium,98696,2781321549.076619
460,05_large,16392,3262696850.087676
460,06_whale,2209,1496545905.092508
460,07_mega,2172,4843431537.15359
460,08_titan,309,9389684877.072224
470,01_micro,672657,10089578.222867
470,02_tiny,286109,112624440.035028
470,03_small,260308,869100939.965218
470,04_medium,98540,2783883580.426717
470,05_large,16420,3266703576.777341
470,06_whale,2211,1500826394.320688
470,07_mega,2137,4817009378.195032
470,08_titan,314,9500897048.883402
480,01_micro,695513,10261350.778649
480,02_tiny,278870,109178038.25035
480,03_small,250479,837990316.984301
480,04_medium,96228,2728870576.701395
480,05_large,16250,3233003288.091705
480,06_whale,2204,1489955963.571308
480,07_mega,2138,4836234549.643345
480,08_titan,317,9415816656.97631
490,01_micro,705558,10339315.274376
490,02_tiny,276395,107902141.179378
490,03_small,246952,826303968.530593
490,04_medium,95422,2716275039.088728
490,05_large,16294,3245522887.016525
490,06_whale,2215,1503146206.521378
490,07_mega,2122,4787173435.550734
490,08_titan,328,9537668825.22314
500,01_micro,712591,10386071.163233
500,02_tiny,274344,106915557.678772
