epoch_no,script_tx,key_tx,script_fee,key_fee
208,0,53708,0,10670.212208000000
209,0,36916,0,7666.3464240000000000
210,0,36267,0,7770.5322730000000000
211,0,29083,0,6517.8862280000000000
212,0,24691,0,5578.2182790000000000
213,0,29348,0,7100.5932560000000000
214,0,32374,0,7501.8337460000000000
215,0,32538,0,8110.0492740000000000
216,0,23374,0,5935.8084270000000000
217,0,20379,0,5075.6960540000000000
218,0,18439,0,4547.0684730000000000
219,0,20239,0,4970.0205160000000000
220,0,19534,0,5135.9347880000000000
221,0,16365,0,3913.5218580000000000
222,0,19298,0,4499.5401050000000000
223,0,18098,0,4423.8312860000000000
224,0,17527,0,4124.5090160000000000
225,0,17856,0,4203.3121940000000000
226,0,19122,0,4393.7208900000000000
227,0,22103,0,4962.7189670000000000
228,0,31103,0,6777.7349390000000000
229,0,23712,0,5316.8187240000000000
230,0,31432,0,7168.6552030000000000
231,0,48347,0,11110.141677000000
232,0,45940,0,10681.640345000000
233,0,35641,0,8173.0779460000000000
234,0,33953,0,8006.0693820000000000
235,0,34170,0,8115.5208230000000000
236,0,32737,0,7838.0755670000000000
237,0,38103,0,8966.7916300000000000
238,0,49613,0,11693.879197000000
239,0,59712,0,14161.113125000000
240,0,85930,0,20069.060896000000
241,0,64234,0,14690.681083000000
242,0,74057,0,16905.060417000000
243,0,58682,0,13368.193376000000
244,0,59591,0,13516.792921000000
245,0,88703,0,20044.918510000000
246,0,142367,0,31528.825577000000
247,0,176490,0,38567.858687000000
248,0,151466,0,32686.545278000000
249,0,185379,0,40504.763143000000
250,0,192598,0,41831.556274000000
251,0,157658,0,34501.532516000000
252,0,139593,0,30758.641553000000
253,0,145874,0,32480.018212000000
254,0,195957,0,43609.040032000000
255,0,168880,0,36360.919507000000
256,0,143164,0,30633.912084000000
257,0,183620,0,39170.561174000000
258,0,172429,0,37979.106429000000
259,0,201504,0,43782.816741000000
260,0,216117,0,46907.924914000000
261,0,194471,0,41390.363617000000
262,0,178588,0,37980.832313000000
263,0,227361,0,48870.395213000000
264,0,269945,0,57777.594620000000
265,0,309042,0,65968.954839000000
266,0,317020,0,68417.656270000000
267,0,243673,0,52698.878516000000
268,0,208164,0,44159.912128000000
269,0,197254,0,41817.190370000000
270,0,174334,0,36489.177917000000
271,0,145244,0,30802.442909000000
272,0,135373,0,29593.210504000000
273,0,150752,0,32570.360903000000
274,0,133041,0,28650.900551000000
275,0,136339,0,29088.470734000000
276,0,144737,0,30139.500685000000
277,0,135191,0,28508.156761000000
278,0,133567,0,28124.230492000000
279,0,131829,0,27651.228864000000
280,0,137225,0,31570.674668000000
281,0,141713,0,30198.103953000000
282,0,157622,0,33861.288926000000
283,0,224809,0,48375.612297000000
284,0,243991,0,53114.389397000000
285,0,325005,0,69484.110281000000
286,0,363721,0,80116.415019000000
287,0,401343,0,86536.781869000000
288,0,475383,0,99992.854778000000
289,0,501443,0,105082.493097000000
290,369,422787,277.5768810000000000,87915.675216000000
291,184,415215,135.0444330000000000,88373.442557000000
292,170,448604,128.9718410000000000,94446.335278000000
293,35,449369,21.7173850000000000,91988.497556000000
294,30,411724,19.3019880000000000,85502.089584000000
295,532,365744,536.1532540000000000,77759.213770000000
296,1411,354521,1363.1470330000000000,75217.225408000000
297,1696,354296,1538.8872720000000000,76843.822480000000
298,1109,466007,1080.2168230000000000,97509.167642000000
299,1379,588260,1103.8156710000000000,123237.952037000000
300,2572,388727,2017.6569340000000000,86188.538306000000
301,2227,448930,1711.1542170000000000,95325.799686000000
302,1926,1032005,1500.9198430000000000,200778.577681000000
303,2181,486054,1881.6926620000000000,101514.163756000000
304,2880,1564094,2667.9142860000000000,305625.916536000000
305,4921,764298,4033.7741660000000000,152230.996723000000
306,5924,525369,5085.7543790000000000,109353.942063000000
307,7709,596650,6957.8224440000000000,120689.593011000000
308,19499,407900,18763.310623000000,85048.231466000000
309,26474,526914,24395.030517000000,110389.645279000000
310,22216,453702,19906.852325000000,96318.638205000000
311,18425,434227,16907.354851000000,90734.912114000000
312,41955,459428,38011.941204000000,97510.488174000000
313,63782,579980,61325.445790000000,121252.195237000000
314,74825,568807,71687.410408000000,120440.248169000000
315,107086,799213,102860.635669000000,167010.187627000000
316,127162,714232,102264.938440000000,150498.223711000000
317,119486,636811,115946.217488000000,136177.334614000000
318,117266,537932,117520.922031000000,116349.254778000000
