epoch_no,tx_count,total_fee_ada
208,53708,10670.212208000000
209,36916,7666.3464240000000000
210,36267,7770.5322730000000000
211,29083,6517.8862280000000000
212,24691,5578.2182790000000000
213,29348,7100.5932560000000000
214,32374,7501.8337460000000000
215,32538,8110.0492740000000000
216,23374,5935.8084270000000000
217,20379,5075.6960540000000000
218,18439,4547.0684730000000000
219,20239,4970.0205160000000000
220,19534,5135.9347880000000000
221,16365,3913.5218580000000000
222,19298,4499.5401050000000000
223,18098,4423.8312860000000000
224,17527,4124.5090160000000000
225,17856,4203.3121940000000000
226,19122,4393.7208900000000000
227,22103,4962.7189670000000000
228,31103,6777.7349390000000000
229,23712,5316.8187240000000000
230,31432,7168.6552030000000000
231,48347,11110.141677000000
232,45940,10681.640345000000
233,35641,8173.0779460000000000
234,33953,8006.0693820000000000
235,34170,8115.5208230000000000
236,32737,7838.0755670000000000
237,38103,8966.7916300000000000
238,49613,11693.879197000000
239,59712,14161.113125000000
240,85930,20069.060896000000
241,64234,14690.681083000000
242,74057,16905.060417000000
243,58682,13368.193376000000
244,59591,13516.792921000000
245,88703,20044.918510000000
246,142367,31528.825577000000
247,176490,38567.858687000000
248,151466,32686.545278000000
249,185379,40504.763143000000
250,192598,41831.556274000000
251,157658,34501.532516000000
252,139593,30758.641553000000
253,145874,32480.018212000000
254,195957,43609.040032000000
255,168880,36360.919507000000
256,143164,30633.912084000000
257,183620,39170.561174000000
258,172429,37979.106429000000
259,201504,43782.816741000000
260,216117,46907.924914000000
261,194471,41390.363617000000
262,178588,37980.832313000000
263,227361,48870.395213000000
264,269945,57777.594620000000
265,309042,65968.954839000000
266,317020,68417.656270000000
267,243673,52698.878516000000
268,208164,44159.912128000000
269,197254,41817.190370000000
270,174334,36489.177917000000
271,145244,30802.442909000000
272,135373,29593.210504000000
273,150752,32570.360903000000
274,133041,28650.900551000000
275,136339,29088.470734000000
276,144737,30139.500685000000
277,135191,28508.156761000000
278,133567,28124.230492000000
279,131829,27651.228864000000
280,137225,31570.674668000000
281,141713,30198.103953000000
282,157622,33861.288926000000
283,224809,48375.612297000000
284,243991,53114.389397000000
285,325005,69484.110281000000
286,363721,80116.415019000000
287,401343,86536.781869000000
288,475383,99992.854778000000
289,501443,105082.493097000000
290,423156,88193.252097000000
291,415399,88508.486990000000
292,448774,94575.307119000000
293,449404,92010.214941000000
294,411754,85521.391572000000
295,366276,78295.367024000000
296,355932,76580.372441000000
297,355992,78382.709752000000
298,467116,98589.384465000000
299,589639,124341.767708000000
300,391299,88206.195240000000
301,451157,97036.953903000000
302,1033931,202279.497524000000
303,488235,103395.856418000000
304,1566974,308293.830822000000
305,769219,156264.770889000000
306,531293,114439.696442000000
307,604359,127647.415455000000
308,427399,103811.542089000000
309,553388,134784.675796000000
310,475918,116225.490530000000
311,452652,107642.266965000000
312,501383,135522.429378000000
313,643762,182577.641027000000
314,643632,192127.658577000000
315,906299,269870.823296000000
316,841394,252763.162151000000
317,756297,252123.552102000000
318,655198,233870.176809000000
319,650534,242157.748335000000
320,601903,233553.475002000000
321,643509,243949.058349000000
322,627687,241654.937960000000
323,559393,226099.862852000000
324,557373,218116.421930000000
325,460050,197003.983114000000
326,592413,226748.921164000000
327,568933,229617.380821000000
328,550807,227208.702587000000
329,546489,232457.560903000000
330,499577,215991.479619000000
331,450346,176480.861305000000
332,584705,211816.288426000000
333,573296,209376.078021000000
334,515610,192921.162356000000
335,584346,205828.054439000000
336,529384,192024.791502000000
337,478517,173248.817607000000
338,542058,172421.937813000000
339,488198,168281.312815000000
340,435077,160002.862256000000
341,477842,169007.597834000000
342,470464,163696.811862000000
343,463239,162340.782180000000
344,394771,138919.762103000000
345,339988,121086.316506000000
346,319881,116216.272055000000
347,346770,122720.682635000000
348,335679,123792.277750000000
349,358347,125541.678700000000
