epoch_no,total_tx,script_tx,simple_tx,script_pct,total_fee_ada,script_fee_ada,script_fee_pct
208,53708,0,53708,0.00,10670.212208,0.000000,0.00
209,36916,0,36916,0.00,7666.346424,0.000000,0.00
210,36267,0,36267,0.00,7770.532273,0.000000,0.00
211,29083,0,29083,0.00,6517.886228,0.000000,0.00
212,24691,0,24691,0.00,5578.218279,0.000000,0.00
213,29348,0,29348,0.00,7100.593256,0.000000,0.00
214,32374,0,32374,0.00,7501.833746,0.000000,0.00
215,32538,0,32538,0.00,8110.049274,0.000000,0.00
216,23374,0,23374,0.00,5935.808427,0.000000,0.00
217,20379,0,20379,0.00,5075.696054,0.000000,0.00
218,18439,0,18439,0.00,4547.068473,0.000000,0.00
219,20239,0,20239,0.00,4970.020516,0.000000,0.00
220,19534,0,19534,0.00,5135.934788,0.000000,0.00
221,16365,0,16365,0.00,3913.521858,0.000000,0.00
222,19298,0,19298,0.00,4499.540105,0.000000,0.00
223,18098,0,18098,0.00,4423.831286,0.000000,0.00
224,17527,0,17527,0.00,4124.509016,0.000000,0.00
225,17856,0,17856,0.00,4203.312194,0.000000,0.00
226,19122,0,19122,0.00,4393.720890,0.000000,0.00
227,22103,0,22103,0.00,4962.718967,0.000000,0.00
228,31103,0,31103,0.00,6777.734939,0.000000,0.00
229,23712,0,23712,0.00,5316.818724,0.000000,0.00
230,31432,0,31432,0.00,7168.655203,0.000000,0.00
231,48347,0,48347,0.00,11110.141677,0.000000,0.00
232,45940,0,45940,0.00,10681.640345,0.000000,0.00
233,35641,0,35641,0.00,8173.077946,0.000000,0.00
234,33953,0,33953,0.00,8006.069382,0.000000,0.00
235,34170,0,34170,0.00,8115.520823,0.000000,0.00
236,32737,0,32737,0.00,7838.075567,0.000000,0.00
237,38103,0,38103,0.00,8966.791630,0.000000,0.00
238,49613,0,49613,0.00,11693.879197,0.000000,0.00
239,59712,0,59712,0.00,14161.113125,0.000000,0.00
240,85930,0,85930,0.00,20069.060896,0.000000,0.00
241,64234,0,64234,0.00,14690.681083,0.000000,0.00
242,74057,0,74057,0.00,16905.060417,0.000000,0.00
243,58682,0,58682,0.00,13368.193376,0.000000,0.00
244,59591,0,59591,0.00,13516.792921,0.000000,0.00
245,88703,0,88703,0.00,20044.918510,0.000000,0.00
246,142367,0,142367,0.00,31528.825577,0.000000,0.00
247,176490,0,176490,0.00,38567.858687,0.000000,0.00
248,151466,0,151466,0.00,32686.545278,0.000000,0.00
249,185379,0,185379,0.00,40504.763143,0.000000,0.00
250,192598,0,192598,0.00,41831.556274,0.000000,0.00
251,157658,0,157658,0.00,34501.532516,0.000000,0.00
252,139593,0,139593,0.00,30758.641553,0.000000,0.00
253,145874,0,145874,0.00,32480.018212,0.000000,0.00
254,195957,0,195957,0.00,43609.040032,0.000000,0.00
255,168880,0,168880,0.00,36360.919507,0.000000,0.00
256,143164,0,143164,0.00,30633.912084,0.000000,0.00
257,183620,0,183620,0.00,39170.561174,0.000000,0.00
258,172429,0,172429,0.00,37979.106429,0.000000,0.00
259,201504,0,201504,0.00,43782.816741,0.000000,0.00
260,216117,0,216117,0.00,46907.924914,0.000000,0.00
261,194471,0,194471,0.00,41390.363617,0.000000,0.00
262,178588,0,178588,0.00,37980.832313,0.000000,0.00
263,227361,0,227361,0.00,48870.395213,0.000000,0.00
264,269945,0,269945,0.00,57777.594620,0.000000,0.00
265,309042,0,309042,0.00,65968.954839,0.000000,0.00
266,317020,0,317020,0.00,68417.656270,0.000000,0.00
267,243673,0,243673,0.00,52698.878516,0.000000,0.00
268,208164,0,208164,0.00,44159.912128,0.000000,0.00
269,197254,0,197254,0.00,41817.190370,0.000000,0.00
270,174334,0,174334,0.00,36489.177917,0.000000,0.00
271,145244,0,145244,0.00,30802.442909,0.000000,0.00
272,135373,0,135373,0.00,29593.210504,0.000000,0.00
273,150752,0,150752,0.00,32570.360903,0.000000,0.00
274,133041,0,133041,0.00,28650.900551,0.000000,0.00
275,136339,0,136339,0.00,29088.470734,0.000000,0.00
276,144737,0,144737,0.00,30139.500685,0.000000,0.00
277,135191,0,135191,0.00,28508.156761,0.000000,0.00
278,133567,0,133567,0.00,28124.230492,0.000000,0.00
279,131829,0,131829,0.00,27651.228864,0.000000,0.00
280,137225,0,137225,0.00,31570.674668,0.000000,0.00
281,141713,0,141713,0.00,30198.103953,0.000000,0.00
282,157622,0,157622,0.00,33861.288926,0.000000,0.00
283,224809,0,224809,0.00,48375.612297,0.000000,0.00
284,243991,0,243991,0.00,53114.389397,0.000000,0.00
285,325005,0,325005,0.00,69484.110281,0.000000,0.00
286,363721,0,363721,0.00,80116.415019,0.000000,0.00
287,401343,0,401343,0.00,86536.781869,0.000000,0.00
288,475383,0,475383,0.00,99992.854778,0.000000,0.00
289,501443,0,501443,0.00,105082.493097,0.000000,0.00
290,423156,369,422787,0.09,88193.252097,277.576881,0.31
291,415399,184,415215,0.04,88508.486990,135.044433,0.15
292,448774,170,448604,0.04,94575.307119,128.971841,0.14
293,449404,35,449369,0.01,92010.214941,21.717385,0.02
294,411754,30,411724,0.01,85521.391572,19.301988,0.02
295,366276,532,365744,0.15,78295.367024,536.153254,0.68
296,355932,1411,354521,0.40,76580.372441,1363.147033,1.78
297,355992,1696,354296,0.48,78382.709752,1538.887272,1.96
298,467116,1109,466007,0.24,98589.384465,1080.216823,1.10
299,589639,1379,588260,0.23,124341.767708,1103.815671,0.89
300,391299,2572,388727,0.66,88206.195240,2017.656934,2.29
301,451157,2227,448930,0.49,97036.953903,1711.154217,1.76
302,1033931,1926,1032005,0.19,202279.497524,1500.919843,0.74
303,488235,2181,486054,0.45,103395.856418,1881.692662,1.82
304,1566974,2880,1564094,0.18,308293.830822,2667.914286,0.87
305,769219,4921,764298,0.64,156264.770889,4033.774166,2.58
306,531293,5924,525369,1.12,114439.696442,5085.754379,4.44
307,604359,7709,596650,1.28,127647.415455,6957.822444,5.45
308,427399,19499,407900,4.56,103811.542089,18763.310623,18.07
309,553388,26474,526914,4.78,134784.675796,24395.030517,18.10
310,475918,22216,453702,4.67,116225.490530,19906.852325,17.13
311,452652,18425,434227,4.07,107642.266965,16907.354851,15.71
312,501383,41955,459428,8.37,135522.429378,38011.941204,28.05
313,643762,63782,579980,9.91,182577.641027,61325.445790,33.59
314,643632,74825,568807,11.63,192127.658577,71687.410408,37.31
315,906299,107086,799213,11.82,269870.823296,102860.635669,38.11
316,841394,127162,714232,15.11,252763.162151,102264.938440,40.46
317,756297,119486,636811,15.80,252123.552102,115946.217488,45.99
318,655198,117266,537932,17.90,233870.176809,117520.922031,50.25
319,650534,117971,532563,18.13,242157.748335,127350.424378,52.59
320,601903,111040,490863,18.45,233553.475002,126501.087835,54.16
321,643509,108683,534826,16.89,243949.058349,128607.786402,52.72
322,627687,107164,520523,17.07,241654.937960,129798.852118,53.71
323,559393,102916,456477,18.40,226099.862852,126408.495515,55.91
324,557373,96129,461244,17.25,218116.421930,118243.972190,54.21
325,460050,98371,361679,21.38,197003.983114,115858.876361,58.81
326,592413,101190,491223,17.08,226748.921164,117913.802191,52.00
327,568933,125046,443887,21.98,229617.380821,130921.872540,57.02
