pool_id_bech32,pool_class,eff_entity_id,display_name,key_deleg,script_deleg,unknown_deleg,key_stake_ada,script_stake_ada,unknown_stake_ada
pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,hollow,pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,,862,0,0,49532909.93,0.0,0.0
pool1qzlwlpcsgflr9z3f24fg836tyq45p0kf5cnrp20s8v0psp6tdkx,hollow,WESTBERG,BCSH,825,0,0,21129187.1,0.0,0.0
pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,hollow,pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,,690,0,0,7432829.08,0.0,0.0
pool1e556526sqwugxwnmeumt9lhj5jukklg8vv3ynk75xt9vs7adr5y,balanced,pool1e556526sqwugxwnmeumt9lhj5jukklg8vv3ynk75xt9vs7adr5y,,319,0,0,3610993.28,0.0,0.0
pool1jhzf2mm6zdlhl6w89uhgx8nq8p6ykcc86qq58vjy0ejyxrrksfj,hollow,pool1jhzf2mm6zdlhl6w89uhgx8nq8p6ykcc86qq58vjy0ejyxrrksfj,,655,0,0,22430030.74,0.0,0.0
pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,balanced,pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,,479,3,0,7338264.45,52999.64,0.0
pool1fh4sh2telea0tfdy39h0drx6uq566yt9gf24edpz7335sclx39z,hollow,pool1fh4sh2telea0tfdy39h0drx6uq566yt9gf24edpz7335sclx39z,,971,2,0,3980159.63,52666.07,0.0
pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,hollow,5BINARIES,,174,1,0,5741269.97,2.01,0.0
pool1gpz25s2aasmqnh9tg8a2rxmyxuvmj5s779htxk295e9ajnzjflc,hollow,pool1gpz25s2aasmqnh9tg8a2rxmyxuvmj5s779htxk295e9ajnzjflc,,134,0,0,1753457.48,0.0,0.0
pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,hollow,WESTBERG,BCSH,1083,0,0,20871317.16,0.0,0.0
pool1m83drqwlugdt9jn7jkz8hx3pne53acfkd539d9cj8yr92dr4k9y,hollow,pool1m83drqwlugdt9jn7jkz8hx3pne53acfkd539d9cj8yr92dr4k9y,,122,0,0,1689331.98,0.0,0.0
pool1qqq6qqa0hpzvumv5p87ynczfmdj557xuwlc3289ke42g72z7f74,hollow,pool1qqq6qqa0hpzvumv5p87ynczfmdj557xuwlc3289ke42g72z7f74,,1566,0,0,12870794.69,0.0,0.0
pool1df9rj4n0t3zlpak7xnh4ue6t3yh9zlw7a02w4l8askp77up25rt,hollow,pool1df9rj4n0t3zlpak7xnh4ue6t3yh9zlw7a02w4l8askp77up25rt,,1025,0,0,3202152.05,0.0,0.0
pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r,hollow,pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r,,1057,0,0,6010400.43,0.0,0.0
pool1wz27a9pvd2jat98s375lxaaj7qxy405km4vzp83wn5vtwp59kvh,hollow,pool1wz27a9pvd2jat98s375lxaaj7qxy405km4vzp83wn5vtwp59kvh,,1916,0,0,5637662.68,0.0,0.0
pool190a9js7lk9lvmrngre7w268z9tz9xs9yz77audvw8ag4jerfdhx,hollow,pool190a9js7lk9lvmrngre7w268z9tz9xs9yz77audvw8ag4jerfdhx,,141,0,0,2022000.06,0.0,0.0
pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962,hollow,pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962,,1931,1,0,13847369.29,173.99,0.0
pool1vxz0deezj5c2950e7arpzfqxzq8zd9kawsullrzjw5rsq0yhxgr,hollow,YUTA,YUTA,219,0,0,31200182.09,0.0,0.0
pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0,hollow,ELITE,ELITE,2345,0,0,29806457.22,0.0,0.0
pool1smy2r8jdvgna5ykhe8rrch7h4qalyfafyzyh0rmanmq0jxptww7,hollow,YUTA,YUTA,209,0,0,23440592.85,0.0,0.0
pool1jk25l2pejpdzq8vdjlxrr05th49v9tgd78fqrtxvuw3rumpfc6t,hollow,pool1jk25l2pejpdzq8vdjlxrr05th49v9tgd78fqrtxvuw3rumpfc6t,,2815,0,0,12598317.11,0.0,0.0
pool14mm59ntjqzphjr6chrww639cdr3yjce4qcwzc5jkk38y22u7uc6,hollow,YUTA,YUTA,135,0,0,33440877.01,0.0,0.0
pool1mcvq2z34f9cfdmkd97famsh20ekqtndw246ny5e8ug3mxfdf4zq,balanced,pool1mcvq2z34f9cfdmkd97famsh20ekqtndw246ny5e8ug3mxfdf4zq,,84,0,0,1828001.07,0.0,0.0
pool1spus7k8cy5qcs82xhw60dwwk2d4vrfs0m5vr2zst04gtq700gjn,hollow,YUTA,YUTA,111,0,0,10432615.51,0.0,0.0
pool1jx4ss2zjage3cw0wht3450328y82yeprmq4fr3e2qtac2rhezkv,hollow,YUTA,YUTA,305,0,0,21108261.45,0.0,0.0
pool19uynx6nxcdksmaqdcshjg487fap3rs3axyhrdqa7gdqgzgxss4y,hollow,YUTA,YUTA,98,0,0,3530965.51,0.0,0.0
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,hollow,pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,,1484,1,0,56495445.95,31.31,0.0
pool1xrrrr8gldqz8pjxj6j8c638a9py04xuv66kfgn2dlsx9g52te0t,hollow,YUTA,YUTA,101,0,0,12680180.06,0.0,0.0
pool1x2h98z6e5xvrg5zw3v3dlu8hqdtj6lhp6r3w5ge7rvcqcx3pafq,hollow,YUTA,YUTA,52,0,0,11551676.88,0.0,0.0
pool1hwlghkwnjsjk8370qt3dvp23d7urwm36f95fmxcz3np2kghknj9,hollow,pool1hwlghkwnjsjk8370qt3dvp23d7urwm36f95fmxcz3np2kghknj9,,349,0,0,6420844.73,0.0,0.0
pool1k0xrqp03mn9u3q3sadndd6vu9udl5v38xpzyw0shm8sskuxw2av,hollow,YUTA,YUTA,156,0,0,36842032.71,0.0,0.0
pool1q66d2n39uvln4hazyzv8fyq977mpqus78sjd2369qfn7cptdeyh,hollow,YUTA,YUTA,52,0,0,6417032.21,0.0,0.0
pool1llxh8l0h8g9ghz3nrzh7ndvev4x43vnk72nsemzm795vxqs6dp8,hollow,YUTA,YUTA,61,0,0,10165821.58,0.0,0.0
pool19ejln2jcpg5dphc8m5nh8sya49sycsqj0v2cjxw6nku966cc8nu,hollow,YUTA,YUTA,73,0,0,14531673.25,0.0,0.0
pool1pvu2zdexh8wr4ggmuz90jvqrua6an43qj9m9urs785p8kwjzqwl,hollow,YUTA,YUTA,41,0,0,37689648.92,0.0,0.0
pool1etfar35l4tf6vam3gvqf5dnaq7levz32vgw4p00jzk7q7twg2te,hollow,YUTA,YUTA,170,0,0,22647235.74,0.0,0.0
pool1a600v0jd2z3yajazd80phln3exekumm7g56d9yvlrh6vx8dx2fc,hollow,YUTA,YUTA,68,0,0,4958388.77,0.0,0.0
pool1jyutduy73e5u9877uns3k9rm0tf4r24j8lrn4xtkjpl3q5sn5mw,hollow,pool1jyutduy73e5u9877uns3k9rm0tf4r24j8lrn4xtkjpl3q5sn5mw,,457,0,0,2687986.39,0.0,0.0
pool1gwnu7f7qgaruxph8gn3u28qphvquvnj63elyd3r0nndacj9g9pa,hollow,YUTA,YUTA,133,0,0,23579608.62,0.0,0.0
pool1supp67ypelmgzuzqqvarc6czgmg3ggwpnrnfr90xpfcqqf8h05t,hollow,ONE_PERCENT,1PCT,648,0,0,4085341.14,0.0,0.0
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,hollow,ATADA,ATADA,3196,0,0,69224004.18,0.0,0.0
pool1h0524mtazrjnzqh5e4u060jsfk8lpsqqjfpa5gygjwuhqu34wvt,hollow,YUTA,YUTA,155,0,0,25468774.43,0.0,0.0
pool1hsq2jrulgj97tna2femdhsfn2wurkkwt8uk9uvs42h9zs0a783p,hollow,YUTA,YUTA,107,0,0,23836683.22,0.0,0.0
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,hollow,ONE_PERCENT,1PCT,1933,0,0,74914575.72,0.0,0.0
pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9,hollow,EMURGO,Emurgo,3131,0,0,14584965.41,0.0,0.0
pool1s3z5qsg75dar26ykyzcz2u8wc2swgq7pyp7f9sdh5n06qh3jhq2,hollow,ONE_PERCENT,1PCT,379,0,0,6034436.87,0.0,0.0
pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,hollow,ONE_PERCENT,1PCT,1088,0,0,49929950.38,0.0,0.0
pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,hollow,ONE_PERCENT,1PCT,426,0,0,15682140.15,0.0,0.0
pool1vnsfv2qpt5gxte9prupjey8kw7ap7t6c8lc02ks4s3gtqplhgd3,hollow,ONE_PERCENT,1PCT,472,0,0,12178706.06,0.0,0.0
pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd,hollow,ONE_PERCENT,1PCT,507,0,0,7319853.52,0.0,0.0
pool1py2uxkvuj926h42s40wxl26dh0ggaq882v4m0hkd99m86vzmwnz,hollow,pool1py2uxkvuj926h42s40wxl26dh0ggaq882v4m0hkd99m86vzmwnz,,43,0,0,2453460.61,0.0,0.0
pool1ua0lx5ap5tj9f5l7tyjflp766ca5yu93djh5hqvm4e0kjgw5k7v,hollow,ONE_PERCENT,1PCT,426,0,0,3479917.3,0.0,0.0
pool1uq8l234306m76unyz8kuwnkvmtvazaks6vuvyx3a3khngavvcw0,balanced,pool1uq8l234306m76unyz8kuwnkvmtvazaks6vuvyx3a3khngavvcw0,,896,0,0,5079302.13,0.0,0.0
pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,hollow,ONE_PERCENT,1PCT,571,1,0,27256970.06,1.71,0.0
pool1qvvn2l690zm3v2p0f3vd66ly6cfs2wjqx34zpqcx5pwsx3eprtp,hollow,VIPER,VIPER,1105,0,0,20066310.86,0.0,0.0
pool1ddgcpgjcyawxw95se9x8qnc8gxgwjr4fqrk4vk6v9x47s0ggpjp,hollow,ONE_PERCENT,1PCT,589,0,0,5074508.04,0.0,0.0
pool13846y7q7tng3endxhet9qdcz5w0fjs09ytcye4dm5g54wmyqeqr,hollow,pool13846y7q7tng3endxhet9qdcz5w0fjs09ytcye4dm5g54wmyqeqr,,950,2,0,22695461.89,7141.77,0.0
pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu,hollow,ONE_PERCENT,1PCT,358,0,0,16379013.36,0.0,0.0
pool18v9r8afalh50l4lstct2awdc3zspnvurcs7t45nv29uc2mnxc6c,hollow,pool18v9r8afalh50l4lstct2awdc3zspnvurcs7t45nv29uc2mnxc6c,,1001,0,0,6734148.39,0.0,0.0
pool1cc76kmtcpf6vht32ya5ke9er74dnpy4jh5qpy4klqwp87ygdsu6,hollow,pool1cc76kmtcpf6vht32ya5ke9er74dnpy4jh5qpy4klqwp87ygdsu6,,1445,0,0,7590576.73,0.0,0.0
pool1qqqq4md2rfdt75qvh3x9cgmkrgkl74ctcj3fnxpu3ylcudl22ex,hollow,pool1qqqq4md2rfdt75qvh3x9cgmkrgkl74ctcj3fnxpu3ylcudl22ex,,1166,0,0,5406758.49,0.0,0.0
pool1qqq9tqyj69j9kygpxza3h82ynh8d0xlueucnu2yqum8nse8hj7y,hollow,pool1qqq9tqyj69j9kygpxza3h82ynh8d0xlueucnu2yqum8nse8hj7y,,334,0,0,2207645.47,0.0,0.0
pool166dkk9kx5y6ug9tnvh0dnvxhwt2yca3g5pd5jaqa8t39cgyqqlr,hollow,VIPER,VIPER,3418,0,0,49033350.08,0.0,0.0
