entity_id,display_name,pool_count,is_mpo,margin_values,n_distinct_margins,fixed_cost_values,n_distinct_costs,stake_weighted_margin,total_active_stake_ada,total_rewards_ada,total_operator_take_ada,total_margin_take_ada,total_fixed_cost_ada,total_delegator_pot_ada
COINBASE_BISON,Coinbase / bison.run,41,True,0.0300|0.0400|0.0500,3,340,1,0.047484,2444178497.07,735759.65,48198.86,34258.86,13940.0,687560.79
KILN,Kiln,10,True,0.0300|0.0500|0.1000,3,340,1,0.047753,750466470.02,218509.55,13052.88,9652.88,3400.0,205456.67
FIGMENT,Figment,20,True,0.0200|0.0600|0.1000,3,170,1,0.067645,699508381.78,212612.66,16926.59,13526.59,3400.0,195686.06
BINANCE,Binance,17,True,0.0300|0.0600|0.1000,3,345,1,0.066426,592305953.13,186951.97,18184.78,12319.78,5865.0,168767.19
EVERSTAKE,Everstake,12,True,0.0000|0.0400,2,170|400,2,0.0318,562360618.57,168941.35,9750.24,5410.24,4340.0,159191.11
BLOCKDAEMON,Blockdaemon,12,True,0.0300|0.0600|0.0800|0.1000,4,170|340,2,0.052858,536566962.96,163778.85,11755.35,8695.35,3060.0,152023.5
ETORO,eToro,11,True,1.0000,1,340,1,1.0,506369778.64,157202.55,157202.55,153462.55,3740.0,0.0
YUTA,YUTA,25,True,0.0489|0.0500|0.9999|1.0000,4,340|35000|999999,3,0.122937,466862592.2,152216.43,25435.19,6654.85,18780.34,126781.25
NORTH,NORTH,5,True,0.0000,1,340,1,0.0,361724384.8,112022.54,1700.0,0.0,1700.0,110322.54
WAVE,Wave / Wavepool,11,True,0.0100|0.0200|0.0216|0.0400|0.0500|1.0000,6,340,1,0.0687,355501039.45,129935.37,11145.0,7405.0,3740.0,118790.37
NUFI,NuFi,17,True,0.0300,1,340,1,0.03,313904092.49,94554.26,8443.23,2663.23,5780.0,86111.04
ONE_PERCENT,1PCT,18,True,0.0100,1,340,1,0.01,267830297.66,78303.35,6788.8,722.37,6066.43,71514.55
EMURGO,Emurgo,8,True,0.0150|0.0400,2,170|340,2,0.015358,258825047.4,84114.29,2811.48,1281.48,1530.0,81302.8
ADV,ADV,4,True,0.0000,1,340,1,0.0,257611037.82,82743.79,1360.0,0.0,1360.0,81383.79
SECUR,SECUR,5,True,0.0000|0.0300,2,170,1,0.021952,233367182.43,79848.04,2609.81,1759.81,850.0,77238.23
CRDNS,,8,True,0.0100|0.0189|0.0200|0.0400,4,340,1,0.018047,230008396.18,88960.58,4259.12,1539.12,2720.0,84701.47
OCEAN,AdaOcean,7,True,0.0100|0.0390,2,340|500,2,0.038668,192865026.9,61689.04,5589.14,2249.14,3340.0,56099.9
CCV,CCV,5,True,0.0300,1,340,1,0.03,177381884.93,58230.68,3395.92,1695.92,1700.0,54834.76
DIGI,DIGI,6,True,0.0200,1,170|250|340,3,0.02,171697454.23,47187.92,2688.16,908.16,1780.0,44499.77
EDEN,EDEN,5,True,0.0100,1,340,1,0.01,170641183.95,46971.48,2152.71,452.71,1700.0,44818.77
MS,MS4,4,True,0.0250,1,340,1,0.025,160971817.22,45232.38,2456.81,1096.81,1360.0,42775.57
BLOOM,Bloom,6,True,0.0400,1,340,1,0.04,148658705.43,42929.63,3675.59,1635.59,2040.0,39254.04
DAPP,DAPP,5,True,0.0200|0.0250|0.0550,3,240|340,2,0.022931,141245225.47,43261.87,2565.62,965.62,1600.0,40696.25
STAKEBOWL,StakeBowl,2,True,1.0000,1,340,1,1.0,140075642.5,51983.31,51983.31,51303.31,680.0,0.0
TITAN,TITAN,2,True,0.0050|0.0100,2,170,1,0.007584,135220201.31,24427.46,503.36,163.36,340.0,23924.09
ATADA,ATADA,2,True,0.0100,1,340,1,0.01,128489663.85,40579.96,1079.0,399.0,680.0,39500.96
BIGLAZYCAT,BigLazyCat,3,True,0.0000|0.0100,2,170|340,2,0.009121,125878386.43,40077.11,1203.26,353.26,850.0,38873.85
AICHI,AICHI,2,True,0.0050,1,340,1,0.005,124790252.22,35086.75,852.03,172.03,680.0,34234.71
NEDS,NEDS1,4,True,0.0150,1,170,1,0.015,118276632.36,41689.49,1295.14,615.14,680.0,40394.35
SIPO,SIPO,3,True,0.0250,1,340,1,0.025,114991300.93,41970.61,2043.77,1023.77,1020.0,39926.84
5BINARIES,,6,True,0.0490|0.9900,2,340,1,0.940133,107936085.83,33823.37,30875.95,28835.95,2040.0,2947.42
SPS,SPS,5,True,0.0500,1,340,1,0.05,104047840.31,34447.45,3337.37,1637.37,1700.0,31110.07
P2P,P2P,5,True,0.0000|0.0200|0.0350|0.0400,4,170|340,2,0.033465,95740717.91,32844.16,2395.23,1035.23,1360.0,30448.92
AUTOSTAKE,AutoStake,2,True,0.0000,1,170,1,0.0,94700555.39,29424.91,340.0,0.0,340.0,29084.91
SPIRE,Spire,3,True,0.0000|0.0100|1.0000,3,340,1,0.096994,93443287.65,28895.86,1864.41,844.41,1020.0,27031.45
PILOT,PILOT,2,True,0.0000,1,340,1,0.0,92704602.54,27654.89,680.0,0.0,680.0,26974.89
PAUL,PAUL1,2,True,0.0300,1,340,1,0.03,91014699.24,30071.45,1561.74,881.74,680.0,28509.71
FIMI,FIDA,5,True,0.0000|0.0100,2,340,1,0.007023,84997624.65,23801.72,1846.4,146.4,1700.0,21955.32
WEP,ISP,6,True,0.0080|0.0500|0.1000|0.9999,4,340|350|20000,3,0.378928,84548850.98,28812.46,14559.45,690.1,13869.35,14253.01
ACL,ACL,3,True,0.0100,1,340,1,0.01,84264745.42,25694.73,1266.75,246.75,1020.0,24427.99
COOL,COOL,6,True,0.0150|0.0200,2,170,1,0.019557,81671243.16,26001.72,1507.24,487.24,1020.0,24494.48
CAFE,CAFE,3,True,0.0000|0.0100,2,340,1,0.008497,81447131.38,26000.44,1224.81,231.54,993.27,24775.63
JOY,HOPE,8,True,0.0000|0.0100|0.0480,3,170|340,2,0.034172,79790651.4,23179.3,2733.58,693.58,2040.0,20445.72
ITC,FREE,3,True,0.0399,1,340,1,0.0399,78445145.79,23787.1,1928.41,908.41,1020.0,21858.69
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,,1,False,0.0000,1,170,1,0.0,76211487.09,24394.75,170.0,0.0,170.0,24224.75
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,,1,False,0.0000,1,170,1,0.0,75699278.18,20707.73,170.0,0.0,170.0,20537.73
SASA,SASA,2,True,0.0300|0.0350,2,340,1,0.033378,74589205.58,21275.28,1366.61,686.61,680.0,19908.68
BMTXS_GITHUB_IO,RETIR,1,True,0.0000,1,170,1,0.0,73261882.03,24131.54,170.0,0.0,170.0,23961.54
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,,1,False,0.0000,1,340,1,0.0,72460103.68,24159.74,340.0,0.0,340.0,23819.74
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,,1,False,0.0000,1,170,1,0.0,71059965.78,25398.3,170.0,0.0,170.0,25228.3
VIPER,VIPER,2,True,0.0000|0.0090,2,170,1,0.006409,70062232.87,23206.74,479.59,139.59,340.0,22727.16
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,,1,False,0.0000,1,998,1,0.0,69788069.52,23490.13,998.0,0.0,998.0,22492.13
WESTBERG,BCSH,8,True,0.0200|0.0250|0.0500,3,340|400,2,0.021051,69524403.14,23492.3,3310.9,470.9,2840.0,20181.4
ONYX,ONYX,3,True,0.0100,1,170,1,0.01,68972291.11,17240.0,677.3,167.3,510.0,16562.7
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,,1,False,0.0000,1,170,1,0.0,68874991.56,20685.39,170.0,0.0,170.0,20515.39
BRAVO,BRAVO,2,True,0.0000|0.0150,2,340,1,0.012716,68156763.13,19122.5,942.96,262.96,680.0,18179.55
XSP,XSP,2,True,0.0370,1,340,1,0.037,67452027.78,24686.37,1568.24,888.24,680.0,23118.13
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,,1,False,0.0000,1,170,1,0.0,66823869.53,25688.31,170.0,0.0,170.0,25518.31
pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,,1,False,0.0100,1,170,1,0.01,66675743.52,20991.85,378.22,208.22,170.0,20613.63
STRIXJPN_GITHUB_IO,PNR39,2,True,0.0100,1,339|340,2,0.01,65975673.63,23799.63,910.21,231.21,679.0,22889.43
pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,,1,False,0.0100,1,170,1,0.01,64667276.72,22239.2,390.69,220.69,170.0,21848.51
pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,,1,False,0.0050,1,340,1,0.005,64637281.93,25050.68,463.55,123.55,340.0,24587.13
pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh,,1,False,0.0085,1,340,1,0.0085,64422419.25,20386.79,510.4,170.4,340.0,19876.39
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,,1,False,0.0090,1,340,1,0.009,63795096.48,15333.91,474.95,134.95,340.0,14858.96
pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,,1,False,0.0000,1,170,1,0.0,63525298.82,17225.69,170.0,0.0,170.0,17055.69
SNAKEPOOL_LINK,SNAKE,1,True,0.0100,1,340,1,0.01,63409878.43,18652.65,523.13,183.13,340.0,18129.52
HODLA,HODL₳,2,True,0.0215,1,500,1,0.0215,61208746.36,23148.64,1476.2,476.2,1000.0,21672.45
pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z,,1,False,0.0000,1,170,1,0.0,61120120.66,22242.49,170.0,0.0,170.0,22072.49
STI,STI,3,True,0.0150|0.0400,2,340,1,0.017684,60947154.97,15330.77,1280.99,260.99,1020.0,14049.78
CNODE,CNODE,2,True,0.0000,1,495,1,0.0,60431995.7,15057.21,990.0,0.0,990.0,14067.21
pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,,1,False,0.0199,1,340,1,0.0199,59455188.52,22863.45,788.22,448.22,340.0,22075.24
pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,,1,False,0.0090,1,170,1,0.009,57337904.03,19175.22,341.05,171.05,170.0,18834.17
LINKTR_EE,ADAOZ,1,True,0.0100,1,340,1,0.01,56787673.32,14721.22,483.81,143.81,340.0,14237.4
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,,1,False,0.0100,1,340,1,0.01,56723580.51,15700.96,493.61,153.61,340.0,15207.35
pool1ksrg8a964464las0ymw88slrwxkychjz9lh09lqltu5m7nw3pq0,,1,False,0.0069,1,300,1,0.0069,56456311.36,16299.79,410.4,110.4,300.0,15889.39
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,,1,False,0.0150,1,170,1,0.015,55608511.16,18374.21,443.06,273.06,170.0,17931.15
pool1prc9hna2mgamtspchrygc66s9n4tlkvh39e3t9zccef4kzc3ns2,,1,False,0.0090,1,170,1,0.009,55395272.63,18395.22,334.03,164.03,170.0,18061.2
