eff_entity_id,display_name,n_pools,total_stake,total_owner_stake,total_rewards,total_op_take,total_deleg_pot,dominant_strategy,n_strategies,owner_ratio,op_take_pct
COINBASE_BISON,Coinbase / bison.run,41,2444178497.066642,258030.494822,735759.64909,48198.862104,687560.786986,hollow,1,0.00010556941529911703,6.5508977236809836
CHUCK_BUX,CHUCK BUX,12,771752563.090085,771752563.090085,302779.007973,302779.007973,0.0,private,1,1.0,100.0
KILN,Kiln,10,750466470.016846,38967.883038,218509.549615,13052.88271,205456.666905,hollow,1,5.1924882183111094e-05,5.973598285749229
FIGMENT,Figment,20,699508381.780126,172.11738599999998,212612.658254,16926.594505,195686.063749,hollow,1,2.460547871663689e-07,7.961235536963403
BINANCE,Binance,17,592305953.130971,263031.504644,186951.967898,18184.78205,168767.185848,hollow,1,0.00044408046762588985,9.726980814623744
EVERSTAKE,Everstake,13,562654583.427931,13520.11527,169254.49961,9920.241935,159334.257675,hollow,1,2.4029156907653198e-05,5.861139265342099
BLOCKDAEMON,Blockdaemon,12,536566962.955604,77292.443623,163778.847851,11755.352141,152023.49571000002,hollow,1,0.00014404994895184263,7.177576527888747
UPBIT,Upbit,15,516798691.25980604,516797954.329681,167666.840571,167666.840571,0.0,private,1,0.9999985740480045,100.0
ETORO,eToro,11,506369778.637959,0.0,157202.54846,157202.54846,0.0,hollow,1,0.0,100.0
WAVE,Wave / Wavepool,13,505275488.331326,331456255.279429,180249.266225,13810.360556,166438.905669,balanced,3,0.6559911631060205,7.6618123586483415
YUTA,YUTA,25,466862592.203047,1629159.568327,152216.433037,25435.186709,126781.246328,hollow,1,0.0034895911463783524,16.70988223907293
CARDANO_FOUNDATION,Cardano Foundation,6,456219294.043941,456206007.397543,192591.64302299998,192591.64302299998,0.0,private,1,0.9999708766232128,100.0
NORTH,NORTH,5,361724384.800547,55036.616651,112022.54487499999,1700.0,110322.54487499999,hollow,1,0.0001521506952906891,1.517551669529504
NUFI,NuFi,17,313904092.491893,17095.960707,94554.262989,8443.227891,86111.035098,hollow,1,5.446236960877318e-05,8.929505264064346
ONE_PERCENT,1PCT,21,269624092.65232503,1345405.993819,81119.274053,7826.754584,73292.519469,hollow,1,0.004989932392851386,9.648452449027491
EMURGO,Emurgo,8,258825047.396589,86247.145314,84114.28710399999,2811.484267,81302.802837,hollow,1,0.00033322565254608594,3.3424574632890183
ADV,ADV,4,257611037.821788,1027039.1959930001,82743.786287,1360.0,81383.786287,hollow,1,0.003986782572195111,1.643627952052844
SECUR,SECUR,5,233367182.431311,666866.0675550001,79848.042703,2609.809178,77238.233525,hollow,1,0.0028575828897933605,3.2684698204905978
CRDNS,,8,230008396.17632902,683630.424729,88960.583795,4259.116703,84701.467092,hollow,1,0.002972197694056852,4.787644731305576
BLOOM,Bloom,7,219746689.952398,78088001.885033,80776.189765,41522.14873,39254.041035,hollow,3,0.35535462173263493,51.40394570578195
OCEAN,AdaOcean,7,192865026.9048,131123.76388800002,61689.037381,5589.138498,56099.898883,hollow,1,0.0006798732045531715,9.0601810877364
CCV,CCV,5,177381884.930471,42675.75581,58230.677648,3395.920329,54834.757319,hollow,1,0.0002405868887159913,5.831840648546251
DIGI,DIGI,6,171697454.227423,1200147.96348,47187.924939,2688.158499,44499.76644,hollow,1,0.006989899581681252,5.696708432241919
EDEN,EDEN,5,170641183.951124,6264.395318,46971.481797,2152.714818,44818.766979,hollow,1,3.671092272656924e-05,4.5830251370470725
MS,MS4,4,160971817.219178,340860.846529,45232.377294,2456.809433,42775.567861,hollow,1,0.00211751878320965,5.431528431573044
ADALITE_PLATFORM,Adalite platform cluster,3,157764712.826733,157764705.34682,49851.844522,49851.844522,0.0,private,1,0.9999999525881748,100.0
DAPP,DAPP,5,141245225.46691298,4901061.572402,43261.869653,2565.621166,40696.248487000004,hollow,2,0.03469895393773919,5.930444492063431
STAKEBOWL,StakeBowl,2,140075642.503973,19.23706,51983.312837000005,51983.312837000005,0.0,hollow,1,1.37333369714541e-07,100.0
TITAN,TITAN,2,135220201.310917,500004.053686,24427.456033000002,503.362594,23924.093439,hollow,1,0.003697702331741997,2.060642718259273
ATADA,ATADA,4,129833545.010749,2942864.282952,41519.803382,1555.533463,39964.269919,hollow,2,0.022666440192389097,3.7464856196172827
