epoch_no,pools_with_min_cost,pools_with_zero_margin,pools_total,p10_margin,p25_margin,p50_margin,p75_margin,p90_margin,mean_margin,p50_fixed_cost,mean_fixed_cost,stake_weighted_margin,pct_min_cost,pct_zero_margin
211,237,20,254,0.005,0.01,0.02,0.04,0.05,0.031530157480314965,340.0,346.43307086614175,0.04234200726656248,93.30708661417323,7.874015748031496
212,332,32,350,0.001,0.01,0.02,0.03975,0.05,0.03041925714285714,340.0,346.49482857142857,0.04176918729386411,94.85714285714286,9.142857142857142
213,349,51,369,0.0,0.01,0.02,0.0325,0.05,0.028598455284552845,340.0,344.99728997289975,0.041646783347940246,94.579945799458,13.821138211382115
214,370,52,392,0.0,0.01,0.02,0.035,0.05,0.028257295918367346,340.0,346.3494897959184,0.041936905105150066,94.38775510204081,13.26530612244898
215,362,50,384,0.0,0.01,0.02,0.037875,0.05,0.029819140625,340.0,346.0234375,0.041471683964818595,94.27083333333334,13.020833333333334
216,371,61,389,0.0,0.01,0.02,0.035,0.05,0.028631053984575834,340.0,344.573264781491,0.04090649808908264,95.37275064267352,15.681233933161954
217,362,59,379,0.0,0.01,0.02,0.035,0.05,0.02840126649076517,340.0,344.4854881266491,0.040524034106425945,95.51451187335093,15.567282321899736
218,368,63,386,0.0,0.01,0.02,0.03,0.05,0.02829968911917099,340.0,342.5362694300518,0.04020001740146378,95.33678756476684,16.321243523316063
219,375,72,392,0.0,0.009,0.02,0.03,0.05,0.027208035714285712,340.0,342.67857142857144,0.0398530941819909,95.66326530612244,18.367346938775512
220,381,67,401,0.0,0.01,0.02,0.03,0.05,0.028024887780548628,340.0,342.70516209476307,0.039766418594182576,95.01246882793018,16.708229426433917
221,388,69,403,0.0,0.01,0.02,0.03,0.05,0.027597642679900745,340.0,342.106699751861,0.03948191878173995,96.27791563275434,17.121588089330025
222,384,59,397,0.0,0.01,0.02,0.03,0.05,0.03069108312342569,340.0,342.05037783375315,0.048743676087827405,96.72544080604534,14.86146095717884
223,396,69,414,0.0,0.01,0.02,0.0315,0.05,0.030325772946859907,340.0,342.64251207729467,0.04723840626521337,95.65217391304348,16.666666666666664
224,401,65,418,0.0,0.01,0.02,0.03,0.05,0.03187062200956938,340.0,342.4856459330144,0.0471684117064662,95.93301435406698,15.550239234449762
225,411,72,429,0.0,0.0099,0.02,0.03,0.05,0.031518158508158506,340.0,343.6060606060606,0.04677275730855996,95.8041958041958,16.783216783216783
226,412,68,434,0.0,0.01,0.02,0.03,0.05,0.03189841013824885,340.0,343.7327188940092,0.046087179599070764,94.93087557603687,15.668202764976957
227,416,69,437,0.0,0.01,0.02,0.03,0.05,0.03366796338672769,340.0,343.34553775743706,0.0648505060102084,95.19450800915332,15.789473684210526
228,406,70,423,0.0,0.01,0.02,0.03,0.05,0.03883346572104019,340.0,343.51536643026003,0.06439661868279999,95.98108747044918,16.548463356973993
229,401,66,430,0.0,0.01,0.02,0.035,0.05,0.039761479069767444,340.0,343.1209302325581,0.06381287387570492,93.25581395348837,15.348837209302326
230,437,71,468,0.0,0.01,0.02,0.03,0.05,0.03601276923076923,340.0,343.65811965811963,0.06408958787333144,93.37606837606837,15.17094017094017
231,447,61,479,0.0,0.01,0.02,0.034165,0.05,0.03876462630480167,340.0,342.1106471816284,0.0637628881615582,93.31941544885177,12.734864300626306
232,471,70,506,0.0,0.01,0.02,0.03,0.05,0.0369957628458498,340.0,342.27667984189725,0.06330519046194286,93.08300395256917,13.83399209486166
233,490,79,524,0.0,0.01,0.02,0.033125,0.05,0.045801230916030534,340.0,341.868320610687,0.06346930119864301,93.51145038167938,15.076335877862595
234,547,77,582,0.0,0.01,0.02,0.03,0.05,0.04358882302405498,340.0,344.9776632302405,0.061643627967876966,93.98625429553265,13.23024054982818
235,563,79,597,0.0,0.01,0.02,0.03,0.05,0.04620947236180904,340.0,343.99832495812393,0.06213081373481113,94.30485762144055,13.23283082077052
236,571,77,606,0.0,0.01,0.02,0.03075,0.05,0.056628671617161716,340.0,343.9059405940594,0.08079989213991608,94.22442244224423,12.706270627062707
237,590,75,623,0.0,0.01,0.02,0.03,0.05,0.055843216693418934,340.0,343.78491171749596,0.08107666139911637,94.70304975922953,12.038523274478331
238,576,82,610,0.0,0.01,0.02,0.03,0.05,0.056040992796444325,340.0,344.9393442622951,0.08120581548973017,94.42622950819673,13.442622950819672
239,586,79,641,0.0,0.01,0.02,0.04,0.06,0.05621916787181129,340.0,345.1988212870515,0.0800757547525234,91.41965678627145,12.324492979719189
240,618,86,677,0.0,0.01,0.02,0.035,0.06,0.05394770547390109,340.0,346.067126211226,0.08100832813578608,91.2850812407681,12.703101920236337
241,609,82,667,0.0,0.01,0.02,0.03845,0.06,0.05448198891428942,340.0,346.0906213568216,0.08069030895043298,91.30434782608695,12.293853073463268
242,613,73,672,0.0,0.01,0.02,0.035,0.06,0.05315901280629619,340.0,345.8125,0.08016160636676908,91.22023809523809,10.863095238095239
243,646,79,702,0.0,0.01,0.02,0.035,0.06,0.05322137550688182,340.0,345.3176638176638,0.08140248725282677,92.02279202279202,11.253561253561253
244,636,83,695,0.0,0.01,0.02,0.0325,0.06,0.05330362677097991,340.0,345.68776978417264,0.08126022680781135,91.51079136690647,11.942446043165468
245,669,87,730,0.0,0.01,0.02,0.03,0.06,0.0526813967203165,340.0,345.83972602739726,0.08176418214931859,91.64383561643835,11.917808219178081
246,663,82,727,0.0,0.01,0.02,0.03,0.06,0.051894236046535126,340.0,346.7235213204952,0.08095449183502765,91.19669876203577,11.279229711141678
247,693,91,763,0.0,0.01,0.02,0.03,0.06,0.05161267445063046,340.0,347.5897771952818,0.08021934534706936,90.82568807339449,11.926605504587156
248,721,86,783,0.0,0.01,0.02,0.03,0.06,0.050963372421240154,340.0,350.8952745849298,0.08009200114105125,92.08173690932313,10.983397190293742
249,717,85,785,0.0,0.01,0.02,0.03,0.06,0.050724561281313425,340.0,352.02292993630573,0.08406491763233154,91.3375796178344,10.828025477707007
250,743,86,816,0.0,0.01,0.02,0.035,0.06,0.0496076232914596,340.0,350.7242647058824,0.08470358581064494,91.05392156862744,10.53921568627451
251,755,78,823,0.004100000000000003,0.01,0.02,0.03225,0.06,0.049250983725189594,340.0,351.27703523693805,0.08206477619563832,91.73754556500607,9.477521263669502
252,792,100,866,0.0,0.01,0.02,0.03,0.06,0.04873743718918134,340.0,350.6916859122402,0.08696486970590471,91.45496535796767,11.547344110854503
253,795,99,876,0.0,0.01,0.02,0.03,0.06,0.04822362740391671,340.0,354.47945205479454,0.08762071862488328,90.75342465753424,11.301369863013697
254,798,99,878,0.0,0.01,0.02,0.03,0.06,0.04916048816153877,340.0,364.92938496583145,0.08641266375401928,90.8883826879271,11.275626423690206
