pool_bech32,delegation_count,total_ada,median_ada,mean_ada,max_ada
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,2,14.11,7.05,7.05,14.11
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,4,6570.05,792.29,1642.51,4984.22
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,151,1331948.08,299.46,8820.85,307583.42
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,1533,1887358.43,13.21,1231.15,346269.11
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,2364,58196942.83,35.59,24618.00,10740577.91
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,5,18781.07,598.78,3756.21,17117.54
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,5621,25529389.04,38.26,4541.79,5282681.22
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,1923,17781749.97,219.11,9246.88,1000978.72
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,17,1501897.84,5077.15,88346.93,768739.79
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,177,1892180.11,46.37,10690.28,1135580.94
pool104ylwjrxvrp87r7769d6g6agu0ydxsn6hgmqjdsrf47e6j2ek46,7,149347.01,10277.91,21335.29,67034.14
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,9,70025249.01,6.41,7780583.22,35012529.54
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,6,79.61,6.01,13.27,52.32
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,2,502.37,251.18,251.18,502.37
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,1627,6480188.39,33.74,3982.91,2000572.70
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,4,62494579.80,12489162.54,15623644.95,37516178.20
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,25,6999752.86,44.07,279990.11,6872601.90
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,8,218828.15,193.40,27353.52,166314.03
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,6,345405.34,127.81,57567.56,256174.21
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,31,6071670.79,1583.56,195860.35,4195606.93
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,52,3556172.50,1237.37,68387.93,2796173.04
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,6537,47522277.41,25.44,7269.74,5935920.34
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,2,58844704.60,29422352.30,29422352.30,58800894.24
pool109k0t72eh8txza4ptnagnfyqkjnmfe60afmtm4dvj9lz7dy78lh,725,397092.71,56.48,547.71,20016.16
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,294,277425.31,1.40,943.62,206160.08
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,3,2210.92,67.98,736.97,2142.94
pool10d303wup90j39mmvysf0lhr2xmr3mf38y5vs577nmlq6yy8n666,7,4247.42,7.96,606.77,2087.14
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,38,75860613.92,723.79,1996331.95,47644442.94
pool10dzswwk8ycrxfv04nv44fjpqdx4j5euj406df0xsq7xyy0r0ta5,5,100.80,0.00,20.16,98.16
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,439,7613132.21,90.35,17341.99,2982675.33
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,1482,11628529.61,89.84,7846.51,1217594.77
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,2,39.46,19.73,19.73,38.30
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,3,291.47,101.01,97.16,190.46
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,9,3072.47,6.97,341.39,1889.44
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,1,97.02,97.02,97.02,97.02
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,457,4628771.82,107.70,10128.60,1301771.99
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,7,101500.86,130.81,14500.12,99675.87
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,2,0.00,0.00,0.00,0.00
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,725,15751577.58,44.92,21726.31,3107073.11
pool10hua8csg69l59hv4v48fpzcap726l48g77kckdg27zm5v349p69,4,7832.64,1451.72,1958.16,4840.81
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,20,23097.64,43.74,1154.88,13057.47
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,94,7182279.86,46.41,76407.23,3924173.18
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,10,504281.65,926.92,50428.16,447159.98
pool10kjjh9zfs77vzxpp4qpdxwvnh3x8zdf8qcv7pckvdhw02fu6unz,941,3070185.25,95.80,3262.68,234205.82
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,14,229032.61,329.61,16359.47,149741.79
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,47,2854.26,4.72,60.73,1198.71
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,65,127062.60,3.13,1954.81,23718.72
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,374,2706384.54,18.40,7236.32,972313.98
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,319,789580.30,3.82,2475.17,544536.17
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,1,0.00,0.00,0.00,0.00
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,120,41179.78,4.94,343.16,12604.89
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,165,6090359.96,20.69,36911.27,3231176.49
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,623,5637644.79,32.39,9049.19,1015072.19
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,3,360.52,42.09,120.17,312.54
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,29,3584806.68,17103.38,123614.02,889485.11
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,1,0.00,0.00,0.00,0.00
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,3,247.21,0.00,82.40,247.21
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,6,124124.41,0.00,20687.40,124123.39
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,1,139.82,139.82,139.82,139.82
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,41,2315767.98,324.20,56482.15,885165.11
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,26,331018.08,19.12,12731.46,293408.52
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,453,2833869.68,41.31,6255.78,707760.84
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,11,112074.81,9.62,10188.62,88771.87
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,442,33907427.02,237.55,76713.64,4198134.18
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,95,77156106.64,31.52,812169.54,32189642.84
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,3,971.58,44.43,323.86,925.44
