pool_id_bech32,epoch_no,active_stake_ada,saturation_pct,block_cnt,delegator_cnt,margin_rate,fixed_cost_ada,pool_fees_ada,deleg_rewards_ada,member_rewards_ada,owner_member_rewards_ada,total_pool_rewards_ada,epoch_ros,owner_stake_ada,ticker,pool_group,entity_id,display_name,is_mpo,pledge_tag,category,declared_pledge_ada,health_tag_current,owner_stake_ratio,pool_class,is_private,operator_take_ada,effective_fixed_cost_ada,margin_take_ada,delegator_pot_ada,operator_take_pct,fixed_cost_pct_of_reward,margin_pct_of_reward,delegated_stake_ada,deleg_yield_per_epoch_pct,operator_total_income_ada,effective_tax_pct,eff_entity_id
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,614,63795096.475268,82.95,49,5135,0.009,340.0,474.945156,14858.961057,14740.165577,118.79548,15333.906213,1.714629831,509049.451341,OCTAS,,,,False,,,,,0.007979444807930459,hollow,False,474.945156,340.0,134.945155917,14858.961057,3.097352686279926,2.2173084618957035,0.8800442238429386,63286047.023926996,0.023479047524302108,593.740636,3.097352686279926,pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt
pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,614,5719959.511669,7.44,10,181,0.049,340.0,476.928267,2657.526155,2490.242454,167.283701,3134.454422,3.448978553,360055.137986,NUTS,5BINARIES,5BINARIES,,True,Material pledge,opaque_fleet,250000.0,Healthy core,0.06294714800890981,hollow,False,476.928267,340.0,136.928266678,2657.5261549999996,15.215670824643436,10.847182770105695,4.368488044264821,5359904.373683,0.049581596418928446,644.2119680000001,15.215670824643436,5BINARIES
pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r,614,6351777.678605,8.26,6,1118,0.0,340.0,340.0,1538.832479,1535.808825,3.023654,1878.832479,1.784069948,12479.831501,000,,,,False,,,,,0.0019647777571051364,hollow,False,340.0,340.0,0.0,1538.832479,18.09634460763439,18.09634460763439,0.0,6339297.847104,0.024274494054621353,343.023654,18.09634460763439,pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,614,67446497.396551,87.7,64,3244,0.01,340.0,537.939767,19596.036973,19206.434268,389.602705,20133.97674,2.14329373,1340017.23465,ATADA,ATADA,ATADA,ATADA,True,High pledge,multi_brand_fleet,1300000.0,Healthy core,0.019867855061047608,hollow,False,537.939767,340.0,197.9397674,19596.036973,2.671800876432323,1.6886877559788023,0.983113122440212,66106480.161901,0.029643140770779893,927.542472,2.671800876432323,ATADA
pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,614,7324465.103635,9.52,8,496,0.03,170.0,240.313486,2273.469393,1881.718054,391.751339,2513.782879,2.291381887,1262110.09309,BNTY1,,,,False,,,,,0.17231430216844607,balanced,False,240.313486,170.0,70.31348636999999,2273.469393,9.559834622455474,6.762716120798276,2.7971185163760515,6062355.010545,0.03750142294612365,632.0648249999999,9.559834622455474,pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42
pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,614,20837323.821585,27.1,17,1098,0.02,340.0,439.671447,4883.900911,4881.537165,2.363746,5323.572358,1.725508503,10065.132958,BCSH,WESTBERG,WESTBERG,BCSH,True,Low pledge,community_branded_fleet,10000.0,Healthy core,0.00048303386001870903,hollow,False,439.671447,340.0,99.67144716000001,4883.900911000001,8.258955029310037,6.3866888084852445,1.8722662238302952,20827258.688627,0.023449561865128796,442.035193,8.258955029310037,WESTBERG
pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,614,7423733.698518,9.65,6,718,0.01,340.0,355.389146,1523.52546,1523.523451,0.002009,1878.914606,1.509254612,9.773409,TAPSY,,,,False,,,,,1.3165085652184782e-06,hollow,False,355.389146,340.0,15.389146060000002,1523.52546,18.914598080462202,18.09555361985408,0.8190444638014592,7423723.925109,0.02052238843159339,355.39115499999997,18.914598080462202,pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z
pool1qzlwlpcsgflr9z3f24fg836tyq45p0kf5cnrp20s8v0psp6tdkx,614,21767621.33554,28.3,21,839,0.02,340.0,464.729164,6111.729029,6108.905405,2.823624,6576.458193,2.070487967,10056.630021,BCSH0,WESTBERG,WESTBERG,BCSH,True,Low pledge,community_branded_fleet,10000.0,Healthy core,0.0004619994930075588,hollow,False,464.729164,340.0,124.72916386000001,6111.729029,7.066556957583322,5.1699560769944055,1.896600878460112,21757564.705519002,0.028090133761384174,467.552788,7.066556957583322,WESTBERG
pool1qqq6qqa0hpzvumv5p87ynczfmdj557xuwlc3289ke42g72z7f74,614,12430560.788237,16.16,20,1575,0.01,380.0,438.925555,5833.629943,5517.996072,315.633871,6272.555498,3.484398316,672566.7303800001,AHL,,,,False,,,,,0.05410590413720094,hollow,False,438.925555,380.0,58.92555498,5833.629943,6.997555543987631,6.05813691279675,0.9394186308720326,11757994.057857,0.049614159645724736,754.559426,6.997555543987631,pool1qqq6qqa0hpzvumv5p87ynczfmdj557xuwlc3289ke42g72z7f74
pool1e556526sqwugxwnmeumt9lhj5jukklg8vv3ynk75xt9vs7adr5y,614,3631573.936111,4.72,5,330,0.009,500.0,509.615734,1058.799177,912.97015,145.829027,1568.414911,2.150836613,500178.711331,CHEAP,CHEAP,,,False,,,,,0.13773055984277555,balanced,False,509.615734,500.0,9.615734199,1058.799177,32.49240557621809,31.879319464082805,0.6130861248232548,3131395.22478,0.033812377582404574,655.444761,32.49240557621809,pool1e556526sqwugxwnmeumt9lhj5jukklg8vv3ynk75xt9vs7adr5y
