pool_id_bech32,epoch_no,margin_rate,fixed_cost_ada,pool_class,delegator_cnt,active_stake_ada,total_pool_rewards_ada,operator_take_ada,effective_fixed_cost_ada,margin_take_ada,delegator_pot_ada,delegated_stake_ada,eff_entity_id,avg_ros_annualised,owner_stake_ada,owner_stake_ratio
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,623,0.1,340.0,hollow,35050,113898908.0,36339.77359943034,3939.9773599430337,340.0,3599.9773599430337,32399.796239487303,113892925.281614,KILN,1.4915,5982.718386,5.252656492545126e-05
pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,623,0.08,340.0,hollow,39,108333731.0,34564.18790004192,3077.9350320033536,340.0,2737.9350320033536,31486.252868038566,108327706.970255,BLOCKDAEMON,2.0723,6024.029745,5.560622429776742e-05
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,623,0.06,170.0,hollow,6035,91431028.0,29171.331980489012,1910.0799188293406,170.0,1740.0799188293406,27261.25206165967,91431018.179273,FIGMENT,2.224,9.820727,1.0741131555471519e-07
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,623,0.06,170.0,hollow,10890,90751705.0,28954.592027013023,1897.0755216207813,170.0,1727.0755216207813,27057.516505392243,90751695.179273,FIGMENT,1.813,9.820727,1.0821534427369711e-07
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,623,0.05,340.0,hollow,6,81085406.0,25870.5315792658,1616.5265789632901,340.0,1276.5265789632901,24254.00500030251,81082231.798805,KILN,2.0522,3174.201195,3.9146393310283235e-05
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,623,0.1,170.0,hollow,86,80713290.0,25751.80690112643,2728.1806901126433,170.0,2558.1806901126433,23023.626211013787,80713280.179273,FIGMENT,1.2394,9.820727,1.216742249015001e-07
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,623,0.0,340.0,hollow,5176,77297507.0,24661.991528315455,340.0,340.0,0.0,24321.991528315455,77039133.581946,ADV,2.2166,258373.418054,0.003342584102408374
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,623,0.05,340.0,hollow,95,77156107.0,24616.87745235821,1553.8438726179106,340.0,1213.8438726179106,23063.0335797403,77153079.859799,KILN,2.2906,3027.140201,3.923396758470461e-05
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,623,0.0,170.0,hollow,2235,76640733.0,24452.445898027305,170.0,170.0,0.0,24282.445898027305,76590071.665768,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,2.1896,50661.334232,0.0006610236130178975
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,623,1.0,340.0,private,2,76431801.0,24385.785543586713,24385.785543586713,340.0,24045.785543586713,0.0,158627.19427399337,ADALITE_PLATFORM,0.0,76273173.805726,0.9979245916987617
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,623,1.0,340.0,private,2,76374618.0,24367.541143265193,24367.541143265193,340.0,24027.541143265193,0.0,150967.7067310065,ADALITE_PLATFORM,0.0,76223650.293269,0.9980233261954776
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,623,1.0,340.0,private,1,76329623.0,24353.18535933523,24353.18535933523,340.0,24013.18535933523,0.0,931.1648190021515,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,0.0,76328691.835181,0.9999878007412797
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,623,1.0,340.0,private,1,76328575.0,24352.85099192644,24352.85099192644,340.0,24012.85099192644,0.0,4190.631454005837,CHUCK_BUX,0.0,76324384.368546,0.9999450974755653
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,623,1.0,170.0,balanced,7,76313016.0,24347.88684830679,24347.88684830679,170.0,24177.88684830679,0.0,56063018.620535,CARDANO_FOUNDATION,0.0,20249997.379465,0.2653544367774037
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,623,1.0,170.0,balanced,4,76301500.0,24344.212635444528,24344.212635444528,170.0,24174.212635444528,0.0,60750003.188723,CARDANO_FOUNDATION,0.0,15551496.811277,0.20381639694209158
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,623,1.0,170.0,balanced,4,76301500.0,24344.212635444528,24344.212635444528,170.0,24174.212635444528,0.0,56051500.922964,CARDANO_FOUNDATION,0.0,20249999.077036,0.2653945083259962
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,623,1.0,170.0,balanced,4,76301500.0,24344.212635444528,24344.212635444528,170.0,24174.212635444528,0.0,56051517.460402,CARDANO_FOUNDATION,0.0,20249982.539598,0.2653942915879504
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,623,1.0,340.0,private,1,76276262.0,24336.160379086614,24336.160379086614,340.0,23996.160379086614,0.0,5403.739132001996,CHUCK_BUX,0.0,76270858.260868,0.9999291556902461
pool18sk7mn0r0cyujft352lwkzg5pz7e67ve3ps2sryrwacd2r5zhp6,623,1.0,340.0,hollow,1,76020300.0,24254.49496812361,24254.49496812361,340.0,23914.49496812361,0.0,76020290.168757,pool18sk7mn0r0cyujft352lwkzg5pz7e67ve3ps2sryrwacd2r5zhp6,0.0,9.831243,1.2932391742731877e-07
pool19kfm6lz5uw7nylq27swr367mqdycmug7tve94l6h3xsz64seqtc,623,0.05,340.0,hollow,132,75862894.0,24204.274131913382,1533.2137065956692,340.0,1193.2137065956692,22671.06042531771,75860987.33591,KILN,2.2292,1906.66409,2.5133026035099584e-05
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,623,0.05,340.0,hollow,38,75860614.0,24203.546691367534,1533.1773345683766,340.0,1193.1773345683766,22670.369356799158,75857690.53355,KILN,2.1312,2923.46645,3.8537342315737124e-05
pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,623,0.03,340.0,hollow,9,75691779.0,24149.67939989482,1054.2903819968446,340.0,714.2903819968445,23095.389017897975,75688446.133836,BLOCKDAEMON,2.1993,3332.866164,4.403207598014046e-05
