entity_id,display_name,category,pool_id_bech32,ticker,current_active_stake_ada,endpoint_kind,endpoint_value,ip,ptr,asn,as_name,country,physical_country,provider,tier,region
SPO:pool1z5uqdk7dz,OCTAS,single_pool,pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,OCTAS,64033394.786668,dns,octaluso.dyndns.org,92.116.155.32,i5c749b20.versanet.de,8881,"VERSATEL, DE",DE,DE,Other / on-prem,other-or-onprem,cc:DE
5BINARIES,nan,discovered_mpo,pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,NUTS,5746770.566897,dns,relays.mainnet.stakenuts.com,78.141.210.255,78.141.210.255.vultrusercontent.com,20473,"AS-VULTR - The Constant Company, LLC, US",US,US,Vultr / Choopa,commodity-vps,cc:US
5BINARIES,nan,discovered_mpo,pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,NUTS,5746770.566897,dns,relays.mainnet.stakenuts.com,78.141.218.135,relay1.mainnet.pools.fivebinaries.com,20473,"AS-VULTR - The Constant Company, LLC, US",US,US,Vultr / Choopa,commodity-vps,cc:US
5BINARIES,nan,discovered_mpo,pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,NUTS,5746770.566897,dns,relays.mainnet.stakenuts.com,149.28.44.125,relay2.mainnet.pools.fivebinaries.com,20473,"AS-VULTR - The Constant Company, LLC, US",US,US,Vultr / Choopa,commodity-vps,cc:US
SPO:pool1q80jjs53w,000,single_pool,pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r,000,6073876.613854,ip,140.238.214.192,140.238.214.192,,31898,"ORACLE-BMC-31898 - Oracle Corporation, US",US,US,Oracle Cloud,hyperscaler,cc:US
SPO:pool1ddskftmss,pool1ddskftmss,single_pool,pool1ddskftmsscw92d7vnj89pldwx5feegkgcmamgt5t0e4lkd7mdp8,,2671.108363,ip,139.162.148.181,139.162.148.181,139-162-148-181.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",NL,NL,Akamai/Linode,commodity-vps,cc:NL
ATADA,ATADA,discovered_mpo,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,68820788.594321,dns,relays.stakepool.at,212.83.43.88,,47447,"TTM, DE",DE,DE,Other / on-prem,other-or-onprem,cc:DE
ATADA,ATADA,discovered_mpo,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,68820788.594321,dns,relay-1.stakepool.at,94.136.30.220,,48943,"KAPPERNET, AT",AT,AT,Other / on-prem,other-or-onprem,cc:AT
ATADA,ATADA,discovered_mpo,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,68820788.594321,dns,relay-2.stakepool.at,212.83.43.49,,47447,"TTM, DE",DE,DE,Other / on-prem,other-or-onprem,cc:DE
SPO:pool1dmqzwuql5,BNTY1,single_pool,pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,BNTY1,7466167.755104,dns,relay1.cryptobounty.org,66.119.62.93,dsl-62-93.dsl.tribcsp.com,10947,"WERCS-NET - Mountain West Technologies Corporation, US",US,US,Other / on-prem,other-or-onprem,cc:US
SPO:pool1dmqzwuql5,BNTY1,single_pool,pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,BNTY1,7466167.755104,dns,relay2.cryptobounty.org,157.230.106.58,,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",US,US,DigitalOcean,commodity-vps,cc:US
WESTBERG,BCSH,discovered_mpo,pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,BCSH,20780733.278515,dns,relay0.bluecheesestakehouse.com,136.62.192.62,136-62-192-62.googlefiber.net,16591,"GOOGLE-FIBER - Google Fiber Inc., US",US,US,GCP,hyperscaler,cc:US
SPO:pool16tcjctesj,TAPSY,single_pool,pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,TAPSY,7453612.122609,ip,45.83.107.139,45.83.107.139,v2202006110582120152.bestsrv.de,197540,"NETCUP-AS netcup GmbH, DE",DE,DE,Other / on-prem,other-or-onprem,cc:DE
SPO:pool16tcjctesj,TAPSY,single_pool,pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,TAPSY,7453612.122609,ip,45.83.107.231,45.83.107.231,v2202006110582120384.goodsrv.de,197540,"NETCUP-AS netcup GmbH, DE",DE,DE,Other / on-prem,other-or-onprem,cc:DE
WESTBERG,BCSH,discovered_mpo,pool1qzlwlpcsgflr9z3f24fg836tyq45p0kf5cnrp20s8v0psp6tdkx,BCSH0,21102770.363554,dns,relay1.bluecheesestakehouse.com,136.62.192.62,136-62-192-62.googlefiber.net,16591,"GOOGLE-FIBER - Google Fiber Inc., US",US,US,GCP,hyperscaler,cc:US
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,dns,relay-k8s-pool.subnet.dev,62.167.94.106,adsl-62-167-94-106.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,dns,relay-k8s-pool.subnet.dev,62.167.94.106,adsl-62-167-94-106.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,dns,relay-p2p-01-k8s-pool.subnet.dev,62.167.94.106,adsl-62-167-94-106.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,dns,relay-p2p-02-k8s-pool.subnet.dev,62.167.94.106,adsl-62-167-94-106.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,dns,relay-p2p-03-k8s-pool.subnet.dev,62.167.94.106,adsl-62-167-94-106.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,ip,89.217.176.121,89.217.176.121,adsl-89-217-176-121.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,ip,89.217.176.121,89.217.176.121,adsl-89-217-176-121.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,ip,89.217.176.121,89.217.176.121,adsl-89-217-176-121.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
P2P,P2P,declared_brand,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,935104.664954,ip,89.217.176.121,89.217.176.121,adsl-89-217-176-121.adslplus.ch,6730,"SUNRISE, CH",CH,CH,Sunrise (CH residential ISP),residential/satellite,cc:CH
SPO:pool18xykgvvvx,pool18xykgvvvx,single_pool,pool18xykgvvvxej2e5ap04ks72d8fdke4qsqeh30satznyrtj88634d,,88261.029338,dns,relay-1.teqwyse.com,74.208.85.158,,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",US,US,IONOS,commodity-vps,cc:US
SPO:pool18xykgvvvx,pool18xykgvvvx,single_pool,pool18xykgvvvxej2e5ap04ks72d8fdke4qsqeh30satznyrtj88634d,,88261.029338,dns,relay-2.teqwyse.com,66.179.211.28,,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",US,US,IONOS,commodity-vps,cc:US
SPO:pool1qqq6qqa0h,AHL,single_pool,pool1qqq6qqa0hpzvumv5p87ynczfmdj557xuwlc3289ke42g72z7f74,AHL,10558559.907625,dns,relay1-pub.ahlnet.nu,89.160.112.187,89-160-112-187.cust.bredband2.com,29518,"BREDBAND2, SE",SE,SE,Other / on-prem,other-or-onprem,cc:SE
