physical_country,pools_exposed,stake_split_ada,stake_split_pct,entities
DE,675,4320207374,20.426,554
US,1047,4055106081,19.173,892
FR,197,1860100257,8.795,113
,497,1418070945,6.705,419
JP,120,1247544167,5.898,90
GB,131,1153557764,5.454,85
NL,102,1144739287,5.412,58
SE,31,1014671922,4.797,18
KR,49,723327069,3.420,20
IE,38,642801051,3.039,20
CA,115,601718020,2.845,97
CH,38,582749998,2.755,27
AT,92,547151103,2.587,81
AU,49,295001045,1.395,47
IN,34,279172679,1.320,19
??,35,229818604,1.087,34
HK,11,146424995,0.692,10
LT,26,123173535,0.582,10
PL,16,112631965,0.533,12
SG,58,103081310,0.487,58
BE,14,99991286,0.473,14
NO,6,89364589,0.423,6
BR,5,51123798,0.242,5
AE,7,45522685,0.215,6
IT,14,33430126,0.158,14
ID,3,28168124,0.133,3
ZA,14,26611259,0.126,14
VN,20,25821740,0.122,20
NZ,8,24245900,0.115,6
LV,3,22744330,0.108,3
ES,9,14858056,0.070,9
RO,12,14461432,0.068,12
TH,2,13155693,0.062,2
CZ,10,11224731,0.053,10
SC,2,8042890,0.038,2
CY,6,6907711,0.033,6
GR,6,6764850,0.032,6
FI,12,5021645,0.024,12
AR,5,4499785,0.021,5
TW,7,3960054,0.019,7
LU,1,2020021,0.010,1
HU,3,1733595,0.008,3
CW,2,1681174,0.008,2
HR,1,1279309,0.006,1
LI,2,1252805,0.006,2
CN,6,963298,0.005,6
UA,3,907603,0.004,3
SI,5,698677,0.003,5
PT,2,659332,0.003,2
EE,1,636599,0.003,1
MY,3,313284,0.001,3
CD,1,238588,0.001,1
MX,2,200474,0.001,2
CL,5,193902,0.001,5
PK,1,126114,0.001,1
SK,1,112075,0.001,1
CR,1,81219,0.000,1
DK,2,49201,0.000,2
NC,1,49094,0.000,1
BG,2,13017,0.000,2
IL,3,10380,0.000,3
RU,2,10144,0.000,2
PH,2,7185,0.000,2
TR,1,6708,0.000,1
UY,1,371,0.000,1
IR,1,18,0.000,1
