region,pools_exposed,stake_split_ada,stake_split_pct,entities
cc:US,687,2692522660,12.730,585
cc:FR,191,1790983168,8.468,107
cc:??,532,1647885396,7.791,453
gcp:europe-west3,28,987951491,4.671,6
cc:DE,168,891354095,4.214,137
aws:ap-northeast-1,40,859311959,4.063,24
aws:ap-northeast-2,27,673643222,3.185,4
aws:eu-north-1,11,634098663,2.998,2
aws:eu-west-1,27,617574428,2.920,15
hetzner:falkenstein,112,590778850,2.793,90
cc:CH,24,556178075,2.630,19
azure:westeurope,29,522113108,2.469,10
cc:AT,92,521547082,2.466,81
cc:GB,60,507558024,2.400,56
contabo:lauterbourg,217,470092157,2.223,185
hetzner:helsinki,110,452483490,2.139,95
aws:eu-central-1,29,412546239,1.951,20
cc:CA,75,391319301,1.850,68
cc:SE,18,371881414,1.758,14
gcp:europe-west2,33,305281448,1.443,4
ovh:de:frankfurt_am_main,26,271773303,1.285,4
gcp:europe-west4,16,245414167,1.160,8
ovh:gb:london,13,234541301,1.109,8
aws:ap-south-1,20,232691282,1.100,9
gcp:asia-northeast1,22,223261387,1.056,8
azure:eastus2,12,213282091,1.008,8
gcp:us-east4,15,203696023,0.963,2
aws:ap-southeast-2,12,182889067,0.865,10
cc:NL,41,182858796,0.865,39
aws:us-east-2,77,163045122,0.771,67
contabo:st_louis,65,156889054,0.742,62
worldstream:naaldwijk,16,147140088,0.696,2
gcp:asia-east2,4,140854067,0.666,3
cc:JP,56,137043488,0.648,56
gcp:us-east1,13,130835750,0.619,11
hetzner:nuremberg,59,130474261,0.617,59
cc:LT,22,121115734,0.573,6
ovh:ca:montreal,26,116994590,0.553,15
cc:PL,9,92304927,0.436,6
cc:NO,6,89364589,0.423,6
cc:AU,31,88667679,0.419,31
ovh:us:virginia,6,84857017,0.401,1
contabo:orangeburg,39,73371957,0.347,36
cc:BE,7,72874733,0.345,7
contabo:seattle,20,71764498,0.339,19
contabo:singapore,23,68456445,0.324,22
hetzner:ashburn,15,66038929,0.312,14
ovh:ca:beauharnois,17,62605943,0.296,10
contabo:tokyo,6,59842720,0.283,5
ovh:gb:bexley,2,52482134,0.248,1
gcp:us-central1,75,51577709,0.244,75
cc:AE,7,45478174,0.215,6
ovh:in:mumbai,6,40765448,0.193,2
aws:us-west-2,39,40369535,0.191,32
ovh:us:hillsboro,12,39833590,0.188,9
aws:ap-southeast-1,9,39199963,0.185,9
cc:BR,4,38879584,0.184,4
contabo:portsmouth,14,38648793,0.183,14
cc:IT,14,33430126,0.158,14
cc:SG,21,30192209,0.143,21
aws:us-west-1,5,28483123,0.135,4
hetzner:singapore,1,28262436,0.134,1
gcp:europe-west1,7,27116537,0.128,7
cc:KR,13,26258091,0.124,13
cc:VN,20,26042126,0.123,20
ovh:de:limburg_an_der_lahn,8,24929784,0.118,5
ovh:au:sydney,4,23442602,0.111,4
azure:switzerlandn,10,23425763,0.111,4
azure:uksouth,9,23425757,0.111,3
azure:northeurope,9,23425756,0.111,3
azure:koreacentral,8,23425755,0.111,2
contabo:sydney,4,23201163,0.110,4
cc:LV,3,22744330,0.108,3
azure:germanywc,3,22068748,0.104,3
azure:eastus,9,21919452,0.104,9
cc:NZ,8,21472359,0.102,6
