entity_id,display_name,category,pools,stake_ada,dominant_provider,dominant_provider_share,dominant_region,dominant_region_share,n_providers,n_regions,provider_diversity_H,region_diversity_H,provider_mix
COINBASE_BISON,Coinbase / bison.run,opaque_operational,48,2447983858,AWS,51.1,gcp:europe-west3,40.3,4,6,0.802,1.329,AWS=51%; GCP=46%; Unresolved=3%; Other / on-prem=0%
FIGMENT,Figment,provider_cluster,37,922801493,Unresolved,100.0,cc:??,100.0,1,1,0.000,0.000,Unresolved=100%
CHUCK_BUX,CHUCK BUX,unresolved_label,17,779606295,AWS,90.2,aws:eu-north-1,81.3,2,3,0.320,0.612,AWS=90%; Unresolved=10%
BINANCE,Binance,declared_brand,53,655393989,AWS,90.8,cc:US,100.0,2,2,0.307,0.002,AWS=91%; Oracle Cloud=9%
KILN,Kiln,provider_cluster,11,643892735,OVH,94.1,cc:FR,62.7,2,3,0.225,0.824,OVH=94%; Unresolved=6%
WAVE,Wave / Wavepool,declared_brand,17,611093305,GCP,100.0,gcp:asia-northeast1,33.3,2,4,0.000,1.099,GCP=100%; Unresolved=0%
UPBIT,Upbit,declared_brand,20,603768297,AWS,100.0,aws:ap-northeast-2,100.0,1,1,0.000,0.000,AWS=100%
EVERSTAKE,Everstake,declared_brand,15,581803062,WorldStream,33.3,worldstream:naaldwijk,25.0,3,4,1.099,1.386,WorldStream=33%; OVH=33%; Leaseweb=33%
ETORO,eToro,declared_brand,21,471872991,Azure,100.0,azure:westeurope,100.0,2,2,0.000,0.000,Azure=100%; GCP=0%
YUTA,YUTA,opaque_operational,25,451660883,AWS,100.0,aws:ap-south-1,43.2,1,6,0.000,1.442,AWS=100%
CARDANO_FOUNDATION,Cardano Foundation,declared_brand,6,396269038,Green.ch,100.0,cc:CH,100.0,1,1,0.000,0.000,Green.ch=100%
NORTH,NORTH,discovered_mpo,5,329433484,Other / on-prem,100.0,cc:SE,100.0,1,1,0.000,0.000,Other / on-prem=100%
NUFI,NuFi,provider_cluster,18,312382636,GCP,32.1,contabo:lauterbourg,32.1,4,4,1.219,1.219,GCP=32%; Cherry Servers=32%; Contabo=32%; AWS=4%
BLOCKDAEMON,Blockdaemon,declared_brand,7,293406777,GCP,84.7,gcp:europe-west4,71.7,2,5,0.427,0.906,GCP=85%; Unresolved=15%
ONE_PERCENT,1PCT,declared_brand,30,270165500,OVH,99.9,cc:FR,99.9,2,3,0.008,0.008,OVH=100%; Contabo=0%
ADV,ADV,discovered_mpo,4,260611097,Other / on-prem,100.0,cc:GB,100.0,1,1,0.000,0.000,Other / on-prem=100%
EMURGO,Emurgo,declared_brand,14,258836753,OVH,96.8,cc:FR,61.1,4,9,0.146,0.978,OVH=97%; Hetzner=3%; Huawei Cloud=0%; Alibaba Cloud=0%
SECUR,SECUR,discovered_mpo,5,238558408,AWS,100.0,aws:eu-central-1,100.0,1,1,0.000,0.000,AWS=100%
CRDNS,nan,discovered_mpo,9,228556827,OVH,100.0,cc:FR,100.0,2,2,0.001,0.001,OVH=100%; Unresolved=0%
BLOOM,Bloom,declared_brand,7,225313924,DigitalOcean,100.0,cc:US,100.0,1,1,0.000,0.000,DigitalOcean=100%
