entity_id,display_name,category,provider,stake_split_ada
COINBASE_BISON,Coinbase / bison.run,opaque_operational,AWS,1250115002
COINBASE_BISON,Coinbase / bison.run,opaque_operational,GCP,1127833815
FIGMENT,Figment,provider_cluster,Unresolved,922801493
CHUCK_BUX,CHUCK BUX,unresolved_label,AWS,703571758
WAVE,Wave / Wavepool,declared_brand,GCP,611092070
KILN,Kiln,provider_cluster,OVH,605795055
UPBIT,Upbit,declared_brand,AWS,603768297
BINANCE,Binance,declared_brand,AWS,595134748
ETORO,eToro,declared_brand,Azure,471872885
YUTA,YUTA,opaque_operational,AWS,451660883
CARDANO_FOUNDATION,Cardano Foundation,declared_brand,Green.ch,396269038
NORTH,NORTH,discovered_mpo,Other / on-prem,329433484
ONE_PERCENT,1PCT,declared_brand,OVH,269897911
ADV,ADV,discovered_mpo,Other / on-prem,260611097
EMURGO,Emurgo,declared_brand,OVH,250624842
BLOCKDAEMON,Blockdaemon,declared_brand,GCP,248615128
SECUR,SECUR,discovered_mpo,AWS,238558408
CRDNS,nan,discovered_mpo,OVH,228543252
BLOOM,Bloom,declared_brand,DigitalOcean,225313924
EVERSTAKE,Everstake,declared_brand,OVH,193950659
EVERSTAKE,Everstake,declared_brand,WorldStream,193950659
EVERSTAKE,Everstake,declared_brand,Leaseweb,193901744
ADALITE_PLATFORM,Adalite platform cluster,platform_cluster,AWS,153216599
STAKEBOWL,StakeBowl,opaque_operational,AWS,140067290
MS,MS4,discovered_mpo,GCP,138839798
TITAN,TITAN,discovered_mpo,Hetzner,136708885
BIGLAZYCAT,BigLazyCat,declared_brand,Cogeco (CA cable ISP),134267706
ATADA,ATADA,discovered_mpo,Other / on-prem,131337563
SIPO,SIPO,discovered_mpo,Oracle Cloud,114472887
NEDS,NEDS1,discovered_mpo,AWS,111698235
SPIRE,Spire,declared_brand,Hetzner,102953016
NUFI,NuFi,provider_cluster,Cherry Servers,100153635
NUFI,NuFi,provider_cluster,GCP,100153635
NUFI,NuFi,provider_cluster,Contabo,100153635
PAUL,PAUL1,discovered_mpo,Azure,93064849
OCEAN,AdaOcean,declared_brand,OVH,92678608
OCEAN,AdaOcean,declared_brand,IONOS,92678608
5BINARIES,nan,discovered_mpo,Vultr / Choopa,92057766
AUTOSTAKE,AutoStake,declared_brand,MEVspace,91485831
COOL,COOL,discovered_mpo,OVH,89724347
PILOT,PILOT,discovered_mpo,DigitalOcean,89435361
ACL,ACL,discovered_mpo,Vultr / Choopa,86931916
DIGI,DIGI,discovered_mpo,Other / on-prem,84857017
DIGI,DIGI,discovered_mpo,OVH,84857017
SPS,SPS,discovered_mpo,Other / on-prem,83585305
CAFE,CAFE,discovered_mpo,Other / on-prem,80642738
P2P,P2P,declared_brand,Servers.com,80477242
JOY,HOPE,discovered_mpo,Hetzner,77970772
SPO:pool14cq4fchmm,CH1,single_pool,Other / on-prem,76809115
SPO:pool1nqheyct9a,CAG,single_pool,Green.ch,76362851
SPO:pool1uy07qyf0g,pool1uy07qyf0g,single_pool,Other / on-prem,76330758
SPO:pool16ajaae2n5,BLADE,single_pool,Oracle Cloud,76270020
BMTXS_GITHUB_IO,RETIR,discovered_mpo,Clouvider,76233538
CHUCK_BUX,CHUCK BUX,unresolved_label,Unresolved,76034537
ITC,FREE,discovered_mpo,Azure,75861930
SPO:pool13l9qxpuzd,pool13l9qxpuzd,single_pool,Other / on-prem,75529486
SPO:pool1rkm8rplka,pool1rkm8rplka,single_pool,Other / on-prem,75528293
SPO:pool17s3mr9c4e,FIKA,single_pool,Unresolved,70822410
SPO:pool18ufrgfgms,OGAM,single_pool,Other / on-prem,70639426
ONYX,ONYX,discovered_mpo,AWS,70461872
COINBASE_BISON,Coinbase / bison.run,opaque_operational,Unresolved,70022287
SPO:pool13hxlxd6qa,dtDn,single_pool,Other / on-prem,68297078
DAPP,DAPP,discovered_mpo,Azure,67666003
DAPP,DAPP,discovered_mpo,Other / on-prem,67666003
SPO:pool1a8n7f97dm,HAPPY,single_pool,Other / on-prem,67406293
BRAVO,BRAVO,discovered_mpo,IONOS,67204476
WESTBERG,BCSH,discovered_mpo,GCP,67143970
SPO:pool15s7w4spg5,BALNC,single_pool,Other / on-prem,66248969
SPO:pool1zkdc6ve9n,CLOVR,single_pool,OVH,65934432
SPO:pool1whmm0hkxu,1COMM,single_pool,Contabo,64123923
SPO:pool1z5uqdk7dz,OCTAS,single_pool,Other / on-prem,64033395
SPO:pool1jakl9kqhx,THNDR,single_pool,Other / on-prem,63579465
SPO:pool17ahr5ygy4,ST3AK,single_pool,Other / on-prem,61758739
SPO:pool173mzegwuu,ROCKY,single_pool,Other / on-prem,61605765
CNODE,CNODE,discovered_mpo,Contabo,61219031
AICHI,AICHI,discovered_mpo,Other / on-prem,61059810
AICHI,AICHI,discovered_mpo,Contabo,61059810
HODLA,HODL₳,discovered_mpo,AWS,60785622
BINANCE,Binance,declared_brand,Oracle Cloud,60259241
VIPER,VIPER,discovered_mpo,Hetzner,59701095
STI,STI,discovered_mpo,OVH,59147449
SPO:pool1gtphgrdj8,ADAFR,single_pool,OVH,58292609
SNAKEPOOL_LINK,SNAKE,discovered_mpo,Hetzner,58088166
SPO:pool16f95up5u5,MARAC,single_pool,Contabo,55959396
SPO:pool1k0ucs0fau,POLY,single_pool,Hetzner,55043313
EDEN,EDEN,discovered_mpo,Hetzner,54079538
EDEN,EDEN,discovered_mpo,OVH,54079538
EDEN,EDEN,discovered_mpo,Contabo,54079538
SPO:pool1ksrg8a964,QUEEN,single_pool,Unresolved,53967267
SPO:pool1w7c2j0px4,STAT,single_pool,Hetzner,53904683
SPO:pool1qqq0c53va,ANP,single_pool,Other / on-prem,53077768
SPO:pool1mt8sdg37f,ABLE,single_pool,Other / on-prem,51607315
SPO:pool1dxwgzj66p,APOP,single_pool,AWS,51105642
SPO:pool1pp7tn2w6k,CROW,single_pool,Hetzner,50586617
TERA,TERA,discovered_mpo,Hetzner,50340309
SPO:pool1a23gmvalp,AOS,single_pool,AWS,49790254
FIMI,FIDA,discovered_mpo,Contabo,49198421
AWP,STSH1,discovered_mpo,OVH,47646965
SPO:pool1du3r4a7xq,pool1du3r4a7xq,single_pool,Other / on-prem,46876553
SPO:pool1tpr44v3px,pool1tpr44v3px,single_pool,Other / on-prem,46071218
