ticker,poolId,epoch_stake_ada,pledge_ada,owner_stake_ada,fixed_cost_ada,margin_percent,saturation_level
LBF2,pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,106777168.756803,2.0,9.610306,170.0,6.0,139.83207384596957
P2P,pool1c2wf97p3j9gfvfjshj99ufxerpy3aznm8tzr2fd0ua465s26th4,102891092.831206,10000.0,13071.78853,340.0,2.0,134.74298914625464
qzsbu,pool13h08lf24fjmxxg0mmuattjv8dvy0r6fc4hrqg4qmj38xsweexrv,93098608.536213,2.0,3.025237,170.0,10.0,121.9190549380748
EMUR8,pool1pmm654jfx088td54ekkkd0j28x6r5gnjdhnutzggursrxjnpk2y,85116860.009708,13000.0,68951.850562,170.0,1.5,111.46640422282444
N/A,pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,83379040.290336,0.0,0.0,340.0,5.0,109.19060932996982
NORTH,pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,79378280.091232,100000.0,101009.372616,340.0,0.0,103.95133765687179
CH1,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,76859971.100959,3000000.0,5023878.252544,170.0,0.0,100.65343818271677
CAG,pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,76326588.533974,73000000.0,73187566.608286,170.0,100.0,99.95493688919892
OGAM,pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,76214516.544516,500000.0,521339.293207,170.0,0.0,99.80817088211693
BLADE,pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,76108530.347051,500000.0,559189.353064,170.0,0.0,99.66937463978226
KILN7,pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7,76008950.353858,100.0,3868.153535,340.0,3.0,99.53896776419391
,pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,75992388.144176,100.0,2090.533141,340.0,3.0,99.51727840724364
NORTH,pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,75911290.032835,100000.0,101005.847908,340.0,0.0,99.41107483183669
SNAKE,pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,75620244.560559,18000.0,18212.086341,170.0,0.0,99.02993069357503
,pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,75393767.904754,71000000.0,75393760.424841,340.0,100.0,98.73334387798862
,pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,75312522.800582,71000000.0,75312522.800582,340.0,100.0,98.62694780532182
KILN2,pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,75117767.708737,100.0,3695.561147,340.0,3.0,98.37190256763833
PILOT,pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,75090472.542344,1050000.0,1050050.0,340.0,0.0,98.33615766292564
WPBJ3,pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f,75035215.291521,30000000.0,73474956.115674,340.0,4.0,98.26379447829011
KILN3,pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,75001814.321362,100.0,3303.290792,340.0,3.0,98.22005360203183
WPBJ1,pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,74829001.830823,50000000.0,55254431.319056,340.0,4.0,97.99374371556544
ADALO,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,74544279.822937,200000.0,1000470.377351,170.0,0.0,97.62088059046266
LCP,pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,74473308.689143,333333.333333,348179.537673,170.0,0.0,97.52793899126914
,pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g,74297117.456325,30000000.0,73109641.083973,340.0,4.0,97.29720440853701
SPIRE,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,74269503.693297,1000000.0,1255052.664685,340.0,1.0,97.26104227953645
,pool1hv59awqky90plv68xun2k3rd7jqfe5y2c4ry8f7p0x9pxhd7wqr,74038406.508259,73000000.0,74038406.508259,340.0,100.0,96.95840456194132
,pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,74034997.354521,73000000.0,74034997.354521,340.0,100.0,96.95394003977059
,pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4,74034358.951641,73000000.0,74034358.951641,340.0,100.0,96.9531040071271
,pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,74033385.662839,73000000.0,74033385.662839,340.0,100.0,96.95182941824991
,pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,74031729.023241,73000000.0,74031729.023241,340.0,100.0,96.94965993433026
,pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh,74029021.291003,73000000.0,74029021.291003,340.0,100.0,96.94611397203637
SECUR,pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x,73943198.823679,100000.0,102403.10586,170.0,0.0,96.8337235263239
ADV,pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,73763339.289888,250000.0,259007.275728,340.0,0.0,96.59818505022658
MARAC,pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,73724380.648415,100000.0,101096.292394,170.0,0.0,96.54716601970892
BALNC,pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z,73672203.180594,100000.0,106395.327942,170.0,0.0,96.47883602352726
CRDNS,pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,73583138.790254,200000.0,208744.516456,340.0,2.0,96.36220005581927
