Analysis based on performance in epochs 548 to 583 (36 epochs).
Current stake is measured at the end of epoch 583.

================================================================================================================================================================
                                               Comprehensive Report on All Non-Retired Pools by Viability Status                                                
================================================================================================================================================================
+------+----------+----------------------------------------------------------+-----------------------+------------------+----------------+------------------+-------------------+----------------+
|    # | Ticker   | Pool ID                                                  |   Current Stake (ADA) | Status           |   Signal Count |   Blocks (36 ep) |   Rewards** (36 ep) | Signals      |
|------+----------+----------------------------------------------------------+-----------------------+------------------+----------------+------------------+-------------------+----------------|
|    1 | P2P      | pool1c2wf97p3j9gfvfjshj99ufxerpy3aznm8tzr2fd0ua465s26th4 |        123,141,995.81 | Healthy          |              0 |             1990 |         20,605.11 |                |
|    2 | LBF2     | pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze |        107,807,455.50 | Healthy          |              0 |             2705 |         61,822.62 |                |
|    3 | qzsbu    | pool13h08lf24fjmxxg0mmuattjv8dvy0r6fc4hrqg4qmj38xsweexrv |        107,067,912.60 | Healthy          |              0 |             1072 |         35,462.54 |                |
|    4 | N/A      | pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9 |         83,290,503.26 | Healthy          |              1 |             2537 |         54,900.45 | NU             |
|    5 | NORTH    | pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw |         79,342,001.56 | Healthy          |              0 |             2800 |         14,015.64 |                |
|    6 | ADV3     | pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz |         76,906,592.18 | Healthy          |              1 |             2607 |         15,688.38 | NU             |
|    7 | OGAM     | pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww |         76,306,307.83 | Healthy          |              1 |             2829 |         12,911.29 | NU             |
|    8 | FIKA     | pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg |         76,227,440.40 | Healthy          |              0 |             2237 |         28,061.33 |                |
|    9 | CH1      | pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk |         76,114,530.07 | Healthy          |              0 |             2799 |         69,817.21 |                |
|   10 | CAG      | pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl |         76,103,783.67 | Healthy          |              0 |             2463 |        525,378.87 |                |
|   11 | NORTH    | pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx |         75,745,500.88 | Healthy          |              0 |             2866 |         15,294.38 |                |
|   12 | ADALO    | pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z |         75,732,602.96 | Healthy          |              0 |             2796 |         19,479.32 |                |
|   13 | BLADE    | pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a |         75,453,296.29 | Healthy          |              0 |             2779 |         13,236.42 |                |
|   14 | KILN7    | pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7 |         75,431,990.63 | Healthy          |              1 |             2655 |         39,508.20 | NU             |
